"","nom_eni","nom_eni_fusion_trait","NOM_VALIDE","CD_NOM","CD_REF","GROUP2_INPN","ORDRE","FAMILLE","SOUS_FAMILLE","TRIBU","nom_eni_syn","key","nom_eni_fusion_trait_code"
"547","Populus tremula","Populus tremula","Populus tremula L., 1753",115156,115156,"Angiospermes","Malpighiales","Salicaceae","Salicoideae",NA,"Populus tremula","POPUTREMULA","POPUTREMULA"
"548","Portulaca oleracea","Portulaca oleracea","Portulaca oleracea L., 1753",115215,115215,"Angiospermes","Caryophyllales","Portulacaceae",NA,NA,"Portulaca oleracea","PORTOLERACE","PORTOLERACE"
"549","Portulaca oleracea","Portulaca oleracea","Portulaca trituberculata Danin, Domina & Raimondo, 2008",719118,717436,"Angiospermes","Caryophyllales","Portulacaceae",NA,NA,"Portulaca trituberculata","PORTOLERACE","PORTOLERACE"
"550","Potentilla reptans","Potentilla reptans","Potentilla reptans L., 1753",115624,115624,"Angiospermes","Rosales","Rosaceae","Rosoideae","Potentilleae","Potentilla reptans","POTEREPTANS","POTEREPTANS"
"551","Argentina anserina","Argentina anserina","Argentina anserina (L.) Rydb., 1899",83714,83714,"Angiospermes","Rosales","Rosaceae","Rosoideae","Potentilleae","Argentina anserina","ARGEANSERIN","ARGEANSERIN"
"552","Potentilla erecta","Potentilla erecta","Potentilla erecta (L.) Raeusch., 1797",115470,115470,"Angiospermes","Rosales","Rosaceae","Rosoideae","Potentilleae","Potentilla erecta","POTEERECTA","POTEERECTA"
"553","Potentilla verna","Potentilla verna","Potentilla verna L., 1753 [nom. et typ. cons.]",115694,115694,"Angiospermes","Rosales","Rosaceae","Rosoideae","Potentilleae","Potentilla verna","POTEVERNA","POTEVERNA"
"554","Potentilla sterilis","Potentilla sterilis","Potentilla sterilis (L.) Garcke, 1856",115655,115655,"Angiospermes","Rosales","Rosaceae","Rosoideae","Potentilleae","Potentilla sterilis","POTESTERILI","POTESTERILI"
"555","Primula veris","Primula veris","Primula veris L., 1753",115918,115918,"Angiospermes","Ericales","Primulaceae","Primuloideae",NA,"Primula veris","PRIMVERIS","PRIMVERIS"
"556","Primula elatior","Primula elatior","Primula elatior (L.) Hill, 1765",115865,115865,"Angiospermes","Ericales","Primulaceae","Primuloideae",NA,"Primula elatior","PRIMELATIOR","PRIMELATIOR"
"557","Primula vulgaris","Primula vulgaris","Primula vulgaris Huds., 1762",115925,115925,"Angiospermes","Ericales","Primulaceae","Primuloideae",NA,"Primula vulgaris","PRIMVULGARI","PRIMVULGARI"
"558","Prunella vulgaris","Prunella vulgaris","Prunella vulgaris L., 1753",116012,116012,"Angiospermes","Lamiales","Lamiaceae","Nepetoideae","Mentheae","Prunella vulgaris","PRUNVULGARI","PRUNVULGARI"
"559","Prunus spinosa","Prunus spinosa","Prunus spinosa L., 1753",116142,116142,"Angiospermes","Rosales","Rosaceae","Amygdaloideae","Amygdaleae","Prunus spinosa","PRUNSPINOSA","PRUNSPINOSA"
"560","Prunus cerasus","Prunus cerasus","Prunus cerasus L., 1753",116054,116054,"Angiospermes","Rosales","Rosaceae","Amygdaloideae","Amygdaleae","Prunus cerasus","PRUNCERASUS","PRUNCERASUS"
"561","Pulicaria dysenterica","Pulicaria dysenterica","Pulicaria dysenterica (L.) Bernh., 1800",116392,116392,"Angiospermes","Asterales","Asteraceae","Asteroideae","Inuleae","Pulicaria dysenterica","PULIDYSENTE","PULIDYSENTE"
"562","Pulicaria dysenterica","Pulicaria dysenterica","Pulicaria dysenterica (L.) Bernh., 1800",161855,116392,"Angiospermes","Asterales","Asteraceae","Asteroideae","Inuleae","Pulicaria dysenterica","PULIDYSENTE","PULIDYSENTE"
"563","Pulicaria odora","Pulicaria odora","Pulicaria odora (L.) Rchb., 1831",116396,116396,"Angiospermes","Asterales","Asteraceae","Asteroideae","Inuleae","Pulicaria odora","PULIODORA","PULIODORA"
"564","Quercus robur","Quercus robur","Quercus robur L., 1753",116759,116759,"Angiospermes","Fagales","Fagaceae",NA,NA,"Quercus robur","QUERROBUR","QUERROBUR"
"565","Quercus ilex","Quercus ilex","Quercus ilex L., 1753 [nom. et typ. cons. prop.]",116704,116704,"Angiospermes","Fagales","Fagaceae",NA,NA,"Quercus ilex","QUERILEX","QUERILEX"
"566","Quercus petraea","Quercus petraea","Quercus petraea (Matt.) Liebl., 1784",521658,521658,"Angiospermes","Fagales","Fagaceae",NA,NA,"Quercus petraea","QUERPETRAEA","QUERPETRAEA"
"567","Quercus pubescens","Quercus pubescens","Quercus pubescens Willd., 1796 [nom. et typ. cons.]",116751,116751,"Angiospermes","Fagales","Fagaceae",NA,NA,"Quercus pubescens","QUERPUBESCE","QUERPUBESCE"
"568","Quercus pubescens","Quercus pubescens","Quercus pyrenaica Willd., 1805",116750,116754,"Angiospermes","Fagales","Fagaceae",NA,NA,"Quercus pyrenaica","QUERPUBESCE","QUERPUBESCE"
"569","Quercus suber","Quercus suber","Quercus suber L., 1753",116774,116774,"Angiospermes","Fagales","Fagaceae",NA,NA,"Quercus suber","QUERSUBER","QUERSUBER"
"570","Ranunculus repens","Ranunculus repens","Ranunculus repens L., 1753",117201,117201,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus repens","RANUREPENS","RANUREPENS"
"571","Ranunculus bulbosus","Ranunculus bulbosus","Ranunculus bulbosus L., 1753",116952,116952,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus bulbosus","RANUBULBOSU","RANUBULBOSU"
"572","Ranunculus acris","Ranunculus acris","Ranunculus acris L., 1753",116903,116903,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus acris","RANUACRIS","RANUACRIS"
