"","nom_eni","nom_eni_fusion_trait","NOM_VALIDE","CD_NOM","CD_REF","GROUP2_INPN","ORDRE","FAMILLE","SOUS_FAMILLE","TRIBU","nom_eni_syn","key","nom_eni_fusion_trait_code"
"633","Secale cereale","Secale cereale","Secale cereale L., 1753",122085,122085,"Angiospermes","Poales","Poaceae","Pooideae","Triticeae","Secale cereale","SECACEREALE","SECACEREALE"
"634","Coronilla varia","Coronilla varia","Coronilla varia L., 1753",92546,92546,"Angiospermes","Fabales","Fabaceae","Papilionoideae","Loteae","Coronilla varia","COROVARIA","COROVARIA"
"635","Sedum album","Sedum album","Sedum album L., 1753",122106,122106,"Angiospermes","Saxifragales","Crassulaceae","Sempervivoideae","Sedeae","Sedum album","SEDUALBUM","SEDUALBUM"
"636","Sedum acre","Sedum acre","Sedum acre L., 1753",122101,122101,"Angiospermes","Saxifragales","Crassulaceae","Sempervivoideae","Sedeae","Sedum acre","SEDUACRE","SEDUACRE"
"637","Senecio vulgaris","Senecio vulgaris","Senecio vulgaris L., 1753",122745,122745,"Angiospermes","Asterales","Asteraceae","Asteroideae","Senecioneae","Senecio vulgaris","SENEVULGARI","SENEVULGARI"
"638","Senecio inaequidens","Senecio inaequidens","Senecio inaequidens DC., 1838",122630,122630,"Angiospermes","Asterales","Asteraceae","Asteroideae","Senecioneae","Senecio inaequidens","SENEINAEQUI","SENEINAEQUI"
"639","Setaria pumila","Setaria pumila","Setaria pumila (Poir.) Roem. & Schult., 1817",123141,123141,"Angiospermes","Poales","Poaceae","Panicoideae","Paniceae","Setaria pumila","SETAPUMILA","SETAPUMILA"
"640","Setaria italica subsp. italica","Setaria italica","Setaria italica (L.) P.Beauv., 1812",123122,123122,"Angiospermes","Poales","Poaceae","Panicoideae","Paniceae","Setaria italica","SETAITALICA","SETAITALICA"
"641","Setaria verticillata","Setaria verticillata","Setaria verticillata (L.) P.Beauv., 1812",123154,123154,"Angiospermes","Poales","Poaceae","Panicoideae","Paniceae","Setaria verticillata","SETAVERTICI","SETAVERTICI"
"642","Setaria italica subsp. viridis","Setaria italica","Setaria italica (L.) P.Beauv., 1812",123122,123122,"Angiospermes","Poales","Poaceae","Panicoideae","Paniceae","Setaria italica","SETAITALICA","SETAITALICA"
"643","Sherardia arvensis","Sherardia arvensis","Sherardia arvensis L., 1753",123164,123164,"Angiospermes","Gentianales","Rubiaceae","Rubioideae","Rubieae","Sherardia arvensis","SHERARVENSI","SHERARVENSI"
"644","Sideritis romana","Sideritis romana","Sideritis romana L., 1753",123325,123325,"Angiospermes","Lamiales","Lamiaceae","Lamioideae","Stachydeae","Sideritis romana","SIDEROMANA","SIDEROMANA"
"645","Silene latifolia","Silene latifolia","Atocion armeria (L.) Raf., 1840",123521,85017,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Atocion armeria","SILELATIFOL","SILELATIFOL"
"646","Silene latifolia","Silene latifolia","Silene latifolia Poir., 1789",123522,123522,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Silene latifolia","SILELATIFOL","SILELATIFOL"
"647","Silene latifolia","Silene latifolia","Silene vulgaris subsp. vulgaris (Moench) Garcke, 1869",123520,141214,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Silene vulgaris","SILELATIFOL","SILELATIFOL"
"648","Silene flos-cuculi","Silene flos-cuculi","Lychnis flos-cuculi L., 1753",123481,106918,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Lychnis flos-cuculi","SILEFLOS-CU","SILEFLOS-CU"
"649","Silene flos-cuculi","Silene flos-cuculi","Lychnis flos-cuculi L., 1753",159842,106918,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Lychnis flos-cuculi","SILEFLOS-CU","SILEFLOS-CU"
"650","Atocion armeria","Atocion armeria","Atocion armeria (L.) Raf., 1840",85017,85017,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Atocion armeria","ATOCARMERIA","ATOCARMERIA"
"651","Silene bellidifolia","Silene bellidifolia","Silene bellidifolia Juss. ex Jacq., 1777",123407,123407,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Silene bellidifolia","SILEBELLIDI","SILEBELLIDI"
"652","Silene dioica","Silene dioica","Silene dioica (L.) Clairv., 1811",123471,123471,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Silene dioica","SILEDIOICA","SILEDIOICA"
"653","Silene gallica","Silene gallica","Silene gallica L., 1753 [nom. cons.]",123485,123485,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Silene gallica","SILEGALLICA","SILEGALLICA"
"654","Silene nocturna","Silene nocturna","Silene nocturna L., 1753",123563,123563,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Silene nocturna","SILENOCTURN","SILENOCTURN"
"655","Silene vulgaris","Silene vulgaris","Silene vulgaris (Moench) Garcke, 1869",123683,123683,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Silene vulgaris","SILEVULGARI","SILEVULGARI"
"656","Silybum marianum","Silybum marianum","Silybum marianum (L.) Gaertn., 1791",123705,123705,"Angiospermes","Asterales","Asteraceae","Carduoideae","Cardueae","Silybum marianum","SILYMARIANU","SILYMARIANU"
"657","Sinapis alba","Sinapis alba","Sinapis alba L., 1753",123711,123711,"Angiospermes","Brassicales","Brassicaceae",NA,NA,"Sinapis alba","SINAALBA","SINAALBA"
"658","Sinapis arvensis","Sinapis arvensis","Sinapis arvensis L., 1753",123713,123713,"Angiospermes","Brassicales","Brassicaceae",NA,NA,"Sinapis arvensis","SINAARVENSI","SINAARVENSI"
"659","Sisymbrium officinale","Sisymbrium officinale","Sisymbrium officinale (L.) Scop., 1772",123863,123863,"Angiospermes","Brassicales","Brassicaceae",NA,NA,"Sisymbrium officinale","SISYOFFICIN","SISYOFFICIN"
"660","Smyrnium olusatrum","Smyrnium olusatrum","Smyrnium olusatrum L., 1753",124003,124003,"Angiospermes","Apiales","Apiaceae","Apioideae","Smyrnieae","Smyrnium olusatrum","SMYROLUSATR","SMYROLUSATR"
"661","Solanum dulcamara","Solanum dulcamara","Solanum dulcamara L., 1753",124034,124034,"Angiospermes","Solanales","Solanaceae","Solanoideae","Solaneae","Solanum dulcamara","SOLADULCAMA","SOLADULCAMA"
"662","Solanum nigrum","Solanum nigrum","Solanum americanum Mill., 1768",637896,124014,"Angiospermes","Solanales","Solanaceae","Solanoideae","Solaneae","Solanum americanum","SOLANIGRUM","SOLANIGRUM"
"663","Solanum nigrum","Solanum nigrum","Solanum nigrum L., 1753",124080,124080,"Angiospermes","Solanales","Solanaceae","Solanoideae","Solaneae","Solanum nigrum","SOLANIGRUM","SOLANIGRUM"
"664","Solanum tuberosum","Solanum tuberosum","Solanum tuberosum L., 1753",124125,124125,"Angiospermes","Solanales","Solanaceae","Solanoideae","Solaneae","Solanum tuberosum","SOLATUBEROS","SOLATUBEROS"
"665","Solidago canadensis","Solidago canadensis","Solidago canadensis L., 1753",124164,124164,"Angiospermes","Asterales","Asteraceae","Asteroideae","Astereae","Solidago canadensis","SOLICANADEN","SOLICANADEN"
"666","Sonchus asper","Sonchus asper","Sonchus asper (L.) Hill, 1769",124233,124233,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Sonchus asper","SONCASPER","SONCASPER"
"667","Sonchus arvensis","Sonchus arvensis","Sonchus arvensis L., 1753",124232,124232,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Sonchus arvensis","SONCARVENSI","SONCARVENSI"
"668","Sonchus oleraceus","Sonchus oleraceus","Sonchus asper subsp. asper (L.) Hill, 1769",124262,141304,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Sonchus asper","SONCOLERACE","SONCOLERACE"
"669","Sonchus oleraceus","Sonchus oleraceus","Sonchus oleraceus L., 1753",124261,124261,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Sonchus oleraceus","SONCOLERACE","SONCOLERACE"
"670","Sonchus tenerrimus","Sonchus tenerrimus","Sonchus tenerrimus L., 1753",124278,124278,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Sonchus tenerrimus","SONCTENERRI","SONCTENERRI"
"671","Sorghum halepense","Sorghum halepense","Sorghum halepense (L.) Pers., 1805",124378,124378,"Angiospermes","Poales","Poaceae","Panicoideae","Andropogoneae","Sorghum halepense","SORGHALEPEN","SORGHALEPEN"
"672","Spergula arvensis","Spergula arvensis","Spergula arvensis L., 1753",124499,124499,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Spergula arvensis","SPERARVENSI","SPERARVENSI"
"673","Spergula rubra","Spergula rubra","Spergularia rubra (L.) J.Presl & C.Presl, 1819",124528,124578,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Spergularia rubra","SPERRUBRA","SPERRUBRA"
"674","Stachys annua","Stachys annua","Stachys annua (L.) L., 1763",124741,124741,"Angiospermes","Lamiales","Lamiaceae","Lamioideae","Stachydeae","Stachys annua","STACANNUA","STACANNUA"
"675","Stachys arvensis","Stachys arvensis","Stachys arvensis (L.) L., 1763",124744,124744,"Angiospermes","Lamiales","Lamiaceae","Lamioideae","Stachydeae","Stachys arvensis","STACARVENSI","STACARVENSI"
"676","Stachys palustris","Stachys palustris","Stachys palustris L., 1753",124798,124798,"Angiospermes","Lamiales","Lamiaceae","Lamioideae","Stachydeae","Stachys palustris","STACPALUSTR","STACPALUSTR"
"677","Stachys recta","Stachys recta","Stachys recta L., 1767",124805,124805,"Angiospermes","Lamiales","Lamiaceae","Lamioideae","Stachydeae","Stachys recta","STACRECTA","STACRECTA"
"678","Stachys sylvatica","Stachys sylvatica","Stachys sylvatica L., 1753",124814,124814,"Angiospermes","Lamiales","Lamiaceae","Lamioideae","Stachydeae","Stachys sylvatica","STACSYLVATI","STACSYLVATI"
"679","Stellaria media","Stellaria media","Stellaria media (L.) Vill., 1789",125014,125014,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Stellaria media","STELMEDIA","STELMEDIA"
"680","Stellaria graminea","Stellaria graminea","Stellaria graminea L., 1753",125000,125000,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Stellaria graminea","STELGRAMINE","STELGRAMINE"
"681","Stellaria holostea","Stellaria holostea","Rabelera holostea (L.) M.T.Sharples & E.A.Tripp, 2019",125006,999933,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Rabelera holostea","STELHOLOSTE","STELHOLOSTE"
"682","Succisa pratensis","Succisa pratensis","Succisa pratensis Moench, 1794",125295,125295,"Angiospermes","Dipsacales","Caprifoliaceae",NA,NA,"Succisa pratensis","SUCCPRATENS","SUCCPRATENS"
"683","Symphyotrichum subulatum","Symphyotrichum subulatum","Symphyotrichum subulatum (Michx.) G.L.Nesom, 1995",448413,448413,"Angiospermes","Asterales","Asteraceae","Asteroideae","Astereae","Symphyotrichum subulatum","SYMPSUBULAT","SYMPSUBULAT"
"684","Symphytum officinale","Symphytum officinale","Symphytum officinale L., 1753",125355,125355,"Angiospermes","Boraginales","Boraginaceae",NA,NA,"Symphytum officinale","SYMPOFFICIN","SYMPOFFICIN"
"685","Tagetes minuta","Tagetes minuta","Tagetes minuta L., 1753",125404,125404,"Angiospermes","Asterales","Asteraceae","Asteroideae","Tageteae","Tagetes minuta","TAGEMINUTA","TAGEMINUTA"
"686","Tanacetum vulgare","Tanacetum vulgare","Tanacetum vulgare L., 1753",125474,125474,"Angiospermes","Asterales","Asteraceae","Asteroideae","Anthemideae","Tanacetum vulgare","TANAVULGARE","TANAVULGARE"
"687","Teucrium scorodonia","Teucrium scorodonia","Teucrium scorodonia L., 1753",126035,126035,"Angiospermes","Lamiales","Lamiaceae","Ajugoideae",NA,"Teucrium scorodonia","TEUCSCORODO","TEUCSCORODO"
"688","Thlaspi arvense","Thlaspi arvense","Thlaspi arvense L., 1753",126332,126332,"Angiospermes","Brassicales","Brassicaceae",NA,NA,"Thlaspi arvense","THLAARVENSE","THLAARVENSE"
"689","Thymus vulgaris","Thymus vulgaris","Thymus vulgaris L., 1753",126582,126582,"Angiospermes","Lamiales","Lamiaceae","Nepetoideae","Mentheae","Thymus vulgaris","THYMVULGARI","THYMVULGARI"
"690","Tolpis umbellata","Tolpis umbellata","Tolpis umbellata Bertol., 1803",126822,126822,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Tolpis umbellata","TOLPUMBELLA","TOLPUMBELLA"
"691","Tordylium maximum","Tordylium maximum","Tordylium maximum L., 1753",126837,126837,"Angiospermes","Apiales","Apiaceae","Apioideae","Tordylieae","Tordylium maximum","TORDMAXIMUM","TORDMAXIMUM"
"692","Torilis arvensis","Torilis arvensis","Torilis arvensis (Huds.) Link, 1821",126846,126846,"Angiospermes","Apiales","Apiaceae","Apioideae","Scandiceae","Torilis arvensis","TORIARVENSI","TORIARVENSI"
"693","Torilis japonica","Torilis japonica","Torilis japonica (Houtt.) DC., 1830",126859,126859,"Angiospermes","Apiales","Apiaceae","Apioideae","Scandiceae","Torilis japonica","TORIJAPONIC","TORIJAPONIC"
"694","Torilis nodosa","Torilis nodosa","Torilis nodosa (L.) Gaertn., 1788",126865,126865,"Angiospermes","Apiales","Apiaceae","Apioideae","Scandiceae","Torilis nodosa","TORINODOSA","TORINODOSA"
"695","Tragopogon pratensis","Tragopogon pratensis","Tragopogon pratensis L., 1753",127029,127029,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Tragopogon pratensis","TRAGPRATENS","TRAGPRATENS"
"696","Tragopogon dubius","Tragopogon dubius","Tragopogon dubius Scop., 1772",127005,127005,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Tragopogon dubius","TRAGDUBIUS","TRAGDUBIUS"
"697","Tragopogon porrifolius","Tragopogon porrifolius","Tragopogon porrifolius L., 1753",127028,127028,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Tragopogon porrifolius","TRAGPORRIFO","TRAGPORRIFO"
"698","Trifolium repens","Trifolium repens","Trifolium repens L., 1753",127454,127454,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium repens","TRIFREPENS","TRIFREPENS"
"699","Trifolium campestre","Trifolium campestre","Trifolium aureum Pollich, 1777",127258,127233,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium aureum","TRIFCAMPEST","TRIFCAMPEST"
"700","Trifolium campestre","Trifolium campestre","Trifolium campestre Schreb., 1804",127259,127259,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium campestre","TRIFCAMPEST","TRIFCAMPEST"
"701","Trifolium arvense","Trifolium arvense","Trifolium arvense L., 1753",127230,127230,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium arvense","TRIFARVENSE","TRIFARVENSE"
"702","Trifolium scabrum","Trifolium scabrum","Trifolium scabrum L., 1753",127470,127470,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium scabrum","TRIFSCABRUM","TRIFSCABRUM"
"703","Trifolium scabrum","Trifolium scabrum","Trifolium striatum L., 1753",127471,127495,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium striatum","TRIFSCABRUM","TRIFSCABRUM"
"704","Trifolium angustifolium","Trifolium angustifolium","Trifolium angustifolium L., 1753",127223,127223,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium angustifolium","TRIFANGUSTI","TRIFANGUSTI"
"705","Trifolium aureum","Trifolium aureum","Trifolium aureum Pollich, 1777",127233,127233,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium aureum","TRIFAUREUM","TRIFAUREUM"
"706","Trifolium aureum","Trifolium aureum","Trifolium patens Schreb., 1804",127234,127429,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium patens","TRIFAUREUM","TRIFAUREUM"
"707","Trifolium dubium","Trifolium dubium","Trifolium dubium Sibth., 1794",127294,127294,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium dubium","TRIFDUBIUM","TRIFDUBIUM"
"708","Trifolium fragiferum","Trifolium fragiferum","Trifolium fragiferum L., 1753",127314,127314,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium fragiferum","TRIFFRAGIFE","TRIFFRAGIFE"
"709","Trifolium glomeratum","Trifolium glomeratum","Trifolium glomeratum L., 1753",127326,127326,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium glomeratum","TRIFGLOMERA","TRIFGLOMERA"
"710","Trifolium hybridum","Trifolium hybridum","Trifolium hybridum L., 1753",127337,127337,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium hybridum","TRIFHYBRIDU","TRIFHYBRIDU"
"711","Trifolium hybridum","Trifolium hybridum","Trifolium nigrescens Viv., 1808",127338,127402,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium nigrescens","TRIFHYBRIDU","TRIFHYBRIDU"
"712","Trifolium incarnatum","Trifolium incarnatum","Trifolium incarnatum L., 1753",127340,127340,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium incarnatum","TRIFINCARNA","TRIFINCARNA"
"713","Trifolium lappaceum","Trifolium lappaceum","Trifolium lappaceum L., 1753",127361,127361,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium lappaceum","TRIFLAPPACE","TRIFLAPPACE"
"714","Trifolium micranthum","Trifolium micranthum","Trifolium micranthum Viv., 1824",127387,127387,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium micranthum","TRIFMICRANT","TRIFMICRANT"
"715","Trifolium nigrescens","Trifolium nigrescens","Trifolium nigrescens Viv., 1808",127402,127402,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium nigrescens","TRIFNIGRESC","TRIFNIGRESC"
"716","Trifolium pratense","Trifolium pratense","Trifolium pratense L., 1753",127439,127439,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium pratense","TRIFPRATENS","TRIFPRATENS"
"717","Trifolium resupinatum","Trifolium resupinatum","Trifolium clusii Godr. & Gren., 1849",127456,127274,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium clusii","TRIFRESUPIN","TRIFRESUPIN"
"718","Trifolium resupinatum","Trifolium resupinatum","Trifolium fragiferum L., 1753",127455,127314,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium fragiferum","TRIFRESUPIN","TRIFRESUPIN"
"719","Trifolium resupinatum","Trifolium resupinatum","Trifolium resupinatum L., 1753",127457,127457,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium resupinatum","TRIFRESUPIN","TRIFRESUPIN"
"720","Trifolium stellatum","Trifolium stellatum","Trifolium stellatum L., 1753",127491,127491,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium stellatum","TRIFSTELLAT","TRIFSTELLAT"
"721","Trifolium subterraneum","Trifolium subterraneum","Trifolium subterraneum L., 1753",127498,127498,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium subterraneum","TRIFSUBTERR","TRIFSUBTERR"
"722","Trifolium tomentosum","Trifolium tomentosum","Trifolium tomentosum L., 1753",127506,127506,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Trifolium tomentosum","TRIFTOMENTO","TRIFTOMENTO"
"723","Tripleurospermum inodorum","Tripleurospermum inodorum","Tripleurospermum inodorum (L.) Sch.Bip., 1844",127613,127613,"Angiospermes","Asterales","Asteraceae","Asteroideae","Anthemideae","Tripleurospermum inodorum","TRIPINODORU","TRIPINODORU"
"724","Trisetum flavescens","Trisetum flavescens","Trisetum flavescens (L.) P.Beauv., 1812",127660,127660,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Trisetum flavescens","TRISFLAVESC","TRISFLAVESC"
"725","Triticum aestivum","Triticum aestivum","Triticum aestivum L., 1753 [nom. cons.]",127692,127692,"Angiospermes","Poales","Poaceae","Pooideae","Triticeae","Triticum aestivum","TRITAESTIVU","TRITAESTIVU"
"726","Triticum aestivum","Triticum aestivum","Triticum aestivum L., 1753 [nom. cons.]",127693,127692,"Angiospermes","Poales","Poaceae","Pooideae","Triticeae","Triticum aestivum","TRITAESTIVU","TRITAESTIVU"
"727","Triticum turgidum","Triticum turgidum","Triticum turgidum L., 1753",127827,127827,"Angiospermes","Poales","Poaceae","Pooideae","Triticeae","Triticum turgidum","TRITTURGIDU","TRITTURGIDU"
"728","Tussilago farfara","Tussilago farfara","Tussilago farfara L., 1753",128042,128042,"Angiospermes","Asterales","Asteraceae","Asteroideae","Senecioneae","Tussilago farfara","TUSSFARFARA","TUSSFARFARA"
"729","Ulex europaeus","Ulex europaeus","Ulex europaeus L., 1753",128114,128114,"Angiospermes","Fabales","Fabaceae","Papilionoideae","Genisteae","Ulex europaeus","ULEXEUROPAE","ULEXEUROPAE"
"730","Ulmus minor","Ulmus minor","Ulmus minor Mill., 1768",128175,128175,"Angiospermes","Rosales","Ulmaceae",NA,NA,"Ulmus minor","ULMUMINOR","ULMUMINOR"
"731","Urospermum dalechampii","Urospermum dalechampii","Urospermum dalechampii (L.) Scop. ex F.W.Schmidt, 1795",128255,128255,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Urospermum dalechampii","UROSDALECHA","UROSDALECHA"
"732","Urospermum picroides","Urospermum picroides","Urospermum picroides (L.) Scop. ex F.W.Schmidt, 1795",128256,128256,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Urospermum picroides","UROSPICROID","UROSPICROID"
"733","Urtica dioica","Urtica dioica","Urtica dioica L., 1753",128268,128268,"Angiospermes","Rosales","Urticaceae",NA,"Urticeae","Urtica dioica","URTIDIOICA","URTIDIOICA"
"734","Valerianella locusta","Valerianella locusta","Valerianella locusta (L.) Laterr., 1821",128476,128476,"Angiospermes","Dipsacales","Caprifoliaceae",NA,NA,"Valerianella locusta","VALELOCUSTA","VALELOCUSTA"
"735","Valeriana officinalis","Valeriana officinalis","Valeriana officinalis L., 1753",128419,128419,"Angiospermes","Dipsacales","Caprifoliaceae",NA,NA,"Valeriana officinalis","VALEOFFICIN","VALEOFFICIN"
"736","Valerianella microcarpa","Valerianella microcarpa","Valerianella microcarpa Loisel., 1810",128479,128479,"Angiospermes","Dipsacales","Caprifoliaceae",NA,NA,"Valerianella microcarpa","VALEMICROCA","VALEMICROCA"
"737","Valerianella dentata","Valerianella dentata","Valerianella dentata (L.) Pollich, 1776",128467,128467,"Angiospermes","Dipsacales","Caprifoliaceae",NA,NA,"Valerianella dentata","VALEDENTATA","VALEDENTATA"
"738","Valerianella discoidea","Valerianella discoidea","Valerianella discoidea (L.) Loisel., 1810",128468,128468,"Angiospermes","Dipsacales","Caprifoliaceae",NA,NA,"Valerianella discoidea","VALEDISCOID","VALEDISCOID"
"739","Valerianella eriocarpa","Valerianella eriocarpa","Valerianella eriocarpa Desv., 1809",128470,128470,"Angiospermes","Dipsacales","Caprifoliaceae",NA,NA,"Valerianella eriocarpa","VALEERIOCAR","VALEERIOCAR"
"740","Verbascum sinuatum","Verbascum sinuatum","Verbascum sinuatum L., 1753",128651,128651,"Angiospermes","Lamiales","Scrophulariaceae",NA,"Scrophularieae","Verbascum sinuatum","VERBSINUATU","VERBSINUATU"
"741","Verbascum densiflorum","Verbascum densiflorum","Verbascum densiflorum Bertol., 1810",128567,128567,"Angiospermes","Lamiales","Scrophulariaceae",NA,"Scrophularieae","Verbascum densiflorum","VERBDENSIFL","VERBDENSIFL"
"742","Verbascum pulverulentum","Verbascum pulverulentum","Verbascum lychnitis L., 1753",128634,128602,"Angiospermes","Lamiales","Scrophulariaceae",NA,"Scrophularieae","Verbascum lychnitis","VERBPULVERU","VERBPULVERU"
"743","Verbascum pulverulentum","Verbascum pulverulentum","Verbascum pulverulentum Vill., 1779",128633,128633,"Angiospermes","Lamiales","Scrophulariaceae",NA,"Scrophularieae","Verbascum pulverulentum","VERBPULVERU","VERBPULVERU"
"744","Verbascum thapsus","Verbascum thapsus","Verbascum thapsus L., 1753",128660,128660,"Angiospermes","Lamiales","Scrophulariaceae",NA,"Scrophularieae","Verbascum thapsus","VERBTHAPSUS","VERBTHAPSUS"
"745","Verbena officinalis","Verbena officinalis","Verbena officinalis L., 1753",128754,128754,"Angiospermes","Lamiales","Verbenaceae",NA,"Verbeneae","Verbena officinalis","VERBOFFICIN","VERBOFFICIN"
"746","Veronica arvensis","Veronica arvensis","Veronica arvensis L., 1753",128801,128801,"Angiospermes","Lamiales","Plantaginaceae",NA,"Veroniceae","Veronica arvensis","VEROARVENSI","VEROARVENSI"
"747","Veronica polita","Veronica polita","Veronica polita Fr., 1819",128963,128963,"Angiospermes","Lamiales","Plantaginaceae",NA,"Veroniceae","Veronica polita","VEROPOLITA","VEROPOLITA"
"748","Veronica anagallis-aquatica","Veronica anagallis-aquatica","Veronica anagallis-aquatica L., 1753",128792,128792,"Angiospermes","Lamiales","Plantaginaceae",NA,"Veroniceae","Veronica anagallis-aquatica","VEROANAGALL","VEROANAGALL"
"749","Veronica chamaedrys","Veronica chamaedrys","Veronica chamaedrys L., 1753",128832,128832,"Angiospermes","Lamiales","Plantaginaceae",NA,"Veroniceae","Veronica chamaedrys","VEROCHAMAED","VEROCHAMAED"
"750","Veronica cymbalaria","Veronica cymbalaria","Veronica cymbalaria Bodard, 1798",128842,128842,"Angiospermes","Lamiales","Plantaginaceae",NA,"Veroniceae","Veronica cymbalaria","VEROCYMBALA","VEROCYMBALA"
"751","Veronica filiformis","Veronica filiformis","Veronica filiformis Sm., 1791",128863,128863,"Angiospermes","Lamiales","Plantaginaceae",NA,"Veroniceae","Veronica filiformis","VEROFILIFOR","VEROFILIFOR"
"752","Veronica hederifolia","Veronica hederifolia","Veronica hederifolia L., 1753",128880,128880,"Angiospermes","Lamiales","Plantaginaceae",NA,"Veroniceae","Veronica hederifolia","VEROHEDERIF","VEROHEDERIF"
"753","Veronica persica","Veronica persica","Veronica persica Poir., 1808",128956,128956,"Angiospermes","Lamiales","Plantaginaceae",NA,"Veroniceae","Veronica persica","VEROPERSICA","VEROPERSICA"
"754","Veronica officinalis","Veronica officinalis","Veronica officinalis L., 1753",128938,128938,"Angiospermes","Lamiales","Plantaginaceae",NA,"Veroniceae","Veronica officinalis","VEROOFFICIN","VEROOFFICIN"
"755","Veronica serpyllifolia","Veronica serpyllifolia","Veronica serpyllifolia L., 1753",129003,129003,"Angiospermes","Lamiales","Plantaginaceae",NA,"Veroniceae","Veronica serpyllifolia","VEROSERPYLL","VEROSERPYLL"
"756","Vicia cracca","Vicia cracca","Vicia cracca L., 1753",129147,129147,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Vicia cracca","VICICRACCA","VICICRACCA"
"757","Vicia sativa","Vicia sativa","Vicia sativa L., 1753",129298,129298,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Vicia sativa","VICISATIVA","VICISATIVA"
"758","Vicia lathyroides","Vicia lathyroides","Vicia lathyroides L., 1753",129207,129207,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Vicia lathyroides","VICILATHYRO","VICILATHYRO"
"759","Vicia bithynica","Vicia bithynica","Vicia bithynica (L.) L., 1759",129127,129127,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Vicia bithynica","VICIBITHYNI","VICIBITHYNI"
"760","Vicia faba","Vicia faba","Vicia faba L., 1753",129171,129171,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Vicia faba","VICIFABA","VICIFABA"
