ID_ENI;Codeconcat;Phi;ID_baseflor;weeds_annual_crops;weeds_market_crops;weeds_vineyards;other_status;biol_type_simpl;biol_type_baseflor;SLA_NA;Height_min;Height_max;Height_horiz;Height_mean;Seed_mass_NA;Flow_on;Flow_end;Flow_dur;pollination_mode;dispersal_mode;EIV_L;EIV_T;EIV_K;EIV_F;EIV_R;EIV_N;taxref.name;rang_taxinomique;N°_Taxinomique_BDNFF;N°_Nomenclatural_BDNFF;code_CATMINAT;NOM_SCIENTIFIQUE;CHOROLOGIE2;inflorescence;sexualité;ordre_maturation;pollinisation;fruit;dissémination;couleur_fleur;macule;floraison;type_ligneux;Hauteur_végétative_maximum_[m];TYPE_BIOLOGIQUE;FORMATION_VEGETALE;CARACTERISATION_ECOLOGIQUE_(HABITAT_OPTIMAL);INDICATION_PHYTOSOCIOLOGIQUE_CARACTERISTIQUE;INDICATION_CARACTERISTIQUE_TRANSGRESSIVE;INDICATION_DIFFERENTIELLE_1;INDICATION_DIFFERENTIELLE_2;INDICATION_DIFFERENTIELLE_3;Lumière;Température;Continentalité;Humidité_atmosphérique;Humidité_édaphique;Réaction_du_sol_(pH);Niveau_trophique;Salinité;Texture;Matière_organique;Lichtzahl;Temperaturzahl;Kontinentalität;Feuchtzahl;Reaktionszahl;Nutrients;Salz;ROYAUME_[ou_subroyaume_?];EMBRANCHEMENT_[= division._phylum]_(-ophyta);SUBEMBRANCHEMENT_(-ophytina);CLASSE_(-opsida);SUBCLASSE_(-idae);Clade_intermédiaire;Clade_intermédiaire;Clade_intermédiaire;SUPERORDRE_(-anae);Clade_intermédiaire;ORDRE_(-ales);SUBORDRE_(ineae);FAMILLE;SUBFAMILLE_(-oideae);TRIBU_(-eae);SUBTRIBU_(-inae);SECTION;SUBSECTION;SERIE;PhytobaseID;Nom Phytobase;Genre;CHOROLOGIE;TYPE_BIOLOGIQUE;flowering_onset;flowering_onset_season;flowering_duration;pollination_syndrom;dispersal_syndrom;Ell_N;Ell_L;Ell_F
Crepis vesicaria subsp. taraxacifolia;Crevesit;0.047887881;Crepis vesicaria subsp. taraxacifolia (Thuill.) Thell. ex Schinz & R.Keller;no;no;no;;hemicryptophyte;hbis(test);19.47273799;0.1;0.8;NA;NA;0.23;5;6;2;entomogame. autogame;anémochore;8;7;3;5;7;6;verif;subsp;739;19797;13/1.0.2.0.2;Crepis vesicaria subsp. taraxacifolia (Thuill.) Thell. ex Schinz & R.Keller;méditerranéen(eury)-atlantique(eury);racème de capitules;hermaphrodite;0;entomogame. autogame;akène;anémochore;jaune;0;05-juin;0;0;hbis(test);hémicryptophytaie;friches vivaces mésohydriques. médio-européennes;Dauco carotae subsp. carotae - Melilotion albi;0;0;0;0;8;7;3;5;5;7;6;0;3;3;9;6;3;4;8;5;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Asterids;Asteranae;Campanulids;Asterales;0;Asteraceae;0;0;0;0;0;0;3322;Crepis ves. haenseleri;Crepis;méditerranéen;hbis(test);verif;verif;verif;verif;verif;verif;verif;verif
Cruciata glabra;Cruglab;0.018767911;Cruciata glabra (L.) Ehrend.;no;no;no;;hemicryptophyte;heri;NA;0.1;0.3;NA;NA;2.24;5;7;3;entomogame;endozoochore;7;3;4;5;5;5;verif;esp;5087;19962;10/1.0.1.0.4;Cruciata glabra (L.) Ehrend.;européen méridional;glomérules;polygame;0;entomogame;baie;endozoochore;jaune;0;05-juil;0;0;heri;hémicryptophytaie;ourlets externes à internes. acidophiles. montagnards;Melampyro sylvatici - Poion chaixii;0;0;0;0;7;3;4;5;5;5;5;0;3;5;7;6;4;5;7;5;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Asterids;Asteranae;Lamiids;Gentianales;0;Rubiaceae;0;0;0;0;0;0;2780;Cruciata glabra;Cruciata;européen;heri;verif;verif;verif;verif;verif;verif;verif;verif
Cruciata laevipes;Crulaev;0.145577539;Cruciata laevipes Opiz;no;no;no;;hemicryptophyte;heri;27.76076923;0.15;0.6;NA;0.43875;3.516;4;6;3;entomogame;endozoochore;6;5;4;5;7;7;cruciata laevipes;esp;5034;19964;13/2.0.1.0.1;Cruciata laevipes Opiz;européen méridional;glomérules;androdioïque;protandre;entomogame;baie;endozoochore;jaune;0;04-juin;0;0;heri;hémicryptophytaie;ourlets externes et friches eutrophiles. mésohydriques à mésohygrophiles. estivaux;Aegopodion podagrariae;0;0;0;0;6;5;4;5;5;7;7;0;3;2;7;5;5;6;6;7;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Asterids;Asteranae;Lamiids;Gentianales;0;Rubiaceae;0;0;0;0;0;0;2779;Cruciata laevipes;Cruciata;européen;heri;4;spring;6;entomogame;zoochore;7;6;5
Cyanus segetum;Cyasege;0.011817535;Cyanus segetum Hill;no;no;no;;therophyte;test;21.06;0.2;0.8;NA;0.623333333;4.0925;5;7;3;entomogame. autogame;anémochore;8;5;5;5;4;6;cyanus segetum;esp;576;20411;13/3.0.1.0.1;Cyanus segetum Hill;cosmopolite;cyme de capitules;hermaphrodite;0;entomogame. autogame;akène;anémochore;bleu;0;05-juil;0;0;test;thérophytaie;annuelles commensales des moissons acidophiles. mésohydriques. sabulicoles;Scleranthion annui;0;(Papaveretalia rhoeadis);0;0;8;5;5;5;5;4;6;0;3;4;7;6;5;x;x;x;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Asterids;Asteranae;Campanulids;Asterales;0;Asteraceae;0;0;0;0;0;0;3002;Centaurea cyanus;Cyanus;Archeophyt;test;5;spring;7;mixed;anémochore;6;8;5
Cynodon dactylon;Cyndact;0.101399189;Cynodon dactylon (L.) Pers.;yes;yes;yes;;geophyte;grhi;23.884;0.05;0.5;NA;0.228857143;0.186785714;7;9;3;anemogame;barochore;8;7;4;7;5;5;cynodon dactylon;esp;6750;20551;12/1.2.3.0.3;Cynodon dactylon (L.) Pers.;cosmopolite(thermo);ombelle simple d'épis;hermaphrodite;0;anemogame;caryopse;barochore;rose;0;07-sept;0;0;grhi;hémicryptophytaie;prairies hygrophiles pâturées à surpiétinées. méditerranéennes;Trifolio fragiferi - Cynodontion dactyli;0;0;0;0;8;7;4;7;7;5;5;1;4;8;8;7;3;4;x;5;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Monocots;0;Commelinids;Lilianae;0;Poales;0;Poaceae;0;0;0;0;0;0;7711;Cynodon dactylon (doublon);Cynodon;cosmopolite(thermo);grhi;7;summer;9;anemogame;barochore;5;8;7
Cynoglossum creticum;Cyncret;0.026542458;Cynoglossum creticum Mill.;no;no;no;;hemicryptophyte;hbis;NA;0.3;1;NA;NA;21.375;4;7;4;entomogame;épizoochore;7;8;3;3;8;6;cynoglossum creticum;esp;1360;20584;13/1.0.1.0.4;Cynoglossum creticum Mill.;méditerranéen;racème de cymes unipares scorpioïdes;hermaphrodite;0;entomogame;akène;épizoochore;bleu;0;04-juil;0;0;hbis;hémicryptophytaie;friches vivaces mésohydriques. thermophiles. euryméditerranéennes. héliophiles;Smyrnion olusatri;0;0;0;0;7;8;3;4;3;8;6;0;3;2;0;0;0;0;0;0;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Asterids;Asteranae;Lamiids;Boraginales;0;Boraginaceae;0;0;0;0;0;0;2418;Cynoglossum creticum;Cynoglossum;méditerranéen;hbis;4;spring;7;entomogame;zoochore;6;7;3
Cynosurus cristatus;Cyncris;0.037538468;Cynosurus cristatus L.;no;no;no;;hemicryptophyte;hces;23.37867914;0.2;0.8;NA;0.486796429;0.48608;5;7;3;anemogame;épizoochore;8;5;5;5;5;5;cynosurus cristatus;esp;6751;20620;12/1.1.3;Cynosurus cristatus L.;européen;épi d'épillets;hermaphrodite;protandre;anemogame;caryopse;épizoochore;vert;0;05-juil;0;0;hces;hémicryptophytaie;prairies mésohydriques européennes. pâturées. planitaires à montagnardes;Trifolio repentis - Cynosuretalia cristati;0;0;0;0;8;5;5;5;5;5;5;0;4;3;8;5;3;5;x;4;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Monocots;0;Commelinids;Lilianae;0;Poales;0;Poaceae;0;0;0;0;0;0;236;Cynosurus cristatus;Cynosurus;européen;hces;5;spring;7;anemogame;zoochore;5;8;5
Cyperus eragrostis;Cyperag;0.018767911;Cyperus eragrostis Lam.;no;no;no;;hemicryptophyte;Hces;NA;0.2;1.2;NA;NA;0.118;7;10;4;anemogame;barochore;8;7;4;8;5;5;verif;esp;6011;20727;12/1.2.3.0.4;Cyperus eragrostis Lam.;introduit (Amér. du sud);cyme d'épis;monoïque;0;anemogame;akène;barochore;vert;0;07-oct;0;0;Hces;hémicryptophytaie;prairies hygrophiles. subtropicales;Paspalo distichi - Polypogonion viridis;0;0;0;0;8;7;4;8;8;5;5;0;1;8;0;0;0;0;0;0;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Monocots;0;Commelinids;Lilianae;0;Poales;0;Cyperaceae;0;0;0;0;0;0;10258;Cyperus eragrostis;Cyperus;Neophyt;Hces;verif;verif;verif;verif;verif;verif;verif;verif
Cyperus longus;Cyplong;0.056229525;Cyperus longus L.;no;no;no;;geophyte;Grhi;21.96;0.6;1.5;NA;0.801111111;0.14;6;9;4;anemogame;barochore;9;8;3;9;7;6;cyperus longus;esp;6004;20785;05/3.0.6.0.1;Cyperus longus L.;subtropical(paléo);cyme d'épis;monoïque;0;anemogame;akène;barochore;marron;0;06-sept;0;0;Grhi;hémicryptophytaie;roselières et cariçaies méditerranéennes;Imperato cylindricae - Tripidion ravennae;0;0;0;0;9;8;3;8;9;7;6;0;1;8;8;8;3;9=;x;5;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Monocots;0;Commelinids;Lilianae;0;Poales;0;Cyperaceae;0;0;0;0;0;0;411;Cyperus longus;Cyperus;subtropical;Grhi;6;spring;9;anemogame;barochore;6;9;9
Dactylis glomerata;Dacglom;0.687677262;Dactylis glomerata L. ;no;no;no;;hemicryptophyte;Hces;23.74747148;0.2;1.5;NA;0.564884025;0.833011348;4;9;6;anemogame;épizoochore;7;5;5;5;5;7;dactylis glomerata;esp;6754;21111;12/1.1.1;Dactylis glomerata L. ;eurasiatique méridional;panicule d'épillets;hermaphrodite;protandre;anemogame;caryopse;épizoochore;vert;0;04-sept;0;0;Hces;hémicryptophytaie;prairies mésohydriques. fauchées. planitiaires à montagnardes;Arrhenatheretalia elatioris subsp. elatioris;0;0;0;0;7;5;5;5;5;5;7;0;2;3;7;x;3;5;x;6;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Monocots;0;Commelinids;Lilianae;0;Poales;0;Poaceae;0;0;0;0;0;0;14914;Dactylis glomerata;Dactylis;eurasiatique;Hces;4;spring;9;anemogame;zoochore;7;7;5
Datura stramonium;Datstra;-0.048008158;Datura stramonium L. ;yes;yes;no;;therophyte;Test;22.01714286;0.4;1;NA;1.25;8.854736842;7;10;4;entomogame;épizoochore;8;6;5;5;7;8;datura stramonium;esp;5544;21654;13/4.0.3;Datura stramonium L. ;cosmopolite;fleur solitaire terminale;hermaphrodite;0;entomogame;capsule;épizoochore;blanc;0;07-oct;0;0;Test;thérophytaie;friches annuelles. nitrophiles. thermophiles. euryméditerranéennes;Chenopodietalia muralis;0;0;0;0;8;6;5;5;5;7;8;1;3;3;8;6;x;4;7;8;1;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Asterids;Asteranae;Lamiids;Solanales;0;Solanaceae;0;0;0;0;0;0;7778;Datura stramonium (doublon);Datura;Neophyt;Test;7;summer;10;entomogame;zoochore;8;8;5
Daucus carota;Daucaro;0.312742504;Daucus carota L. ;no;no;yes;;hemicryptophyte;hbis;20.58338028;0.3;1.5;NA;NA;1;5;10;6;entomogame;épizoochore;8;5;5;5;6;6;ambiguous;esp;151;21674;13/1.0.2;Daucus carota L. ;européen;ombelle d'ombellules;hermaphrodite;0;entomogame;akène;épizoochore;blanc;0;05-oct;0;0;hbis;hémicryptophytaie;friches vivaces mésoxérophiles. médio-européennes;Onopordetalia acanthii subsp. acanthii;0;0;0;0;8;5;5;5;5;6;6;0;3;2;8;6;5;4;x;4;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Asterids;Asteranae;Campanulids;Apiales;0;Apiaceae;0;0;0;0;0;0;15200;Daucus carota;Daucus;européen;hbis;5;spring;10;entomogame;zoochore;6;8;5
Dianthus armeria;Diaarme;0.059361899;Dianthus armeria L. ;no;no;no;;hemicryptophyte;heri(test);14.88;0.1;0.6;NA;0.467142857;0.29;6;8;3;entomogame;épizoochore;6;5;5;5;4;3;dianthus armeria;esp;30078;75086;08/8.2.2;Dianthus armeria L. ;européen;cyme bipare;hermaphrodite;0;entomogame;capsule;épizoochore;rose;blanc;06-ao˚t;0;0;heri(test);hémicryptophytaie;pelouses arénicoles basophiles. médio-européennes occidentales. mésoxérophiles;Koelerio macranthae - Phleetalia phleoidis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;3;5;x;3;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;0;Caryophyllanae;0;Caryophyllales;0;Caryophyllaceae;0;0;0;0;0;0;14235;Dianthus armeria;Dianthus;européen;heri(test);6;spring;8;entomogame;zoochore;NA;NA;NA
Digitalis purpurea;Digpurp;0.026542458;Digitalis purpurea L.;no;no;no;;hemicryptophyte;Hbis;16.73333333;0.3;2;NA;NA;0.1;5;9;5;entomogame;épizoochore;6;6;3;5;3;6;verif;esp;5324;22437;13/8.0.1.0.1;Digitalis purpurea L.;méditerranéen-atlantique;racème simple;hermaphrodite;protandre;entomogame;capsule;épizoochore;rose;rose;05-sept;0;0;Hbis;hémicryptophytaie;mégaphorbiaies pionnières de clairières acidophiles planitiaires-collinéennes;Epilobion angustifolii;0;0;0;0;6;6;3;6;5;3;6;0;4;4;7;5;2;5;3;6;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Asterids;Asteranae;Lamiids;Lamiales;Lamiineae;Plantaginaceae;Digitalideae;0;0;0;0;0;2672;Digitalis purpurea;Digitalis;méditerranéen;Hbis;verif;verif;verif;verif;verif;verif;verif;verif
Digitaria ischaemum;Digisch;-0.013413246;Digitaria ischaemum (Schreb.) Muhl.;yes;no;no;;therophyte;test;40.02787295;0.1;0.5;NA;NA;0.48;7;10;4;anemogame;barochore;8;7;5;4;2;5;digitaria ischaemum;esp;6778;22471;13/3.0.1.0.2;Digitaria ischaemum (Schreb.) Muhl.;cosmopolite(thermo);ombelle simple d'épis;hermaphrodite;0;anemogame;caryopse;barochore;rose;0;07-oct;0;0;test;thérophytaie;annuelles commensales des cultures sarclées acidophiles. mésohydriques. des sols sableux;Digitario sanguinalis - Setarion viridis;0;0;0;0;8;7;5;3;4;2;5;0;4;4;7;6;4;5;2;3;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Monocots;0;Commelinids;Lilianae;0;Poales;0;Poaceae;Panicoideae;Paniceae;Digitariinae;0;0;0;166;Digitaria ischaemum;Digitaria;cosmopolite(thermo);test;7;summer;10;anemogame;barochore;5;8;4
Digitaria sanguinalis;Digsang;-0.044955903;Digitaria sanguinalis (L.) Scop.;yes;yes;yes;;therophyte;test;35.2487309;0.1;0.8;NA;NA;0.491;7;10;4;anemogame;barochore;8;7;4;4;5;6;ambiguous;esp;6780;22486;13/3.0.1.0.2;Digitaria sanguinalis (L.) Scop.;cosmopolite(thermo);ombelle simple d'épis;hermaphrodite;0;anemogame;caryopse;barochore;rose;0;07-oct;0;0;test;thérophytaie;annuelles commensales des cultures sarclées acidophiles. mésohydriques. des sols sableux;Digitario sanguinalis - Setarion viridis;0;0;0;0;8;7;4;3;4;5;6;0;3;4;7;7;3;4;5;5;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Monocots;0;Commelinids;Lilianae;0;Poales;0;Poaceae;Panicoideae;Paniceae;Digitariinae;0;0;0;167;Digitaria sanguinalis;Digitaria;cosmopolite(thermo);test;7;summer;10;anemogame;barochore;6;8;4
Diplotaxis erucoides;Diperuc;0.0098337;Diplotaxis erucoides (L.) DC.;no;no;no;;therophyte;tver;26.36;0.1;0.8;NA;0.5;0.2;4;6;3;entomogame;anémochore;8;8;3;4;8;7;diplotaxis erucoides;esp;30087;75095;13/3.0.2.0.7;Diplotaxis erucoides (L.) DC.;méditerranéen occidental;racème simple;hermaphrodite;0;entomogame;silique;anémochore;blanc;rose;04-juin;0;0;tver;thérophytaie;annuelles commensales des cultures sarclées basophiles. méditerranéennes;Diplotaxion erucoidis;0;0;0;0;8;8;3;3;4;8;7;0;3;2;0;0;0;0;0;0;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Rosids;Rosanae;Malvids;Brassicales;0;Brassicaceae;0;0;0;0;0;0;7766;Diplotaxis erucoides (doublon);Diplotaxis;méditerranéen;tver;4;spring;6;entomogame;anémochore;7;8;4
Diplotaxis tenuifolia;Diptenu;0.002773477;Diplotaxis tenuifolia (L.) DC.;no;no;no;;hemicryptophyte;heri;22.448;0.2;1;NA;0.54;0.308571429;5;9;5;entomogame;anémochore;7;6;4;4;6;6;diplotaxis tenuifolia;esp;1633;22660;13/26.0.1.0.2;Diplotaxis tenuifolia (L.) DC.;européen méridional;racème simple;hermaphrodite;0;entomogame;silique;anémochore;jaune;0;05-sept;0;0;heri;hémicryptophytaie;friches vivaces rudérales pionnières. mésoxérophiles à mésohydriques. médio-européennes;Falcario vulgaris - Poion angustifoliae;0;0;0;0;7;6;4;4;4;6;6;0;4;2;8;7;3;3;x;6;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Rosids;Rosanae;Malvids;Brassicales;0;Brassicaceae;0;0;0;0;0;0;1351;Diplotaxis tenuifolia;Diplotaxis;européen;heri;5;spring;9;entomogame;anémochore;6;7;4
Dipsacus fullonum;Dipfull;0.075098114;Dipsacus fullonum L.;no;no;no;;hemicryptophyte;Hbis;20.07671667;0.8;2;NA;NA;3.19;7;9;3;entomogame. autogame;anémochore;8;6;4;6;7;8;ambiguous;esp;2584;22678;05/2.0.2.0.1;Dipsacus fullonum L.;européen méridional;cyme capituliforme;hermaphrodite;protandre;entomogame. autogame;akène;anémochore;rose;0;07-sept;0;0;Hbis;hémicryptophytaie;mégaphorbiaies eutrophisées. planitiaires. médio-européennes plutôt occidentales;Convolvulion sepium;0;0;0;0;8;6;4;7;6;7;8;0;1;8;9;6;3;6~;8;7;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Asterids;Asteranae;Campanulids;Dipsacales;0;Caprifoliaceae;0;0;0;0;0;0;2860;Dipsacus fullonum;Dipsacus;européen;Hbis;7;summer;9;mixed;anémochore;8;8;6
Dittrichia viscosa;Ditvisc;0.049468067;Dittrichia viscosa (L.) Greuter ;no;no;yes;;chamephyte;csuf;NA;0.2;1.5;NA;NA;0.41;9;10;2;entomogame;anémochore;8;8;4;7;7;6;verif;esp;30089;75097;13/1.0.1.0.9;Dittrichia viscosa (L.) Greuter ;méditerranéen;racème de capitules;hermaphrodite;0;entomogame;akène;anémochore;jaune;0;09-oct;0;0;csuf;hémicryptophytaie;friches vivaces mésohydriques. thermophiles. euryméditerranéennes. héliophiles;Hyperico perforati - Ferulion communis;0;0;0;0;8;8;4;6;7;7;6;1;1;8;0;0;0;0;0;0;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Asterids;Asteranae;Campanulids;Asterales;0;Asteraceae;0;0;0;0;0;0;15047;Dittrichia viscosa;Dittrichia;méditerranéen;csuf;verif;verif;verif;verif;verif;verif;verif;verif
Lotus rectus;Dorrect;0.018767911;Dorycnium rectum (L.) Ser.;no;no;no;;hemicryptophyte;heri;NA;0.6;2;NA;NA;NA;5;8;4;entomogame;épizoochore;8;8;3;6;7;3;verif;esp;2882;22846;05/2.0.1.0.3;Dorycnium rectum (L.) Ser.;méditerranéen;racème capituliforme;hermaphrodite;0;entomogame;gousse;épizoochore;blanc;rose;05-ao˚t;0;0;heri;hémicryptophytaie;mégaphorbiaies planitiaires-collinéennes. mésotrophiles. méditerranéennes;Dorycnio recti - Rumicion conglomerati;0;0;0;0;8;8;3;6;6;7;3;0;3;9;0;0;0;0;0;0;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Rosids;Rosanae;Fabids;Fabales;0;Fabaceae;0;0;0;0;0;0;10493;Dorycnium rectum;Dorycnium;méditerranéen;heri;verif;verif;verif;verif;verif;verif;verif;verif
Dryopteris filix-mas;Dryfili;0.018767911;Dryopteris filix-mas (L.) Schott;no;no;no;;hemicryptophyte;Hces;24.2;0.2;1;NA;NA;NA;6;10;5;hydrogame;autochore;3;5;5;5;5;6;verif;esp;7379;23262;10/3.;Dryopteris filix-mas (L.) Schott;holarctique;0;monoïque;0;hydrogame;0;autochore;0;0;06-oct;0;0;Hces;hémicryptophytaie;sous-bois herbacés médio-européens. planitiaires à montagnards;Anemono nemorosae - Caricetea sylvaticae;0;0;0;0;3;5;5;7;5;5;6;0;3;4;3;x;3;5;5;6;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Polypodiidae;0;0;0;Filicanae;0;Filicales s. l.;0;Dryopteridaceae;0;0;0;0;0;0;22;Dryopteris filix-mas;Dryopteris;holarctique;Hces;verif;verif;verif;verif;verif;verif;verif;verif
Dysphania ambrosioides;Dysambr;0.018767911;Dysphania ambrosioides (L.) Mosyakin & Clemants;no;no;no;;therophyte;test;27.79;0.3;1;NA;0.768;0.286363636;7;11;5;anemogame;barochore;8;6;4;7;7;6;dysphania ambrosioides;esp;2337;101178;13/4.0.3.0.1;Dysphania ambrosioides (L.) Mosyakin & Clemants;introduit (Amér. tropicale);épi de cymes triflores;hermaphrodite;0;anemogame;akène;barochore;vert;0;07-nov;0;0;test;thérophytaie;friches annuelles. nitrophiles. thermophiles. estivales. mésohydriques;Chenopodion muralis;0;(Chenopodion muralis);0;0;8;6;4;7;7;7;6;0;4;3;0;0;0;0;0;0;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;0;Caryophyllanae;0;Caryophyllales;0;Amaranthaceae;0;0;0;0;0;0;10383;Chenopodium ambrosioides;Dysphania;Neophyt;test;7;summer;11;anemogame;barochore;6;8;7
Echinochloa crus-galli;Echcrus;-0.069307954;Echinochloa crus-galli (L.) P.Beauv.;yes;yes;yes;;therophyte;Test;25.70444444;0.2;1.5;NA;0.73;1.585;7;10;4;anemogame;épizoochore;8;7;4;6;8;8;echinochloa crus-galli;esp;9891;23376;04/6.;Echinochloa crus-galli (L.) P.Beauv.;cosmopolite(thermo);panicule d'épillets;hermaphrodite;0;anemogame;caryopse;épizoochore;vert. rose;0;07-oct;0;0;Test;thérophytaie;friches annuelles hygrophiles à hydrophiles. eutrophiles. pionnières. eurasiatiques;Bidentetea tripartitae;0;0;0;0;8;7;4;7;6;8;8;0;2;3;6;7;5;5;x;8;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Monocots;0;Commelinids;Lilianae;0;Poales;0;Poaceae;0;0;0;0;0;0;171;Echinochloa crus-galli;Echinochloa;cosmopolite(thermo);Test;7;summer;10;anemogame;zoochore;8;8;6
Echium plantagineum;Echplan;0.079657324;Echium plantagineum L.;no;no;no;;hemicryptophyte;hbis;16.34;0.2;0.8;NA;0.355714286;3.723333333;5;7;3;entomogame;barochore;8;7;4;4;7;8;NA;subsp;1374;23538;13/1.0.1.0.1;Echium plantagineum L.;européen méridional;racème de cymes unipares scorpioïdes;hermaphrodite;0;entomogame;akène;barochore;bleu;0;05-juil;0;0;hbis;hémicryptophytaie;friches vivaces xérophiles. mésoméditerranéennes occidentales;Echio plantaginei - Galactition elegantis;0;0;0;0;8;7;4;3;4;7;8;0;4;2;0;0;0;0;0;0;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Asterids;Asteranae;Lamiids;Boraginales;0;Boraginaceae;0;0;0;0;0;0;12079;Echium plantagineum;Echium;européen;hbis;NA;NA;NA;NA;NA;NA;NA;NA
Echium vulgare;Echvulg;0.067687752;Echium vulgare L.;no;no;no;;hemicryptophyte;hbis;14.762;0.3;1.5;NA;0.786153846;2.776363636;4;7;4;entomogame;barochore;8;5;4;4;6;4;echium vulgare;esp;9898;23559;13/1.0.2;Echium vulgare L.;européen;racème de cymes unipares scorpioïdes;hermaphrodite;protandre;entomogame;akène;barochore;bleu;0;0;0;0;hbis;hémicryptophytaie;friches vivaces mésoxérophiles. médio-européennes;Onopordetalia acanthii subsp. acanthii;0;0;0;0;8;5;4;3;4;6;4;0;4;1;9;6;3;4;8;4;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Asterids;Asteranae;Lamiids;Boraginales;0;Boraginaceae;0;0;0;0;0;0;7725;Echium vulgare (doublon);Echium;européen;hbis;NA;NA;NA;entomogame;barochore;4;8;4
Elytrigia campestris;Elycamp;0.116961191;Elytrigia campestris (Godr. & Gren.) Kerguélen ex Carreras;no;no;no;;geophyte;Grhi;NA;0.3;1.2;NA;NA;NA;5;8;4;anemogame;épizoochore;9;7;4;3;7;6;ambiguous;esp;6797;23880;13/26.0.1;Elytrigia campestris (Godr. & Gren.) Kerguélen ex Carreras;méditerranéen(eury)-atlantique(eury);épi d'épillets;hermaphrodite;0;anemogame;caryopse;épizoochore;vert;0;05-ao˚t;0;0;Grhi;hémicryptophytaie;friches vivaces rudérales pionnières. mésoxérophiles à mésohydriques. médio-européennes;Elytrigietalia intermedio - repentis;0;0;0;0;9;7;4;3;3;7;6;0;3;2;0;0;0;0;0;0;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Monocots;0;Commelinids;Lilianae;0;Poales;0;Poaceae;0;0;0;0;0;0;12172;Elymus pun. campestris;Elytrigia;méditerranéen;Grhi;5;spring;8;anemogame;zoochore;6;9;3
Elytrigia repens;Elyrepe;0.433661708;Elytrigia repens (L.) Desv. ex Nevski;yes;no;yes;;geophyte;Grhi;21.63115924;0.3;1.2;NA;0.745813164;2.18;6;9;4;anemogame;épizoochore;7;5;5;5;5;7;elytrigia repens;esp;9912;23913;13/26.0.1;Elytrigia repens (L.) Desv. ex Nevski;holarctique;épi d'épillets;hermaphrodite;protandre;anemogame;caryopse;épizoochore;vert;0;06-sept;0;0;Grhi;hémicryptophytaie;friches vivaces rudérales pionnières. mésoxérophiles à mésohydriques. médio-européennes;Elytrigietalia intermedio - repentis;0;0;0;0;7;5;5;5;5;5;7;1;2;2;7;6;7;x~;x;7;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Monocots;0;Commelinids;Lilianae;0;Poales;0;Poaceae;0;0;0;0;0;0;15344;Elymus repens;Elytrigia;holarctique;Grhi;6;spring;9;anemogame;zoochore;7;7;5
