ID_ENI;Codeconcat;Phi;ID_baseflor;weeds_annual_crops;weeds_market_crops;weeds_vineyards;other_status;biol_type_simpl;biol_type_baseflor;SLA_NA;Height_min;Height_max;Height_horiz;Height_mean;Seed_mass_NA;Flow_on;Flow_end;Flow_dur;pollination_mode;dispersal_mode;EIV_L;EIV_T;EIV_K;EIV_F;EIV_R;EIV_N;taxref.name;rang_taxinomique;N°_Taxinomique_BDNFF;N°_Nomenclatural_BDNFF;code_CATMINAT;NOM_SCIENTIFIQUE;CHOROLOGIE2;inflorescence;sexualité;ordre_maturation;pollinisation;fruit;dissémination;couleur_fleur;macule;floraison;type_ligneux;Hauteur_végétative_maximum_[m];TYPE_BIOLOGIQUE;FORMATION_VEGETALE;CARACTERISATION_ECOLOGIQUE_(HABITAT_OPTIMAL);INDICATION_PHYTOSOCIOLOGIQUE_CARACTERISTIQUE;INDICATION_CARACTERISTIQUE_TRANSGRESSIVE;INDICATION_DIFFERENTIELLE_1;INDICATION_DIFFERENTIELLE_2;INDICATION_DIFFERENTIELLE_3;Lumière;Température;Continentalité;Humidité_atmosphérique;Humidité_édaphique;Réaction_du_sol_(pH);Niveau_trophique;Salinité;Texture;Matière_organique;Lichtzahl;Temperaturzahl;Kontinentalität;Feuchtzahl;Reaktionszahl;Nutrients;Salz;ROYAUME_[ou_subroyaume_?];EMBRANCHEMENT_[= division._phylum]_(-ophyta);SUBEMBRANCHEMENT_(-ophytina);CLASSE_(-opsida);SUBCLASSE_(-idae);Clade_intermédiaire;Clade_intermédiaire;Clade_intermédiaire;SUPERORDRE_(-anae);Clade_intermédiaire;ORDRE_(-ales);SUBORDRE_(ineae);FAMILLE;SUBFAMILLE_(-oideae);TRIBU_(-eae);SUBTRIBU_(-inae);SECTION;SUBSECTION;SERIE;PhytobaseID;Nom Phytobase;Genre;CHOROLOGIE;TYPE_BIOLOGIQUE;flowering_onset;flowering_onset_season;flowering_duration;pollination_syndrom;dispersal_syndrom;Ell_N;Ell_L;Ell_F
Agrostis capillaris;Agrcapi;0.20315302;Agrostis capillaris L. ;no;no;no;;hemicryptophyte;hsto;29.92424441;0.15;0.8;NA;0.359506818;0.064601852;6;9;4;anemogame;barochore;7;5;4;5;4;4;agrostis capillaris;esp;8553;1634;08/8.1.2;Agrostis capillaris L. ;holarctique;panicule d'épillets;hermaphrodite;protandre;anemogame;caryopse;barochore;vert. rose;0;06-sept;0;0;hsto;hémicryptophytaie;pelouses des sables continentaux acidophiles à neutroclines. planitiaires-collinéennes;Agrostio capillaris - Jasionetalia montanae;0;0;0;0;7;5;4;5;5;4;4;0;4;3;7;x;3;x;4;4;0b;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Monocots;0;Commelinids;Lilianae;0;Poales;0;Poaceae;0;0;0;0;0;0;7542;Agrostis capillaris (doublon);Agrostis;holarctique;hsto;6;spring;9;anemogame;barochore;4;7;5
Agrostis curtisii;Agrcurt;0.018767911;Agrostis curtisii Kerguélen;no;no;no;;hemicryptophyte;hces;22;0.3;0.8;NA;NA;0.1024;6;8;3;anemogame;anémochore;8;6;3;4;2;2;verif;esp;6593;1676;09/1.0.1.0.1;Agrostis curtisii Kerguélen;atlantique;panicule d'épillets;hermaphrodite;0;anemogame;caryopse;anémochore;bleu. jaune;0;06-ao˚t;0;0;hces;hémicryptophytaie;pelouses acidophiles planitiaires. thermo-atlantiques;Agrostion curtisii;0;0;0;0;8;6;3;4;4;2;2;0;4;5;0;0;0;0;0;0;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Monocots;0;Commelinids;Lilianae;0;Poales;0;Poaceae;0;0;0;0;0;0;11615;Agrostis curtisii;Agrostis;atlantique;hces;verif;verif;verif;verif;verif;verif;verif;verif
Agrostis gigantea;Agrgiga;0.026542458;Agrostis gigantea Roth;no;no;no;;hemicryptophyte;hsto;18.165;0.3;1.2;NA;0.954166667;0.082222222;6;9;4;anemogame;barochore;7;5;5;7;7;6;agrostis gigantea;esp;6594;1714;12/1.2;Agrostis gigantea Roth;holarctique;panicule d'épillets;hermaphrodite;0;anemogame;caryopse;barochore;vert. rose;0;0;0;0;hsto;hémicryptophytaie;prairies européennes hygrophiles à hydrophiles. inondables;Agrostienea stoloniferae var. stoloniferae;0;0;0;0;7;5;5;8;7;7;6;0;1;8;7;5;3;8;7;6;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Monocots;0;Commelinids;Lilianae;0;Poales;0;Poaceae;0;0;0;0;0;0;193;Agrostis gigantea;Agrostis;holarctique;hsto;NA;NA;NA;anemogame;barochore;6;7;7
Agrostis stolonifera;Agrstol;0.223935738;Agrostis stolonifera L. ;yes;no;no;;hemicryptophyte;hsto;30.29059468;0.1;1.2;NA;0.383242857;0.070257825;5;9;5;anemogame;barochore;8;5;5;8;5;5;agrostis stolonifera;esp;8558;1908;12/1.2;Agrostis stolonifera L. ;holarctique;panicule d'épillets;hermaphrodite;protandre;anemogame;caryopse;barochore;vert. rose;0;05-sept;0;0;hsto;hémicryptophytaie;prairies européennes hygrophiles à hydrophiles. inondables;Agrostienea stoloniferae var. stoloniferae;0;0;0;0;8;5;5;9;8;5;5;1;2;8;8;x;5;7~;x;5;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Monocots;0;Commelinids;Lilianae;0;Poales;0;Poaceae;0;0;0;0;0;0;10478;Agrostis stolonifera v. latifolia *;Agrostis;holarctique;hsto;5;spring;9;anemogame;barochore;5;8;8
Aira caryophyllea;Aircary;0.037538468;Aira caryophyllea L.;no;no;no;;therophyte;test;21.605;0.05;0.4;NA;0.17625;0.130666667;4;7;4;anemogame;épizoochore;9;6;2;2;4;1;aira caryophyllea;esp;8564;2143;08/3.0.1;Aira caryophyllea L.;européen méridional;panicule d'épillets;hermaphrodite;protandre;anemogame;caryopse;épizoochore;vert;0;05-juil;0;0;test;thérophytaie;annuelles des tonsures acidophiles. mésothermes à thermophiles;Tuberarietalia guttatae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;6;2;2;4;1;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Monocots;0;Commelinids;Lilianae;0;Poales;0;Poaceae;0;0;0;0;0;0;268;Aira car. caryophyllea;Aira;européen;test;5;spring;7;anemogame;zoochore;NA;NA;NA
Aira cupaniana;Aircupa;0.018767911;Aira cupaniana Guss. ;no;no;no;;therophyte;tver;NA;0.1;0.5;NA;NA;0.042;4;6;3;anemogame;épizoochore;9;8;4;3;3;2;aira cupaniana;esp;8565;2215;08/3.0.1.1.3;Aira cupaniana Guss. ;méditerranéen occidental;panicule d'épillets;hermaphrodite;0;anemogame;caryopse;épizoochore;vert;0;04-mai;0;0;tver;thérophytaie;annuelles des tonsures acidophiles. thermophiles. mésoméditerranéennes. xérophiles. mésotrophiles;Vulpion ligusticae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Monocots;0;Commelinids;Lilianae;0;Poales;0;Poaceae;0;0;0;0;0;0;13776;Aira cupaniana;Aira;méditerranéen;tver;4;spring;5;anemogame;zoochore;NA;NA;NA
Ajuga reptans;Ajurept;0.037292161;Ajuga reptans L.;no;no;no;;hemicryptophyte;hros;32.865;0.1;0.3;NA;0.176175;1.397857143;4;7;4;entomogame. autogame;myrmécochore;5;5;5;5;5;6;ajuga reptans;esp;3519;2407;12/1.1.3;Ajuga reptans L.;eurasiatique;glomérules spiciformes;hermaphrodite;0;entomogame. autogame;akène;myrmécochore;bleu;0;04-juil;0;0;hros;hémicryptophytaie;prairies mésohydriques européennes. pâturées. planitaires à montagnardes;Trifolio repentis - Cynosuretalia cristati;0;0;0;0;5;5;5;6;5;5;6;0;2;3;6;x;2;6;6;6;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Asterids;Asteranae;Lamiids;Lamiales;0;Lamiaceae;0;0;0;0;0;0;2462;Ajuga reptans;Ajuga;eurasiatique;hros;4;spring;7;mixed;zoochore;6;5;5
Alliaria petiolata;Allpeti;0.032508503;Alliaria petiolata (M.Bieb.) Cavara & Grande;no;no;no;;therophyte;tver(hros);38.38529412;0.2;1.2;NA;0.636666667;2.664375;4;6;3;entomogame. autogame;barochore;4;5;5;5;7;8;alliaria petiolata;esp;1468;2913;13/6.0.1.0.1;Alliaria petiolata (M.Bieb.) Cavara & Grande;eurasiatique;racème simple;hermaphrodite;homogame;entomogame. autogame;silique;barochore;blanc;0;04-juin;0;0;tver(hros);thérophytaie;annuelles pionnières nitrophiles des clairières et lisières européennes. psychrophiles. hémisciaphiles. mésohydriques;Lapsano communis - Geranion robertiani;0;0;0;0;4;5;5;6;5;7;8;0;3;3;5;6;3;5;7;9;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Rosids;Rosanae;Malvids;Brassicales;0;Brassicaceae;0;0;0;0;0;0;1356;Alliaria petiolata;Alliaria;eurasiatique;tver(hros);4;spring;6;mixed;barochore;8;4;5
Allium oleraceum;Alloler;0.032508503;Allium oleraceum L. ;no;no;no;;geophyte;gbul;11.79;0.2;0.8;NA;0.523636364;11.365;6;10;5;entomogame. autogame;barochore;7;6;5;4;7;4;allium oleraceum;esp;8577;3104;09/3.3.1.1.3;Allium oleraceum L. ;eurasiatique tempéré;ombelle simple;hermaphrodite;protandre;entomogame. autogame;akène;barochore;rose;0;07-ao˚t;0;0;gbul;hémicryptophytaie;pelouses basophiles pannonico-sarmatiques;Festucion rupicolae;0;0;0;0;7;6;5;4;4;7;4;0;3;2;7;6;4;3;7;4;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Monocots;0;0;0;0;Asparagales;0;Amaryllidaceae;0;0;0;0;0;0;677;Allium oleraceum;Allium;eurasiatique;gbul;7;summer;8;mixed;barochore;4;7;4
Allium polyanthum;Allpoly;0.003923488;Allium polyanthum Schult. & Schult.f.;no;no;no;;geophyte;gbul;NA;0.3;1.5;NA;NA;NA;6;7;2;entomogame;barochore;7;8;3;5;8;5;ambiguous;esp;6238;3147;09/4.0.1.0.1;Allium polyanthum Schult. & Schult.f.;méditerranéen;ombelle simple;hermaphrodite;0;entomogame;akène;barochore;rose;0;06-juil;0;0;gbul;hémicryptophytaie;pelouses basophiles mésoméditerranéennes. mésoxérophiles;Phlomido lychnitis - Brachypodion retusi;0;0;0;0;7;8;3;5;5;8;5;0;3;2;0;0;0;0;0;0;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Monocots;0;0;0;0;Asparagales;0;Amaryllidaceae;0;0;0;0;0;0;11481;Allium polyanthum;Allium;méditerranéen;gbul;6;spring;7;entomogame;barochore;5;7;5
