ID_ENI;NOM_SCIENTIFIQUE;ID_TaxRef;Family;Taxa name;RED LIST STATUS FR;POP. TREND;PN;Messicole;Agrotolerance;Native_Status;Residence_Time;Naturalization status;Chorology;FM Type;IndVal;P-value;Rank
Convolvulus sepium;Convolvulus sepium L.;92353;Convolvulaceae;Convolvulus sepium L., 1753;LC;Stable;-;-;agrotolerant;Native;-;-;cosmopolit;4;23,2;***;species
Cornus mas;Cornus mas L.;92497;Cornaceae;Cornus mas L., 1753;LC;Not_known;-;-;;Native;-;-;european;5;5,8;**;species
Cornus sanguinea;Cornus sanguinea L. ;92501;Cornaceae;Cornus sanguinea L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;5;5,3;**;species
CORONILLA SCORPIOIDES;Coronilla scorpioides (L.) W.D.J.Koch;92536;Fabaceae;Coronilla scorpioides (L.) W.D.J.Koch, 1837;LC;Not_known;-;-;;Native;-;-;european;3;2,3;;species
Securigera varia;Coronilla varia L.;92546;Fabaceae;Coronilla varia L., 1753;LC;Stable;-;-;;Native;-;-;european;5;2,9;;species
Cosmos;#N/A;191204;Asteraceae;Cosmos Cav., 1791;NA;NA;-;-;;Alien;Neophyt;NA;introduced;NA;NA;;genus
Cota tinctoria;Cota tinctoria (L.) J.Gay ex Guss.;92629;Asteraceae;Cota tinctoria (L.) J.Gay ex Guss., 1844;DD;Not_known;-;-;;Native;-;-;eurasiatic;5;1,4;;species
Crassula tillaea;Crassula tillaea Lest.-Garl.;92806;Crassulaceae;Crassula tillaea Lest.-Garl., 1903;LC;Stable;-;-;;Native;-;-;mediterranean;7;2,1;;species
Crataegus monogyna;Crataegus monogyna Jacq. ;92876;Rosaceae;Crataegus monogyna Jacq., 1775;LC;Stable;-;-;;Native;-;-;eurasiatic;5;2,3;;species
Crepis biennis;Crepis biennis L.;93015;Asteraceae;Crepis biennis L., 1753;LC;Stable;-;-;;Native;-;-;european;5;1,7;;species
CREPIS BURSIFOLIA;Crepis bursifolia L.;93020;Asteraceae;Crepis bursifolia L., 1753;NA;Not_assessed;-;-;;Alien;Neophyt;Naturalized;introduced;7;2,1;;species
Crepis capillaris;Crepis capillaris (L.) Wallr.;93023;Asteraceae;Crepis capillaris (L.) Wallr., 1840;LC;Increase;-;-;;Native;-;-;european;3;1,5;;species
Crepis foetida;Crepis foetida L.;93045;Asteraceae;Crepis foetida L., 1753;LC;Decrease;-;-;;Native;-;-;european;7;14,9;***;species
Crepis leontodontoides;Crepis leontodontoides All.;93079;Asteraceae;Crepis leontodontoides All., 1789;LC;Not_known;-;-;;Native;-;-;mediterranean;7;2,1;;species
