ID_ENI;NOM_SCIENTIFIQUE;ID_TaxRef;Family;Taxa name;RED LIST STATUS FR;POP. TREND;PN;Messicole;Agrotolerance;Native_Status;Residence_Time;Naturalization status;Chorology;FM Type;IndVal;P-value;Rank
GALIUM ALBUM;Galium album Mill.;99366;Rubiaceae;Galium album Mill., 1768;LC;Stable;-;-;;Native;-;-;european;NA;NA;;species
Galium aparine subsp. aparine;Galium aparine L.;99373;Rubiaceae;Galium aparine L., 1753;LC;Stable;-;-;agrotolerant;Native;-;-;eurasiatic;4;33,2;**;species
Galium elongatum;Galium elongatum C.Presl;99418;Rubiaceae;Galium elongatum C.Presl, 1822;LC;Not_known;-;-;;Native;-;-;holarctic;7;2,1;;species
GALIUM MOLLUGO;Galium mollugo L. ;99473;Rubiaceae;Galium mollugo L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;5;17,5;**;species
Galium murale;Galium murale (L.) All.;99479;Rubiaceae;Galium murale (L.) All., 1785;LC;Stable;-;-;;Native;-;-;mediterranean;7;2,1;;species
Galium palustre;Galium palustre L.;99494;Rubiaceae;Galium palustre L., 1753;LC;Stable;-;-;;Native;-;-;holarctic;4;3,4;;species
GALIUM PARISIENSE;Galium parisiense L. ;99496;Rubiaceae;Galium parisiense L., 1753;LC;Decrease;-;-;;Native;-;-;mediterranean;7;2,1;;species
Galium rotundifolium;Galium rotundifolium L.;99518;Rubiaceae;Galium rotundifolium L., 1753;LC;Stable;-;-;;Native;-;-;european;2;1;;species
Galium verum;Galium verum L.;99582;Rubiaceae;Galium verum L., 1753;LC;Stable;-;-;;Native;-;-;holarctic;4;1,4;;species
Gnaphalium antillanum;Gnaphalium antillanum Urb.;619555;Asteraceae;Gamochaeta antillana (Urb.) Anderb., 1991;NA;Not_assessed;-;-;;Alien;Neophyt;Naturalized;introduced;5;1,4;;species
Gastridium ventricosum;Gastridium ventricosum (Gouan) Schinz & Thell.;99668;Poaceae;Gastridium ventricosum (Gouan) Schinz & Thell., 1913;LC;Decrease;-;-;;Native;-;-;mediterranean;7;2,1;;species
Gaudinia fragilis;Gaudinia fragilis (L.) P.Beauv. Çcoph. annuel;99683;Poaceae;Gaudinia fragilis (L.) P.Beauv., 1812;LC;Not_known;-;-;;Native;-;-;mediterranean;7;7,6;**;species
Geranium columbinum;Geranium columbinum L.;100045;Geraniaceae;Geranium columbinum L., 1753;LC;Stable;-;-;agrotolerant;Native;-;-;eurasiatic;6;10,5;**;species
Geranium dissectum;Geranium dissectum L.;100052;Geraniaceae;Geranium dissectum L., 1755;LC;Not_known;-;-;agrotolerant;Native;-;-;eurasiatic;6;15,1;*;species
Geranium molle;Geranium molle L. ;100104;Geraniaceae;Geranium molle L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;7;11,9;*;species
Geranium pusillum;Geranium pusillum L.;100133;Geraniaceae;Geranium pusillum L., 1759;LC;Stable;-;-;;Native;-;-;eurasiatic;1;3,1;;species
Geranium pyrenaicum;Geranium pyrenaicum Burm.f. ;100136;Geraniaceae;Geranium pyrenaicum Burm.f., 1759;LC;Stable;-;-;;Native;-;-;eurasiatic;6;2,1;;species
Geranium robertianum;Geranium robertianum L.;100142;Geraniaceae;Geranium robertianum L., 1753;LC;Stable;-;-;;Native;-;-;holarctic;5;7,1;**;species
Geranium rotundifolium;Geranium rotundifolium L.;100144;Geraniaceae;Geranium rotundifolium L., 1753;LC;Not_known;-;-;agrotolerant;Native;-;-;european;7;25,8;***;species
Geum urbanum;Geum urbanum L.;100225;Rosaceae;Geum urbanum L., 1753;LC;Stable;-;-;;Native;-;-;european;5;5,9;*;species
Glebionis segetum;Glebionis segetum (L.) Fourr.;100304;Asteraceae;Glebionis segetum (L.) Fourr., 1869;LC;Decrease;-;messicole;;Native;-;-;european;5;1,4;;species
Glechoma hederacea;Glechoma hederacea L.;100310;Lamiaceae;Glechoma hederacea L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;4;6,8;*;species
Globularia bisnagarica;Globularia bisnagarica L.;100338;Plantaginaceae;Globularia bisnagarica L., 1753;LC;Not_known;-;-;;Native;-;-;european;6;1,5;;species
Glyceria;#N/A;192847;Poaceae;Glyceria R.Br., 1810;NA;NA;-;-;;NA;NA;NA;NA;NA;NA;;genus
Gnaphalium uliginosum;Gnaphalium uliginosum L. ;100519;Asteraceae;Gnaphalium uliginosum L., 1753;LC;Not_known;-;-;;Native;-;-;eurasiatic;3;2,3;;species
Hainardia cylindrica;Hainardia cylindrica (Willd.) Greuter;100710;Poaceae;Hainardia cylindrica (Willd.) Greuter, 1967;LC;Not_known;-;-;;Native;-;-;mediterranean;6;3;*;species
Hedera helix;Hedera helix L.;100787;Araliaceae;Hedera helix L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;5;6,6;*;species
Hedypnois rhagadioloides;Hedypnois rhagadioloides (L.) F.W.Schmidt;100813;Asteraceae;Hedypnois rhagadioloides (L.) F.W.Schmidt, 1795;LC;Not_known;-;-;;Native;-;-;mediterranean;7;8,5;**;species
Helianthus annuus;Helianthus annuus L.;101027;Asteraceae;Helianthus annuus L., 1753;NA;Not_assessed;-;-;;Alien;Neophyt;Casual;introduced;1;0,8;;species
Avenula pratensis;Helictochloa pratensis (L.) Romero Zarco;717224;Poaceae;Helictochloa pratensis (L.) Romero Zarco, 2011;LC;Stable;-;-;;Native;-;-;eurasiatic;6;1,5;;species
Heliotropium europaeum;Heliotropium europaeum L.;101144;Boraginaceae;Heliotropium europaeum L., 1753;LC;Not_known;-;-;;Native;-;-;mediterranean;7;4,2;*;species
Helminthotheca echioides;Helminthotheca echioides (L.) Holub;101210;Asteraceae;Helminthotheca echioides (L.) Holub, 1973;LC;Stable;-;-;;Native;-;-;mediterranean;7;12;**;species
Helosciadium nodiflorum;Helosciadium nodiflorum (L.) W.D.J.Koch;101221;Apiaceae;Helosciadium nodiflorum (L.) W.D.J.Koch, 1824;LC;Stable;-;-;;Native;-;-;eurasiatic;4;3,4;;species
Heracleum sphondylium;Heracleum sphondylium L.;101300;Apiaceae;Heracleum sphondylium L., 1753;LC;Stable;-;-;;Native;-;-;european;4;28,9;***;species
Hieracium;#N/A;193276;Asteraceae;Hieracium L., 1753;NA;NA;-;-;;NA;NA;NA;NA;NA;NA;;genus
Himantoglossum hircinum;Himantoglossum hircinum (L.) Spreng. ;102797;Orchidaceae;Himantoglossum hircinum (L.) Spreng., 1826;LC;Stable;-;-;;Native;-;-;mediterranean;5;1,4;;species
Holcus lanatus;Holcus lanatus L.;102900;Poaceae;Holcus lanatus L., 1753;LC;Stable;-;-;;Native;-;-;circumboreal;2;17,8;**;species
Holcus mollis;Holcus mollis L. ;102901;Poaceae;Holcus mollis L., 1759;LC;Stable;-;-;;Native;-;-;atlantic;4;7,2;*;species
Hordeum murinum;Hordeum murinum L.;102974;Poaceae;Hordeum murinum L., 1753;LC;Stable;-;-;;Native;-;-;holarctic;7;68,5;***;species
Hordeum vulgare;Hordeum vulgare L.;102999;Poaceae;Hordeum vulgare L., 1753;NA;Not_assessed;-;-;;Alien;Archaeophyt;Casual;introduced;4;1,1;;species
HUMULUS LUPULUS;Humulus lupulus L.;103031;Cannabaceae;Humulus lupulus L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;7;2,1;;species
Hylotelephium telephium;Hylotelephium telephium (L.) H.Ohba;103162;Crassulaceae;Hylotelephium telephium (L.) H.Ohba, 1977;LC;Stable;-;-;;Native;-;-;eurasiatic;5;2,9;;species
Hyoseris radiata;Hyoseris radiata L. ;103205;Asteraceae;Hyoseris radiata L., 1753;LC;Not_known;-;-;;Native;-;-;mediterranean;7;2,1;;species
Hypericum australe;Hypericum australe Ten.;103246;Hypericaceae;Hypericum australe Ten., 1826;LC;Not_known;-;-;;Native;-;-;mediterranean;NA;NA;;species
Hypericum hirsutum;Hypericum hirsutum L.;103287;Hypericaceae;Hypericum hirsutum L., 1753;LC;Not_known;-;-;;Native;-;-;european;6;1,5;;species
Hypericum humifusum;Hypericum humifusum L.;103288;Hypericaceae;Hypericum humifusum L., 1753;LC;Not_known;-;-;;Native;-;-;cosmopolit;6;3,2;;species
Hypericum perforatum;Hypericum perforatum L.;103316;Hypericaceae;Hypericum perforatum L., 1753;LC;Stable;-;-;;Native;-;-;cosmopolit;5;14,3;***;species
Hypericum tetrapterum;Hypericum tetrapterum Fr.;103329;Hypericaceae;Hypericum tetrapterum Fr., 1823;LC;Stable;-;-;;Native;-;-;eurasiatic;6;1,5;;species
Hypochaeris glabra;Hypochaeris glabra L.;103364;Asteraceae;Hypochaeris glabra L., 1753;LC;Not_known;-;-;;Native;-;-;european;7;8,5;**;species
Hypochaeris radicata;Hypochaeris radicata L.;103375;Asteraceae;Hypochaeris radicata L., 1753;LC;Not_known;-;-;;Native;-;-;european;6;28;***;species
Impatiens glandulifera;Impatiens glandulifera Royle;103547;Balsaminaceae;Impatiens glandulifera Royle, 1833;NA;Not_assessed;-;-;;Alien;Neophyt;Invasive;introduced;4;2,4;;species
Inula conyza;Inula conyza DC.;945856;Asteraceae;Inula conyzae (Greiss.) DC., 1836;LC;Not_known;-;-;;Native;-;-;eurasiatic;7;2,1;;species
Jacobaea erucifolia;Jacobaea erucifolia (L.) P.Gaertn., B.Mey. & Scherb.;103991;Asteraceae;Jacobaea erucifolia (L.) G.Gaertn., B.Mey. & Scherb., 1801;LC;Not_known;-;-;;Native;-;-;eurasiatic;4;3,4;;species
Jacobaea vulgaris;Jacobaea vulgaris Gaertn.;610646;Asteraceae;Jacobaea vulgaris Gaertn., 1791;LC;Stable;-;-;;Native;-;-;eurasiatic;5;2,3;;species
Jasione montana;Jasione montana L.;104022;Campanulaceae;Jasione montana L., 1753;LC;Stable;-;-;;Native;-;-;mediterranean;5;1,4;;species
Juglans regia;Juglans regia L.;104076;Juglandaceae;Juglans regia L., 1753;NA;Not_assessed;-;-;;Alien;Archaeophyt;Naturalized;introduced;6;0,6;;species
Juncus bufonius;Juncus bufonius L. ;104144;Juncaceae;Juncus bufonius L., 1753;LC;Stable;-;-;;Native;-;-;cosmopolit;6;4;;species
Juncus conglomeratus;Juncus conglomeratus L. ;104160;Juncaceae;Juncus conglomeratus L., 1753;LC;Stable;-;-;;Native;-;-;european;6;1,5;;species
Juncus effusus;Juncus effusus L.;104173;Juncaceae;Juncus effusus L., 1753;LC;Stable;-;-;;Native;-;-;cosmopolit;4;2,4;;species
Kickxia commutata;Kickxia commutata (Bernh. ex Rchb.) Fritsch ;104501;Plantaginaceae;Kickxia commutata (Bernh. ex Rchb.) Fritsch, 1897;LC;Stable;Article 1;-;;Native;-;-;mediterranean;NA;NA;;species
Kickxia elatine;Kickxia elatine (L.) Dumort.;104502;Plantaginaceae;Kickxia elatine (L.) Dumort., 1827;LC;Stable;-;-;;Native;-;-;mediterranean;6;4,8;*;species
Kickxia spuria;Kickxia spuria (L.) Dumort.;104506;Plantaginaceae;Kickxia spuria (L.) Dumort., 1827;LC;Stable;-;-;;Native;-;-;eurasiatic;4;2,1;;species
Knautia arvensis;Knautia arvensis (L.) Coult. ;104516;Caprifoliaceae;Knautia arvensis (L.) Coult., 1828;LC;Stable;-;-;;Native;-;-;eurasiatic;5;2,4;;species
Lactuca muralis;Lactuca muralis (L.) Gaertn.;610995;Asteraceae;Lactuca muralis (L.) Gaertn., 1791;LC;Stable;-;-;;Native;-;-;eurasiatic;5;1,4;;species
Lactuca perennis;Lactuca perennis L. ;104764;Asteraceae;Lactuca perennis L., 1753;LC;Decrease;-;-;;Native;-;-;european;1;0,9;;species
Lactuca serriola;Lactuca serriola L.;104775;Asteraceae;Lactuca serriola L., 1756;LC;Stable;-;-;agrotolerant;Native;-;-;european;7;13;**;species
Lactuca viminea;Lactuca viminea (L.) J.Presl & C.Presl;104786;Asteraceae;Lactuca viminea (L.) J.Presl & C.Presl, 1819;LC;Not_known;-;-;;Native;-;-;mediterranean;7;2,1;;species
Lactuca virosa;Lactuca virosa L.;104787;Asteraceae;Lactuca virosa L., 1753;LC;Not_known;-;-;;Native;-;-;mediterranean;6;1,5;;species
Lamium album;Lamium album L.;104854;Lamiaceae;Lamium album L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;4;22,2;***;species
Lamium amplexicaule;Lamium amplexicaule L. ;104855;Lamiaceae;Lamium amplexicaule L., 1753;LC;Not_known;-;-;;Native;-;-;eurasiatic;7;11,1;***;species
Lamium purpureum;Lamium purpureum L.;104903;Lamiaceae;Lamium purpureum L., 1753;LC;Stable;-;-;agrotolerant;Native;-;-;eurasiatic;4;11,7;**;species
Lapsana communis;Lapsana communis L.;105017;Asteraceae;Lapsana communis L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;4;25,7;***;species
Lathyrus angulatus;Lathyrus angulatus L.;105159;Fabaceae;Lathyrus angulatus L., 1753;LC;Decrease;-;-;;Native;-;-;mediterranean;NA;NA;;species
Lathyrus annuus;Lathyrus annuus L.;105161;Fabaceae;Lathyrus annuus L., 1753;LC;Stable;-;-;;Native;-;-;mediterranean;7;5,8;*;species
Lathyrus aphaca;Lathyrus aphaca L.;105162;Fabaceae;Lathyrus aphaca L., 1753;LC;Not_known;-;-;;Native;-;-;mediterranean;5;0,5;;species
Lathyrus cicera;Lathyrus cicera L.;105175;Fabaceae;Lathyrus cicera L., 1753;LC;Stable;-;-;;Native;-;-;mediterranean;7;8,5;***;species
Lathyrus clymenum;Lathyrus clymenum L. ;105178;Fabaceae;Lathyrus clymenum L., 1753;LC;Stable;-;-;;Native;-;-;mediterranean;7;2,1;;species
Lathyrus hirsutus;Lathyrus hirsutus L.;105201;Fabaceae;Lathyrus hirsutus L., 1753;LC;Decrease;-;-;;Native;-;-;eurasiatic;6;6,1;**;species
Lathyrus latifolius;Lathyrus latifolius L.;105211;Fabaceae;Lathyrus latifolius L., 1753;LC;Stable;-;-;;Native;-;-;european;5;1,4;;species
Lathyrus linifolius;Lathyrus linifolius (Reichard) BÑssler;105214;Fabaceae;Lathyrus linifolius (Reichard) BÑssler, 1971;LC;Stable;-;-;;Native;-;-;european;6;1,5;;species
Lathyrus niger;Lathyrus niger (L.) Bernh.;105230;Fabaceae;Lathyrus niger (L.) Bernh., 1800;LC;Decrease;-;-;;Native;-;-;european;6;1,5;;species
Lathyrus nissolia;Lathyrus nissolia L.;105232;Fabaceae;Lathyrus nissolia L., 1753;LC;Decrease;-;-;;Native;-;-;mediterranean;6;12,1;***;species
Lathyrus pratensis;Lathyrus pratensis L.;105247;Fabaceae;Lathyrus pratensis L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;6;7;*;species
Lathyrus sylvestris;Lathyrus sylvestris L.;105266;Fabaceae;Lathyrus sylvestris L., 1753;LC;Stable;-;-;;Native;-;-;european;5;1,4;;species
Lathyrus tuberosus;Lathyrus tuberosus L.;105273;Fabaceae;Lathyrus tuberosus L., 1753;LC;Decrease;-;-;;Native;-;-;eurasiatic;3;1,2;;species
Leersia oryzoides;Leersia oryzoides (L.) Sw.;105400;Poaceae;Leersia oryzoides (L.) Sw., 1788;LC;Stable;-;-;;Native;-;-;cosmopolit;5;1,4;;species
Legousia speculum-veneris;Legousia speculum-veneris (L.) Chaix;105410;Campanulaceae;Legousia speculum-veneris (L.) Chaix, 1785;LC;Stable;-;messicole;;Alien;Archaeophyt;Naturalized;introduced;NA;NA;;species
Leontodon hispidus;Leontodon hispidus L.;105502;Asteraceae;Leontodon hispidus L., 1753;LC;Not_known;-;-;;Native;-;-;european;6;6,1;**;species
Leontodon saxatilis;Leontodon saxatilis Lam. ;105521;Asteraceae;Leontodon saxatilis Lam., 1779;LC;Stable;-;-;;Native;-;-;european;6;1,5;;species
Lepidium campestre;Lepidium campestre (L.) R.Br.;105607;Brassicaceae;Lepidium campestre (L.) W.T.Aiton, 1812;LC;Stable;-;-;;Native;-;-;european;5;2,5;;species
Lepidium didymum;Lepidium didymum L.;105615;Brassicaceae;Lepidium didymum L., 1767;NA;Not_assessed;-;-;;Alien;Neophyt;Naturalized;introduced;7;2,1;;species
Lepidium draba;Lepidium draba L.;105621;Brassicaceae;Lepidium draba L., 1753;LC;Stable;-;-;;Native;-;-;mediterranean;7;23,2;***;species
Lepidium heterophyllum;Lepidium heterophyllum Benth.;105630;Brassicaceae;Lepidium heterophyllum Benth., 1826;LC;Stable;-;-;;Native;-;-;european;6;1,5;;species
Leucanthemum vulgare gpe;Leucanthemum vulgare Lam.;105817;Asteraceae;Leucanthemum vulgare Lam., 1779;DD;Not_known;-;-;;Native;-;-;eurasiatic;5;2,7;;species
Ligustrum vulgare;Ligustrum vulgare L.;105966;Oleaceae;Ligustrum vulgare L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;5;2,9;;species
Linaria arvensis;Linaria arvensis (L.) Desf.;106150;Plantaginaceae;Linaria arvensis (L.) Desf., 1799;LC;Decrease;-;-;;Native;-;-;mediterranean;NA;NA;;species
Linaria repens;Linaria repens (L.) Mill.;106213;Plantaginaceae;Linaria repens (L.) Mill., 1768;LC;Stable;-;-;;Native;-;-;atlantic;2;1;;species
LINARIA SIMPLEX;Linaria simplex Desf.;106220;Plantaginaceae;Linaria simplex (Willd.) DC., 1805;LC;Not_known;-;-;;Native;-;-;european;7;2,1;;species
Linaria vulgaris;Linaria vulgaris Mill.;106234;Plantaginaceae;Linaria vulgaris Mill., 1768;LC;Not_known;-;-;;Native;-;-;eurasiatic;5;6,7;*;species
Linum strictum;Linum strictum L.;106342;Linaceae;Linum strictum L., 1753;LC;Decrease;-;-;;Native;-;-;mediterranean;7;1,2;;species
Linum usitatissimum subsp. angustifolium;Linum usitatissimum L.;137388;Linaceae;Linum usitatissimum subsp. angustifolium (Huds.) Thell., 1912;LC;Stable;-;-;;Native;-;-;eurasiatic;6;7;**;subsp
Linum usitatissimum;Linum usitatissimum L.;137388;Linaceae;Linum usitatissimum subsp. angustifolium (Huds.) Thell., 1912;LC;Stable;-;-;;Native;-;-;eurasiatic;6;7;**;subsp
Lipandra polyspermum;Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch;717294;Amaranthaceae;Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch, 2012;LC;Stable;-;-;;Native;-;-;eurasiatic;5;3,2;;species
Lobularia maritima;Lobularia maritima (L.) Desv. ;106439;Brassicaceae;Lobularia maritima (L.) Desv., 1815;LC;Stable;-;-;;Native;-;-;mediterranean;7;2,1;;species
Logfia gallica;Logfia gallica (L.) Coss. & Germ.;106449;Asteraceae;Logfia gallica (L.) Coss. & Germ., 1843;LC;Decrease;-;-;;Native;-;-;mediterranean;7;4,3;*;species
Lolium multiflorum;Lolium multiflorum Lam.;106497;Poaceae;Lolium multiflorum Lam., 1779;LC;Stable;-;-;agrotolerant;Native;-;-;mediterranean;7;23,4;***;species
Lolium perenne;Lolium perenne L.;106499;Poaceae;Lolium perenne L., 1753;LC;Stable;-;-;;Native;-;-;circumboreal;1;18,6;***;species
Lolium rigidum;Lolium rigidum Gaudin;106507;Poaceae;Lolium rigidum Gaudin, 1811;LC;Stable;-;-;agrotolerant;Native;-;-;eurasiatic;7;31,6;***;species
Lolium x boucheanum;Lolium x boucheanum Kunth [Lolium multiflorum Lam. x Lolium perenne L.];106523;Poaceae;Lolium x boucheanum Kunth, 1830;NA;NA;-;-;;Alien;Neophyt;Naturalized;introduced;6;4,3;*;hybrid
Lotus angustissimus;Lotus angustissimus L.;106634;Fabaceae;Lotus angustissimus L., 1753;LC;Decrease;-;-;;Native;-;-;eurasiatic;7;7,6;**;species
Lotus corniculatus;Lotus corniculatus L.;106653;Fabaceae;Lotus corniculatus L., 1753;LC;Not_known;-;-;;Native;-;-;eurasiatic;6;24,7;***;species
Lotus edulis;Lotus edulis L.;106666;Fabaceae;Lotus edulis L., 1753;LC;Stable;-;-;;Native;-;-;mediterranean;7;2,1;;species
Lotus ornithopodioides;Lotus ornithopodioides L.;106694;Fabaceae;Lotus ornithopodioides L., 1753;LC;Stable;-;-;;Native;-;-;mediterranean;7;6,4;*;species
Lotus parviflorus;Lotus parviflorus Desf.;106696;Fabaceae;Lotus parviflorus Desf., 1799;LC;Stable;-;-;;Native;-;-;mediterranean;7;6,4;**;species
Lotus pedunculatus;Lotus pedunculatus Cav.;106698;Fabaceae;Lotus pedunculatus Cav., 1793;LC;Stable;-;-;;Native;-;-;eurasiatic;4;3,4;;species
Dorycnium rectum;Dorycnium rectum (L.) Ser.;106708;Fabaceae;Lotus rectus L., 1753;LC;Decrease;-;-;;Native;-;-;mediterranean;7;2,1;;species
Lunaria;#N/A;194312;Brassicaceae;Lunaria L., 1753;NA;NA;-;-;;NA;NA;NA;NA;NA;NA;;genus
Lupinus;#N/A;194315;Fabaceae;Lupinus L., 1753;NA;NA;-;-;;NA;NA;NA;NA;NA;NA;;genus
Silene flos-cuculi;Lychnis flos-cuculi L.;106918;Caryophyllaceae;Lychnis flos-cuculi L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;6;4,5;**;species
Lycopsis arvensis;Lycopsis arvensis L.;107027;Boraginaceae;Lycopsis arvensis L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;5;0,6;;species
Lycopus europaeus;Lycopus europaeus L.;107038;Lamiaceae;Lycopus europaeus L., 1753;LC;Stable;-;-;;Native;-;-;circumboreal;1;0,8;;species
Lysimachia arvensis;Lysimachia arvensis (L.) U.Manns & Anderb.;610909;Primulaceae;Lysimachia arvensis (L.) U.Manns & Anderb., 2009;LC;Stable;-;-;agrotolerant;Native;-;-;cosmopolit;7;8,8;;species
Lysimachia foemina;Lysimachia foemina (Mill.) U.Manns & Anderb.;706505;Primulaceae;Lysimachia foemina (Mill.) U.Manns & Anderb., 2009;LC;Stable;-;-;;Native;-;-;cosmopolit;7;5,1;*;species
Lysimachia nummularia;Lysimachia nummularia L.;107073;Primulaceae;Lysimachia nummularia L., 1753;LC;Not_known;-;-;;Native;-;-;european;5;1,4;;species
Lysimachia vulgaris;Lysimachia vulgaris L. ;107090;Primulaceae;Lysimachia vulgaris L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;7;17;***;species
Lythrum borysthenicum;Lythrum borysthenicum (Schrank) Litv.;107097;Lythraceae;Lythrum borysthenicum (Schrank) Litv., 1917;LC;Not_known;-;-;;Native;-;-;mediterranean;7;2,1;;species
Lythrum hyssopifolia;Lythrum hyssopifolia L.;107106;Lythraceae;Lythrum hyssopifolia L., 1753;LC;Decrease;-;-;;Native;-;-;eurasiatic;7;1;;species
Lythrum salicaria;Lythrum salicaria L.;107117;Lythraceae;Lythrum salicaria L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;6;2,5;;species
Malus domestica;Malus domestica Borkh.;107207;Rosaceae;Malus domestica Borkh., 1803 [nom. cons.];NA;Not_assessed;-;-;;Alien;Archaeophyt;Casual;introduced;5;1,4;;species
Malva moschata;Malva moschata L.;107282;Malvaceae;Malva moschata L., 1753;LC;Stable;-;-;;Native;-;-;mediterranean;5;1,4;;species
Malva multiflora;Malva multiflora (Cav.) Soldano;717790;Malvaceae;Malva multiflora (Cav.) Soldano & Banfi & Galasso, 2005;LC;Increase;-;-;;Native;-;-;mediterranean;7;12,8;***;species
Malva neglecta;Malva neglecta Wallr.;107284;Malvaceae;Malva neglecta Wallr., 1824;LC;Stable;-;-;;Native;-;-;eurasiatic;3;3,3;;species
Lavatera olbia;Malva olbia (L.) Alef.;107290;Malvaceae;Malva olbia (L.) Alef., 1862;LC;Stable;-;-;;Native;-;-;mediterranean;7;2,1;;species
Lavatera punctata;Malva punctata (L.) Alef.;107302;Malvaceae;Malva punctata (L.) Alef., 1862;LC;Decrease;-;-;;Native;-;-;mediterranean;7;4,3;*;species
Malva sylvestris;Malva sylvestris L.;107318;Malvaceae;Malva sylvestris L., 1753;LC;Stable;-;-;agrotolerant;Native;-;-;european;7;44,7;***;species
Matricaria chamomilla;Matricaria chamomilla L. nom. ambig. ;107440;Asteraceae;Matricaria chamomilla L., 1753;LC;Not_known;-;-;agrotolerant;Alien;Archaeophyt;Naturalized;introduced;1;31,4;***;species
Matricaria discoidea;Matricaria discoidea DC.;107446;Asteraceae;Matricaria discoidea DC., 1838;NA;Not_assessed;-;-;;Alien;Neophyt;Naturalized;introduced;1;1,4;;species
Medicago arabica;Medicago arabica (L.) Huds.;107574;Fabaceae;Medicago arabica (L.) Huds., 1762;LC;Not_known;-;-;;Native;-;-;eurasiatic;6;9,2;**;species
Medicago laciniata;Medicago laciniata (L.) Mill.;107639;Fabaceae;Medicago laciniata (L.) Mill., 1768;NA;Not_assessed;-;-;;Alien;Neophyt;-;introduced;7;2,1;;species
Medicago lupulina;Medicago lupulina L.;107649;Fabaceae;Medicago lupulina L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;6;11,7;**;species
Medicago minima;Medicago minima (L.) L.;107658;Fabaceae;Medicago minima (L.) L., 1754;LC;Stable;-;-;;Native;-;-;mediterranean;7;48;***;species
MEDICAGO MONSPELIACA;Medicago monspeliaca (L.) Trautv.;107662;Fabaceae;Medicago monspeliaca (L.) Trautv., 1841;LC;Decrease;-;-;;Native;-;-;mediterranean;7;2,1;;species
Medicago murex;Medicago murex Willd.;107665;Fabaceae;Medicago murex Willd., 1802;LC;Stable;-;-;;Native;-;-;mediterranean;7;2,1;;species
Medicago orbicularis;Medicago orbicularis (L.) Bartal.;107677;Fabaceae;Medicago orbicularis (L.) Bartal., 1776;LC;Decrease;-;-;;Native;-;-;mediterranean;7;13,8;***;species
Medicago polymorpha;Medicago polymorpha L. ;107689;Fabaceae;Medicago polymorpha L., 1753;LC;Stable;-;-;;Native;-;-;cosmopolit;7;29,5;***;species
MEDICAGO RIGIDULA;Medicago rigidula (L.) All.;107706;Fabaceae;Medicago rigidula (L.) All., 1785;LC;Not_known;-;-;;Native;-;-;mediterranean;3;2,3;;species
Medicago sativa;Medicago sativa L.;107711;Fabaceae;Medicago sativa L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;7;12,2;**;species
Medicago truncatula;Medicago truncatula Gaertn.;107739;Fabaceae;Medicago truncatula Gaertn., 1791;LC;Stable;-;-;;Native;-;-;mediterranean;7;4,3;*;species
Melica ciliata;Melica ciliata L.;107851;Poaceae;Melica ciliata L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;7;2,1;;species
Trigonella alba;Melilotus albus Medik.;107886;Fabaceae;Melilotus albus Medik., 1787;LC;Stable;-;-;;Alien;Neophyt;Naturalized;introduced;5;1,4;;species
Trigonella officinalis;Melilotus officinalis Lam.;107942;Fabaceae;Melilotus officinalis (L.) Lam., 1779;LC;Stable;-;-;;Native;-;-;eurasiatic;6;0,8;;species
Melissa officinalis;Melilotus officinalis Lam.;107992;Fabaceae;Melissa officinalis L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;7;2,1;;species
Mentha aquatica;Mentha aquatica L.;108027;Lamiaceae;Mentha aquatica L., 1753;LC;Stable;-;-;;Native;-;-;european;7;4,3;*;species
Mentha arvensis;Mentha arvensis L.;108029;Lamiaceae;Mentha arvensis L., 1753;LC;Stable;-;-;;Native;-;-;circumboreal;6;2,7;;species
Mentha pulegium;Mentha pulegium L. ;108138;Lamiaceae;Mentha pulegium L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;7;4,3;*;species
Mentha suaveolens;Mentha suaveolens Ehrh. ;108168;Lamiaceae;Mentha suaveolens Ehrh., 1792;LC;Stable;-;-;;Native;-;-;mediterranean;6;8,8;**;species
Mentha x villosa;Mentha x villosa Huds. [Mentha spicata L. x Mentha suaveolens Ehrh.];108332;Lamiaceae;Mentha x villosa Huds., 1778;NA;NA;-;-;;Native;-;-;mediterranean;2;1;;hybrid
