"","id_parcelle","code_parcelle","region_biogeo","Soil_Sand_content","Soil_Nitrogen","Soil_Ph_h2o","Soil_Bulk_density","temp_moy_an","temp_range_an","precip_an","xPCA_pays","ShannonCultureTOT","Bordure_Adj_BandeHerbeuse","Bordure_Adj_Zone_humide","Bordure_Adj_Prairie","Bordure_Adj_Autres","Bordure_Adj_HaieBois","Bordure_Adj_BatiRoute","Bordure_Adj_Culture","clust"
"1","1","PCB1","ZSO",-0.732689602059447,-0.901148743628067,-0.940548693666283,-0.916514797171589,-0.0652077568869699,0.0405431857770915,0.329030500536013,0.827213009276171,0.604835955558548,0.573327487242403,-0.469213923698181,-0.399567779875448,-0.163615054934373,1.4228367937674,0.78004633083452,1.00655047917654,"3"
"2","2","12ENICA52003","ZNE",-0.481767260620901,0.286434807273645,0.0109610241817078,1.02892300469182,-0.839513107444011,0.488308862857863,0.881316532646703,1.05861002113254,0.234789246256157,-0.457121963948044,-0.469213923698181,-0.399567779875448,-0.163615054934373,-0.701510062665263,0.78004633083452,1.00655047917654,"3"
"3","3","LR_M_34_1","ZM",-0.107944180518577,-0.967125607567051,1.43822560095369,-0.105915713061834,2.12865740302465,-0.0713982334931012,-0.775541563685369,-1.66496358020629,1.17640017510633,-0.457121963948044,-0.469213923698181,-0.399567779875448,-0.163615054934373,-0.701510062665263,0.78004633083452,1.00655047917654,"2"
"4","4","LR_M_34_2","ZM",0.952074690456506,-1.29700992726197,1.43822560095369,0.542563554225969,2.12865740302465,-0.369908684880282,-0.873893870773574,-0.603185813568248,1.46006535493296,-0.457121963948044,1.90341497349262,-0.399567779875448,-0.163615054934373,-0.701510062665263,0.78004633083452,-0.991638620225772,"2"
"5","5","IF_077_10","BPN",3.01066206307478,-0.395326120095857,0.367777168374704,0.0305962964616126,-0.581411323924997,0.0405431857770915,-0.994942864112904,-0.286481449301275,0.807482080502979,0.573327487242403,-0.469213923698181,-0.399567779875448,-0.163615054934373,1.4228367937674,0.78004633083452,1.00655047917654,"2"
"6","6","PCM6","ZSO",-0.671239232727558,0.330419383232967,0.367777168374704,-0.916514797171589,0.0638431348725368,0.00322937935369396,-0.0643787278168082,-0.291687024487474,0.956553629406853,1.60377693843285,-0.469213923698181,-0.399567779875448,-0.163615054934373,1.4228367937674,0.78004633083452,1.00655047917654,"3"
"7","7","RA_B01","BRSJ",0.265878899583747,-0.263372392217889,0.486715883105703,-0.105915713061834,0.192894026632044,1.12264357205562,1.48656149934335,-0.431352028533001,0.328206791238353,0.573327487242403,-0.469213923698181,-0.399567779875448,-0.163615054934373,-0.701510062665263,0.78004633083452,1.00655047917654,"2"
"8","8","PIC25","BPN",0.716514941350932,-0.94513331958739,0.724593312567701,0.380443737404018,-0.710462215684504,-1.37738145831202,0.177719258861851,1.15865900234754,0.600217551303574,-0.457121963948044,-0.469213923698181,1.573332974449,-0.163615054934373,-0.701510062665263,0.78004633083452,1.00655047917654,"3"
"9","9","IF_077_04","BPS",1.23884308067199,-0.879156455648406,0.367777168374704,0.542563554225969,-0.45236043216549,0.152484605047284,-1.0857296091174,-0.166086273270137,-0.325166137289323,2.6342263896233,-0.469213923698181,-0.399567779875448,-0.163615054934373,-0.701510062665263,0.78004633083452,1.00655047917654,"2"
"10","10","PCB9","BPS",0.183945073807895,-0.45030684004501,0.248838453643706,1.02892300469182,-0.000682311007216552,0.0405431857770915,-0.192993283239846,0.479215811344611,0.735265688775751,-0.457121963948044,-0.469213923698181,-0.399567779875448,-0.163615054934373,-0.701510062665263,0.78004633083452,1.00655047917654,"3"
"11","11","PIC29","BPN",-0.742931330281429,-0.362337688126365,0.8435320272987,0.0543038210890067,-1.03308944508327,-0.668419136267463,0.336596062619721,1.05309416072251,0.562025385523469,-0.457121963948044,-0.469213923698181,1.573332974449,-0.163615054934373,1.4228367937674,0.78004633083452,-0.991638620225772,"3"
"12","12","PCB10","BPS",0.665306300241024,-0.648237431861962,-0.107977690549291,1.02892300469182,-0.000682311007216552,0.0405431857770915,-0.238386655742094,0.0635040252349898,0.712210220577444,-0.457121963948044,-0.469213923698181,-0.399567779875448,-0.163615054934373,1.4228367937674,0.78004633083452,1.00655047917654,"3"
"13","13","PIC09","BPN",-0.973370215276012,1.23210319039908,-0.940548693666283,1.02892300469182,-1.09761489096302,-0.55647771699727,-0.389697897416256,0.396318820829654,0.1650094756214,-0.457121963948044,-0.469213923698181,1.573332974449,-0.163615054934373,1.4228367937674,-1.27958338998963,-0.991638620225772,"3"
"14","14","12ENICA52004","ZNE",-0.584184542840716,0.484365399090597,-0.464793834742288,1.02892300469182,-0.968563999203517,0.488308862857863,1.3428158197529,0.886850914202042,0.449204939518817,-0.457121963948044,-0.469213923698181,1.573332974449,-0.163615054934373,1.4228367937674,0.78004633083452,-0.991638620225772,"3"
"15","15","Centre08","BPS",0.35805445358158,0.176473367375338,-0.22691640528029,1.02892300469182,-0.0652077568869699,0.0778569922004891,-1.15381966787077,0.766704839017148,0.760483888206103,-0.457121963948044,-0.469213923698181,1.573332974449,-0.163615054934373,-0.701510062665263,0.78004633083452,1.00655047917654,"3"
"16","16","Centre07","BPS",0.0354400145891635,1.01218031060247,-0.821609978935284,1.02892300469182,-0.387834986285737,0.00322937935369396,-0.586402511592667,0.754962022143161,0.531153205250555,1.60377693843285,-0.469213923698181,-0.399567779875448,-0.163615054934373,1.4228367937674,0.78004633083452,1.00655047917654,"3"
