link;id_parcelle;code_parcelle;region;plante_reference;region_code;Azote.Dumas.g.kg;limons_grossiers;Capacite.d.Echange.Cationique..CEC..mEq.kg;Calcaire.actif..CaCO3....Methode.A.g.kg;argiles;Matieres.Organiques..Carbone.x.1.73..g.kg;Calcaire.total..CaCO3..g.kg;limons_fins;sables_fins;pH.eau.pH.units.No.unit;Capacite.d.Echange.Cationique..CEC..mEq.100.g;sables_grossiers;Carbone.organique.g.kg;Granulometrie...Pratique.de.la.decarbonatation.No.unit.No.unit;Cuivre..Cu..mg.kg;Phosphore.Olsen..P2O5..mg.kg;Cuivre.extractible.EDTA..Cu..mg.kg;Phosphore.Olsen..P2O5..g.kg;Calcaire.actif..CaCO3....Methode.B.g.kg
042-SALJPC1;42;SALJPC1;BRETAGNE;Salade;BRE;1.39;148;78.8;Non mesure;90;29.63;4.2;144;118;7.3;7.88;495;17.13;OUI;<8;147;1.81;0.147;#N/A
295-AUV15-1;295;AUV15-1;AUVERGNE-RHONE-ALPES;Ble;ARA;3.62;119;154.1;Non mesure;197;67.05;Non mesure;201;217;6.4;15.41;265;38.76;OUI;#N/A;62;#N/A;0.062;#N/A
486-AUV15-4;486;AUV15-4;AUVERGNE-RHONE-ALPES;Ble;ARA;4.78;114;178.0;Non mesure;295;76.86;Non mesure;311;118;6.8;17.80;162;44.43;OUI;#N/A;58;#N/A;0.058;#N/A
296-AUV15-2;296;AUV15-2;AUVERGNE-RHONE-ALPES;Ble;ARA;1.71;73;119.2;Non mesure;137;36.31;Non mesure;187;127;6.2;11.92;476;20.99;OUI;#N/A;118;#N/A;0.118;#N/A
265-AUV15-3;265;AUV15-3;AUVERGNE-RHONE-ALPES;Ble;ARA;2.64;149;113.8;Non mesure;143;51.99;Non mesure;206;267;6.1;11.38;234;30.05;OUI;#N/A;69;#N/A;0.069;#N/A
391-59252MAR;391;59252MAR;HAUTS-DE-FRANCE;Ble;HDF;1.39;479;115.3;Non mesure;173;19.74;5.2;266;71;7.8;11.53;6;11.41;OUI;#N/A;150;#N/A;0.150;#N/A
386-62220CAR;386;62220CAR;HAUTS-DE-FRANCE;Ble;HDF;1.64;423;154.9;Non mesure;222;22.56;3.1;236;101;7.7;15.49;15;13.04;OUI;#N/A;196;#N/A;0.196;#N/A
407-59550LAN;407;59550LAN;HAUTS-DE-FRANCE;Mais;HDF;1.97;518;111.1;Non mesure;147;29.55;5.2;272;46;7.2;11.11;12;17.08;OUI;#N/A;44;#N/A;0.044;#N/A
410-59270BAI;410;59270BAI;HAUTS-DE-FRANCE;Ble;HDF;1.37;532;102.4;Non mesure;142;18.68;3.1;200;104;7.6;10.24;19;10.80;OUI;#N/A;195;#N/A;0.195;#N/A
400-62370NOR;400;62370NOR;HAUTS-DE-FRANCE;Ble;HDF;1.15;545;78.7;Non mesure;101;16.52;Non mesure;260;87;5.4;7.87;7;9.55;OUI;#N/A;57;#N/A;0.057;#N/A
406-59244CAR;406;59244CAR;HAUTS-DE-FRANCE;Mais;HDF;1.98;542;125.7;Non mesure;164;26.09;4.2;242;34;7.5;12.57;14;15.08;OUI;#N/A;138;#N/A;0.138;#N/A
389-62185NIE;389;62185NIE;HAUTS-DE-FRANCE;Ble;HDF;1.26;557;85.0;Non mesure;113;17.61;3.1;233;86;7.2;8.50;7;10.18;OUI;#N/A;70;#N/A;0.070;#N/A
428-62217NEU;428;62217NEU;HAUTS-DE-FRANCE;Ble;HDF;1.47;441;115.3;Non mesure;176;21.19;18.8;309;49;8.1;11.53;6;12.25;OUI;#N/A;173;#N/A;0.173;#N/A
408-59890QUE;408;59890QUE;HAUTS-DE-FRANCE;Salade;HDF;1.70;302;102.3;Non mesure;105;29.41;5.2;91;459;7.4;10.23;38;17.00;OUI;23.5;346;12.87;0.346;#N/A
390-59249FRO;390;59249FRO;HAUTS-DE-FRANCE;Ble;HDF;1.43;351;152.9;Non mesure;234;19.65;3.1;235;127;7.6;15.29;49;11.36;OUI;#N/A;88;#N/A;0.088;#N/A
409-59237VER;409;59237VER;HAUTS-DE-FRANCE;Salade;HDF;1.63;522;116.7;Non mesure;160;23.25;Non mesure;184;115;6.1;11.67;19;13.44;OUI;33.2;152;8.53;0.152;#N/A
399-59550PRI;399;59550PRI;HAUTS-DE-FRANCE;Mais;HDF;2.22;448;102.0;Non mesure;146;31.97;6.2;339;46;7.5;10.20;15;18.48;OUI;#N/A;19;#N/A;0.019;#N/A
417-59127ESN;417;59127ESN;HAUTS-DE-FRANCE;Ble;HDF;1.03;518;97.6;Non mesure;160;13.72;3.1;243;60;7.6;9.76;16;7.93;OUI;#N/A;166;#N/A;0.166;#N/A
397-62138HAI;397;62138HAI;HAUTS-DE-FRANCE;Salade;HDF;1.26;477;124.0;Non mesure;189;18.01;16.6;219;91;8.2;12.40;7;10.41;OUI;21.9;22;5.30;0.022;#N/A
191-BLEBNE1;191;BLEBNE1;BRETAGNE;Ble;BRE;3.36;206;133.9;Non mesure;194;52.71;Non mesure;223;277;5.4;13.39;100;30.47;OUI;#N/A;95;#N/A;0.095;#N/A
388-AUV43-3;388;AUV43-3;AUVERGNE-RHONE-ALPES;Ble;ARA;1.85;145;156.6;Non mesure;146;33.63;3.1;358;137;7.1;15.66;211;19.44;OUI;#N/A;177;#N/A;0.177;#N/A
387-AUV43-1;387;AUV43-1;AUVERGNE-RHONE-ALPES;Ble;ARA;2.61;112;169.8;Non mesure;209;41.95;Non mesure;397;121;6.2;16.98;161;24.25;OUI;#N/A;68;#N/A;0.068;#N/A
394-AUV43-4;394;AUV43-4;AUVERGNE-RHONE-ALPES;Mais;ARA;2.47;126;181.0;Non mesure;262;39.86;3.1;307;121;7.1;18.10;181;23.04;OUI;#N/A;114;#N/A;0.114;#N/A
393-AUV43-2;393;AUV43-2;AUVERGNE-RHONE-ALPES;Ble;ARA;2.42;94;175.4;Non mesure;197;43.80;2.1;322;97;6.9;17.54;288;25.32;OUI;#N/A;74;#N/A;0.074;#N/A
240-AUV63-1;240;AUV63-1;AUVERGNE-RHONE-ALPES;Ble;ARA;2.03;74;279.1;Non mesure;377;24.65;Non mesure;190;84;6.7;27.91;275;14.25;OUI;#N/A;62;#N/A;0.062;#N/A
168-AUV63-4;168;AUV63-4;AUVERGNE-RHONE-ALPES;Mais;ARA;2.41;81;207.8;Non mesure;362;32.56;3.1;195;138;7.1;20.78;221;18.82;OUI;#N/A;26;#N/A;0.026;#N/A
254-AUV63-3;254;AUV63-3;AUVERGNE-RHONE-ALPES;Ble;ARA;2.2;62;242.2;57.5;503;34.43;166.6;155;49;8.4;24.22;63;19.90;OUI;#N/A;86;#N/A;0.086;#N/A
171-AUV63-2;171;AUV63-2;AUVERGNE-RHONE-ALPES;Mais;ARA;2.66;36;270.3;100;539;22.18;100;127;36;8.3;27.03;90;12.82;OUI;#N/A;17;#N/A;0.017;#N/A
034-PCV4;34;PCV4;NOUVELLE-AQUITAINE;Vigne;N-A;0.80;177;55.8;Non mesure;92;14.22;4.2;180;64;7.5;5.58;482;8.22;OUI;124.6;145;70.12;0.145;#N/A
088-PCV6;88;PCV6;NOUVELLE-AQUITAINE;Vigne;N-A;1.61;95;278.3;Non mesure;562;19.06;12.5;293;23;8.2;27.83;15;11.02;OUI;306.0;29;77.82;0.029;#N/A
010-PCB9;10;PCB9;NOUVELLE-AQUITAINE;Ble;N-A;1.53;257;97.6;Non mesure;133;25.55;3.1;299;74;7.5;9.76;234;14.77;OUI;#N/A;63;#N/A;0.063;#N/A
012-PCB10;12;PCB10;NOUVELLE-AQUITAINE;Ble;N-A;1.35;217;93.0;Non mesure;147;23.70;2.1;232;80;7.2;9.30;322;13.70;OUI;#N/A;54;#N/A;0.054;#N/A
172-MP-GASC-AD-M3;172;MP_GASC_AD_M3;OCCITANIE;Mais;OCC;1.52;146;76.2;Non mesure;239;23.25;Non mesure;390;127;6.3;7.62;99;13.44;OUI;#N/A;51;#N/A;0.051;#N/A
NOUVELLE-MP-GASC-AD-M9;Nouvelle;MP_GASC_AD_M9;OCCITANIE;Mais;OCC;1.15;289;44.4;Non mesure;116;16.95;Non mesure;323;163;5.4;4.44;109;9.80;OUI;#N/A;64;#N/A;0.064;#N/A
153-MP-GASC-AD-M6;153;MP_GASC_AD_M6;OCCITANIE;Mais;OCC;0.89;275;35.0;Non mesure;103;17.51;Non mesure;290;290;5.6;3.50;41;10.12;OUI;#N/A;77;#N/A;0.077;#N/A
442-MP-GASC-AD-M8;442;MP_GASC_AD_M8;OCCITANIE;Mais;OCC;0.76;222;43.3;Non mesure;110;10.50;2.1;209;408;7.5;4.33;50;6.07;OUI;#N/A;49;#N/A;0.049;#N/A
323-MP-GASC-AD-M1;323;MP_GASC_AD_M1;OCCITANIE;Mais;OCC;1.43;201;70.0;Non mesure;171;23.29;Non mesure;305;137;6.0;7.00;186;13.46;OUI;#N/A;39;#N/A;0.039;#N/A
249-MP-GASC-AD-M5;249;MP_GASC_AD_M5;OCCITANIE;Mais;OCC;0.81;312;35.2;Non mesure;85;11.14;Non mesure;307;191;5.8;3.52;105;6.44;OUI;#N/A;48;#N/A;0.048;#N/A
089-MP-GASC-AD-V2;89;MP_GASC_AD_V2;OCCITANIE;Vigne;OCC;1.39;278;67.0;Non mesure;140;22.21;Non mesure;302;218;6.3;6.70;63;12.84;OUI;24.0;51;10.30;0.051;#N/A
322-MP-GASC-AD-V1;322;MP_GASC_AD_V1;OCCITANIE;Vigne;OCC;1.53;98;190.9;46.3;428;21.02;196.1;169;60;8.3;19.09;48;12.15;OUI;41.3;62;6.65;0.062;#N/A
485-MP-GASC-AD-V3;485;MP_GASC_AD_V3;OCCITANIE;Vigne;OCC;2.10;118;268.6;41.3;497;25.92;103.1;233;32;8.1;26.86;16;14.98;OUI;25.5;10;1.79;0.010;#N/A
269-RA-M06;269;RA_M06;AUVERGNE-RHONE-ALPES;Mais;ARA;1.31;355;75.6;Non mesure;100;20.69;Non mesure;233;196;6.7;7.56;116;11.96;OUI;#N/A;48;#N/A;0.048;#N/A
555-RA-M13;555;RA_M13;AUVERGNE-RHONE-ALPES;Mais;ARA;1.09;197;65.9;Non mesure;114;16.47;Non mesure;189;278;5.3;6.59;222;9.52;OUI;#N/A;16;#N/A;0.016;#N/A
060-RA-M07;60;RA_M07;AUVERGNE-RHONE-ALPES;Mais;ARA;1.78;141;122.2;Non mesure;195;25.36;Non mesure;288;117;6.4;12.22;259;14.66;OUI;#N/A;142;#N/A;0.142;#N/A
276-RA-M05;276;RA_M05;AUVERGNE-RHONE-ALPES;Mais;ARA;3.45;135;189.6;17.5;336;51.40;25.0;439;39;7.8;18.96;26;29.71;OUI;#N/A;45;#N/A;0.045;#N/A
467-RA-M08;467;RA_M08;AUVERGNE-RHONE-ALPES;Mais;ARA;2.44;140;93.9;Non mesure;125;40.85;Non mesure;257;150;5.8;9.39;327;23.61;OUI;#N/A;51;#N/A;0.051;#N/A
050-RA-V09;50;RA_V09;AUVERGNE-RHONE-ALPES;Vigne;ARA;1.44;78;96.9;Non mesure;101;14.03;Non mesure;107;157;5.2;9.69;556;8.11;OUI;#N/A;89;#N/A;0.089;#N/A
463-RA-M10;463;RA_M10;AUVERGNE-RHONE-ALPES;Mais;ARA;1.61;188;87.8;Non mesure;115;25.48;Non mesure;204;199;6.4;8.78;294;14.73;OUI;42.0;116;15.31;0.116;#N/A
275-RA-V05;275;RA_V05;AUVERGNE-RHONE-ALPES;Vigne;ARA;2.90;144;190.1;31.3;292;44.20;124.7;160;132;8.0;19.01;148;25.55;OUI;85.7;41;23.49;0.041;#N/A
260-RA-V11;260;RA_V11;AUVERGNE-RHONE-ALPES;Vigne;ARA;1.05;35;136.2;135.0;364;12.75;381.2;178;20;8.3;13.62;22;7.37;OUI;39.3;20;9.27;0.020;200.0
268-RA-V12;268;RA_V12;AUVERGNE-RHONE-ALPES;Vigne;ARA;2.64;30;190.5;110.0;358;43.49;376.3;138;14;8.0;19.05;84;25.14;OUI;307.7;74;107.11;0.074;376.3
051-RA-V04;51;RA_V04;AUVERGNE-RHONE-ALPES;Vigne;ARA;1.96;118;109.2;45.0;201;30.67;193.4;140;213;8.1;10.92;135;17.73;OUI;69.7;11;23.85;0.011;#N/A
273-RA-V06;273;RA_V06;AUVERGNE-RHONE-ALPES;Vigne;ARA;1.98;135;113.1;18.8;167;29.67;106.3;159;318;8.1;11.31;115;17.15;OUI;92.9;30;33.62;0.030;#N/A
187-RA-V07;187;RA_V07;AUVERGNE-RHONE-ALPES;Vigne;ARA;1.38;73;#N/A;Non mesure;55;18.22;Non mesure;86;169;6.7;7.74;617;10.53;OUI;9.9;23;30.64;0.023;#N/A
186-RA-V08;186;RA_V08;AUVERGNE-RHONE-ALPES;Vigne;ARA;1.55;102;100.1;10.0;162;22.20;31.1;123;173;8.1;10.01;409;12.83;OUI;117.2;79;54.45;0.079;#N/A
208-RA-V01;208;RA_V01;AUVERGNE-RHONE-ALPES;Vigne;ARA;1.80;80;234.8;Non mesure;505;24.41;Non mesure;200;99;6.8;23.48;117;14.11;OUI;287.5;216;111.52;0.216;#N/A
055-RA-S01;55;RA_S01;AUVERGNE-RHONE-ALPES;Salade;ARA;1.55;87;83.5;Non mesure;86;24.77;3.1;102;324;7.4;8.35;398;14.32;OUI;85.7;145;37.81;0.145;#N/A
259-RA-V10;259;RA_V10;AUVERGNE-RHONE-ALPES;Vigne;ARA;2.48;72;189.0;68.8;368;40.93;291.7;116;63;8.1;18.90;89;23.66;OUI;95.1;96;35.57;0.096;#N/A
256-RA-V13;256;RA_V13;AUVERGNE-RHONE-ALPES;Vigne;ARA;1.05;125;77.2;Non mesure;112;17.27;Non mesure;117;217;6.1;7.72;429;9.98;OUI;206.3;35;81.92;0.035;#N/A
464-RA-S04;464;RA_S04;AUVERGNE-RHONE-ALPES;Salade;ARA;0.93;471;60.1;Non mesure;107;14.84;Non mesure;231;165;6.2;6.01;26;8.58;OUI;10.3;126;2.39;0.126;#N/A
277-RA-S02;277;RA_S02;AUVERGNE-RHONE-ALPES;Salade;ARA;0.99;249;46.7;Non mesure;73;13.63;4.2;99;472;7.5;4.67;103;7.88;OUI;16.1;121;6.04;0.121;#N/A
267-RA-V02;267;RA_V02;AUVERGNE-RHONE-ALPES;Vigne;ARA;0.97;129;172.5;Non mesure;240;16.54;5.2;183;144;7.5;17.25;298;9.56;OUI;76.7;44;24.45;0.044;#N/A
270-RA-M12;270;RA_M12;AUVERGNE-RHONE-ALPES;Mais;ARA;0.92;101;89.3;77.5;161;13.72;376.3;85;174;8.3;8.93;103;7.93;OUI;#N/A;48;#N/A;0.048;#N/A
278-RA-M09;278;RA_M09;AUVERGNE-RHONE-ALPES;Mais;ARA;2.30;85;134.0;76.3;184;36.31;347.3;146;97;7.8;13.40;141;20.99;OUI;#N/A;191;#N/A;0.191;#N/A
266-RA-B02;266;RA_B02;AUVERGNE-RHONE-ALPES;Ble;ARA;0.90;425;81.8;Non mesure;159;14.10;Non mesure;180;213;6.3;8.18;23;8.15;OUI;#N/A;72;#N/A;0.072;#N/A
062-RA-M02;62;RA_M02;AUVERGNE-RHONE-ALPES;Mais;ARA;1.23;121;83.7;Non mesure;151;20.34;5.2;162;126;7.8;8.37;435;11.76;OUI;#N/A;70;#N/A;0.070;#N/A
007-RA-B01;7;RA_B01;AUVERGNE-RHONE-ALPES;Ble;ARA;1.70;316;127.3;Non mesure;203;27.11;5.2;151;260;7.7;12.73;64;15.67;OUI;#N/A;126;#N/A;0.126;#N/A
052-RA-B03;52;RA_B03;AUVERGNE-RHONE-ALPES;Ble;ARA;1.64;319;114.2;Non mesure;180;25.24;4.2;189;200;7.3;11.42;109;14.59;OUI;#N/A;264;#N/A;0.264;#N/A
061-RA-M01;61;RA_M01;AUVERGNE-RHONE-ALPES;Mais;ARA;3.48;157;174.4;30.0;257;58.99;196.6;156;104;7.9;17.44;129;34.10;OUI;#N/A;96;#N/A;0.096;#N/A
258-RA-M04;258;RA_M04;AUVERGNE-RHONE-ALPES;Mais;ARA;0.98;334;55.5;Non mesure;91;17.91;Non mesure;202;222;6.4;5.55;152;10.35;OUI;#N/A;70;#N/A;0.070;#N/A
274-RA-M03;274;RA_M03;AUVERGNE-RHONE-ALPES;Mais;ARA;1.40;90;76.6;76.3;144;23.58;301.4;152;161;8.3;7.66;151;13.63;OUI;#N/A;19;#N/A;0.019;#N/A
