link;id_parcelle;code_parcelle;region;plante_reference;region_code;Azote.Dumas.g.kg;limons_grossiers;Capacite.d.Echange.Cationique..CEC..mEq.kg;Calcaire.actif..CaCO3....Methode.A.g.kg;argiles;Matieres.Organiques..Carbone.x.1.73..g.kg;Calcaire.total..CaCO3..g.kg;limons_fins;sables_fins;pH.eau.pH.units.No.unit;Capacite.d.Echange.Cationique..CEC..mEq.100.g;sables_grossiers;Carbone.organique.g.kg;Granulometrie...Pratique.de.la.decarbonatation.No.unit.No.unit;Cuivre..Cu..mg.kg;Phosphore.Olsen..P2O5..mg.kg;Cuivre.extractible.EDTA..Cu..mg.kg;Phosphore.Olsen..P2O5..g.kg;Calcaire.actif..CaCO3....Methode.B.g.kg
552-DPT36-CENTRE-45;552;Dpt36-Centre-45;CENTRE-VAL DE LOIRE;Mais;CVL;1.61;162;66.1;Non mesure;149;29.67;Non mesure;117;253;6.4;6.61;319;17.15;OUI;#N/A;70;#N/A;0.070;#N/A
551-DPT36-CENTRE-44;551;Dpt36-Centre-44;CENTRE-VAL DE LOIRE;Ble;CVL;1.33;361;80.1;Non mesure;122;23.72;2.1;270;170;7.4;8.01;75;13.71;OUI;#N/A;50;#N/A;0.050;#N/A
047-36-02;47;36-02;CENTRE-VAL DE LOIRE;Ble;CVL;2.79;97;208.9;90.0;436;33.98;241.1;177;21;8.5;20.89;29;19.64;OUI;#N/A;61;#N/A;0.061;#N/A
550-DPT36-CENTRE-43;550;Dpt36-Centre-43;CENTRE-VAL DE LOIRE;Ble;CVL;1.40;96;75.7;Non mesure;132;18.01;<2;211;106;7.0;7.57;454;10.41;OUI;#N/A;30;#N/A;0.030;#N/A
214-AQ-025;214;AQ-025;NOUVELLE-AQUITAINE;Vigne;N-A;1.33;172;104.1;5.0;157;21.43;27.0;204;239;8.1;10.41;200;12.39;OUI;132.6;77;48.32;0.077;#N/A
120-AQ-015;120;AQ-015;NOUVELLE-AQUITAINE;Mais;N-A;0.96;7;56.4;Non mesure;4;25.50;3.1;21;50;7.5;5.64;915;14.74;OUI;#N/A;104;#N/A;0.104;#N/A
491-57043;491;57043;GRAND-EST;Ble;G-E;1.08;101;89.5;Non mesure;130;16.44;5.2;87;319;7.6;8.95;358;9.50;OUI;#N/A;53;#N/A;0.053;#N/A
495-57578;495;57578;GRAND-EST;Ble;G-E;3.20;191;276.5;14.1;470;31.43;24.0;241;63;8.0;27.65;11;18.17;OUI;#N/A;60;#N/A;0.060;#N/A
496-57527;496;57527;GRAND-EST;Mais;G-E;2.17;156;180.6;Non mesure;376;26.19;Non mesure;420;20;6.4;18.06;28;15.14;OUI;#N/A;53;#N/A;0.053;#N/A
458-AL015;458;AL015;GRAND-EST;Mais;G-E;3.99;69;346.6;Non mesure;521;38.51;5.2;192;126;7.1;34.66;87;22.26;OUI;#N/A;49;#N/A;0.049;#N/A
465-AL008;465;AL008;GRAND-EST;Salade;G-E;1.24;335;93.7;30.8;161;20.98;177.4;216;37;8.1;9.37;74;12.13;OUI;17.9;73;3.68;0.073;#N/A
506-AL009;506;AL009;GRAND-EST;Vigne;G-E;1.51;221;147.1;17.3;267;25.97;123.5;237;43;8.2;14.71;109;15.01;OUI;79.3;113;32.47;0.113;#N/A
457-AL011;457;AL011;GRAND-EST;Mais;G-E;1.02;410;82.1;Non mesure;148;15.81;Non mesure;272;83;5.8;8.21;88;9.14;OUI;#N/A;86;#N/A;0.086;#N/A
292-AL001;292;AL001;GRAND-EST;Mais;G-E;2.46;204;134.5;Non mesure;156;40.26;15.6;204;124;7.7;13.45;296;23.27;OUI;#N/A;77;#N/A;0.077;#N/A
