"","id_parcelle","N_tot","limons_grossiers","CEC_a","argiles","limons_fins","sables_fins","pH","CEC_b","sables_grossiers","C_orga","phosphore_mg_kg"
"249","189",2.09,165,104.6,193,342,113,6.8,10.46,187,16.77,159
"250","212",1.74,466,82.8,134,265,94,7.1,8.28,40,14.59,18
"251","418",1.16,493,82.8,131,256,113,6.9,8.28,5,9.95,45
"252","220",1.11,463,73.5,94,187,252,6.6,7.35,3,9.62,94
"253","560",1.28,493,78.1,89,258,148,7,7.81,10,11.34,142
"254","340",0.93,113,68.5,109,65,339,8.4,6.85,212,9,100
"255","338",1.12,196,121.9,255,208,173,8.5,12.19,148,8.53,77
"256","351",1.49,288,95.9,153,228,229,8.7,9.59,23,14,38
"257","385",0.73,109,90.4,219,193,182,8.5,9.04,291,7.43,26
"258","384",0.99,228,78.3,145,243,237,8.5,7.83,39,10.31,27
"259","352",0.89,164,55.1,59,103,235,7.7,5.51,437,8.18,62
"260","449",0.9,113,93.9,165,69,193,8.9,9.39,7,9.63,10
"261","540",2.08,243,127.1,228,114,256,8.4,12.71,6,17.62,52
"262","456",0.79,96,132.8,193,78,426,8.3,13.28,175,9.57,44
"263","454",1.58,71,122.7,140,59,391,7.9,12.27,314,14.17,41
"264","451",1.68,81,93.1,241,210,74,8.5,9.31,20,15.46,75
"265","558",1.6,38,126.7,191,82,65,8.3,12.67,11,14.58,90
"266","453",1.16,80,72.6,174,128,118,8.5,7.26,30,10.63,64
"267","528",1.55,468,92.3,132,232,159,7.1,9.23,5,14.58,113
"268","527",1.23,487,73.2,117,222,167,6.3,7.32,8,10.41,102
"269","529",1.45,475,79.2,132,220,163,6.6,7.92,9,13.86,65
"270","445",1.08,457,73.7,124,230,186,6.7,7.37,4,10.72,84
"271","93",2.53,50,283.6,534,117,75,8,28.36,218,18.3,73
"272","552",1.61,162,66.1,149,117,253,6.4,6.61,319,17.15,70
"273","551",1.33,361,80.1,122,270,170,7.4,8.01,75,13.71,50
"274","47",2.79,97,208.9,436,177,21,8.5,20.89,29,19.64,61
"275","550",1.4,96,75.7,132,211,106,7,7.57,454,10.41,30
"276","214",1.33,172,104.1,157,204,239,8.1,10.41,200,12.39,77
"277","120",0.96,7,56.4,4,21,50,7.5,5.64,915,14.74,104
"278","491",1.08,101,89.5,130,87,319,7.6,8.95,358,9.5,53
"279","495",3.2,191,276.5,470,241,63,8,27.65,11,18.17,60
"280","496",2.17,156,180.6,376,420,20,6.4,18.06,28,15.14,53
"281","458",3.99,69,346.6,521,192,126,7.1,34.66,87,22.26,49
"282","465",1.24,335,93.7,161,216,37,8.1,9.37,74,12.13,73
"283","506",1.51,221,147.1,267,237,43,8.2,14.71,109,15.01,113
"284","457",1.02,410,82.1,148,272,83,5.8,8.21,88,9.14,86
"285","292",2.46,204,134.5,156,204,124,7.7,13.45,296,23.27,77
"286","443",1.56,262,150.5,303,297,89,5.9,15.05,49,12.74,30
"287","517",2.38,335,152,234,344,15,7.9,15.2,7,20.38,56
"288","501",3.04,73,281.9,601,308,8,6.5,28.19,10,14.62,20
"289","355",2.58,209,238.5,447,315,19,7.1,23.85,5,16.56,34
"290","143",1.98,124,135.6,187,153,197,7.8,13.56,331,17.66,77
"291","542",2.62,89,194.6,242,148,231,7.9,19.46,273,21.94,73
"292","519",1.65,250,142.7,230,245,139,7.6,14.27,130,14.7,101
"293","124",1.26,376,136.2,252,298,42,6.5,13.62,31,10.28,138
"294","462",1.84,97,98.5,184,97,253,8.1,9.85,256,15.97,56
"295","184",0.96,188,85.3,187,185,175,6.1,8.53,265,8.19,62
"296","544",2.35,195,222.2,431,290,47,7.9,22.22,19,12.44,55
"297","444",1.27,188,104.4,225,522,35,6.4,10.44,31,10.85,23
"298","475",1.46,244,104.2,195,426,86,5.9,10.42,49,12.36,24
"299","476",2.34,182,209.8,423,235,110,7.1,20.98,44,14.16,68
"300","518",1.06,273,128,239,238,148,7.2,12.8,96,9.41,73
"301","460",2.06,415,123,186,329,19,8.2,12.3,9,18.25,106
"302","29",1.03,159,81.4,180,161,216,8.6,8.14,97,9.27,25
"303","509",1.16,143,77,82,203,85,7,7.7,483,11.47,123
"304","294",0.94,156,86,121,202,136,7.3,8.6,381,10.31,141
"305","514",0.68,66,67.5,61,99,139,7.6,6.75,632,7.72,100
"306","435",2.15,300,190,312,268,112,6.7,19,8,18.32,25
"307","461",1.64,150,139.5,290,195,74,8.2,13.95,61,14.13,69
"308","378",1.31,125,101.3,140,169,190,7.5,10.13,370,13.65,198
"309","348",1.39,180,124.9,181,245,174,7.4,12.49,215,14.93,196
"310","371",1.61,102,184,425,437,9,7.6,18.4,17,15.24,43
"311","370",3.22,53,243,387,211,52,7.9,24.3,244,29.85,295
"312","369",1.63,185,131.8,210,201,189,8.1,13.18,177,15,184
