"","id_parcelle","N_tot","limons_grossiers","CEC_a","argiles","limons_fins","sables_fins","pH","CEC_b","sables_grossiers","C_orga","phosphore_mg_kg"
"398","269",1.31,355,75.6,100,233,196,6.7,7.56,116,11.96,48
"399","555",1.09,197,65.9,114,189,278,5.3,6.59,222,9.52,16
"400","60",1.78,141,122.2,195,288,117,6.4,12.22,259,14.66,142
"401","276",3.45,135,189.6,336,439,39,7.8,18.96,26,29.71,45
"402","467",2.44,140,93.9,125,257,150,5.8,9.39,327,23.61,51
"403","50",1.44,78,96.9,101,107,157,5.2,9.69,556,8.11,89
"404","463",1.61,188,87.8,115,204,199,6.4,8.78,294,14.73,116
"405","275",2.9,144,190.1,292,160,132,8,19.01,148,25.55,41
"406","260",1.05,35,136.2,364,178,20,8.3,13.62,22,7.37,20
"407","268",2.64,30,190.5,358,138,14,8,19.05,84,25.14,74
"408","51",1.96,118,109.2,201,140,213,8.1,10.92,135,17.73,11
"409","273",1.98,135,113.1,167,159,318,8.1,11.31,115,17.15,30
"410","187",1.38,73,NA,55,86,169,6.7,7.74,617,10.53,23
"411","186",1.55,102,100.1,162,123,173,8.1,10.01,409,12.83,79
"412","208",1.8,80,234.8,505,200,99,6.8,23.48,117,14.11,216
"413","55",1.55,87,83.5,86,102,324,7.4,8.35,398,14.32,145
"414","259",2.48,72,189,368,116,63,8.1,18.9,89,23.66,96
"415","256",1.05,125,77.2,112,117,217,6.1,7.72,429,9.98,35
"416","464",0.93,471,60.1,107,231,165,6.2,6.01,26,8.58,126
"417","277",0.99,249,46.7,73,99,472,7.5,4.67,103,7.88,121
"418","267",0.97,129,172.5,240,183,144,7.5,17.25,298,9.56,44
"419","270",0.92,101,89.3,161,85,174,8.3,8.93,103,7.93,48
"420","278",2.3,85,134,184,146,97,7.8,13.4,141,20.99,191
"421","266",0.9,425,81.8,159,180,213,6.3,8.18,23,8.15,72
"422","62",1.23,121,83.7,151,162,126,7.8,8.37,435,11.76,70
"423","7",1.7,316,127.3,203,151,260,7.7,12.73,64,15.67,126
"424","52",1.64,319,114.2,180,189,200,7.3,11.42,109,14.59,264
"425","61",3.48,157,174.4,257,156,104,7.9,17.44,129,34.1,96
"426","258",0.98,334,55.5,91,202,222,6.4,5.55,152,10.35,70
"427","274",1.4,90,76.6,144,152,161,8.3,7.66,151,13.63,19
