id_parcelle;id_parc_an;annee;type_production;RegionAgricole;region_biogeo;TypeCulture;clust;FRic_flow;FEve_flow;FDiv_flow;entomogame_1;Flow_dur;Flow_on;nectar_present_1;zygomorphe_1;forbs_100;perennial_100;neophytes_100;messicole_100;nat_val_100;weeds_100;rich_sp;shannon;nb_hill;FRic;FEve;FDiv;nbsp;JulianDay;RisqueDebordement;coord_x;coord_y;exposition2;code_parcelle;Bordure_Largeur;Bordure_BroyageFauchage_ramassage;Bordure_BroyageFauchage_SansRamassage;Bordure_NombreInterventionYEAR;IFT_Herbicide2013_2019;IFT_Biocontrole2013_2019;IFT_Hors_Herbicide2013_2019;DivRotation;SC_Year_Copper.compounds.1;CoefN;IFT_H;IFT_T;p_bio;Soil_Sand_content;Soil_Silt_content;Soil_Clay_content;Soil_Nitrogen;Soil_CEC;Soil_organic_carbon_content;Soil_Ph_h2o;Soil_Bulk_density;xPCA_pays;ShannonCultureTOT;Bordure_Adj_BandeHerbeuse;Bordure_Adj_Zone_humide;Bordure_Adj_Prairie;Bordure_Adj_Autres;Bordure_Adj_HaieBois;Bordure_Adj_BatiRoute;Bordure_Adj_Culture;temp_moy_an;temp_range_an;precip_an;precip_season
295;AUV151_2013;2013;Conventionnel;Massif Central;MC;GrandesCultures;1;0.112876956734178;0.642726373866185;0.786984258450125;0.531914893617021;5.56382978723404;4.48936170212766;0.425531914893617;0.106382978723404;66.3461538461538;94.2307692307692;0;0;90.3846153846154;3.84615384615385;16;0.65102667405995;16;0.181828498620697;0.797082957049134;0.767206006359056;13;212;0;NA;NA;Plein soleil;AUV151;3;0;1;1;0.750000000000001;0;0.10625;0.5;0;52.2218333333333;0.24;0.54;2;482;320;197;362;154.1;387.6;64;128;-0.615747019912327;0.636298821143407;0;0;1;0;0;0;0;9.5;24.9;1488;17
296;AUV152_2013;2013;Conventionnel;Massif Central;MC;GrandesCultures;1;0.12313036043145;0.609479472356246;0.831976823495725;0.245614035087719;5.26315789473684;5.05263157894737;0.315789473684211;0.0350877192982456;48.3333333333333;81.6666666666667;0;0;81.6666666666667;45;15;0.550607481444716;15;0.107573405698196;0.767150802937688;0.733002510684274;12;212;1.5;NA;NA;Plein soleil;AUV152;3;0;1;1;1.31928571428571;0;0.333333333333332;0.5;0;340.948766666667;0.14;0.31;11;603;260;137;171;119.2;209.9;62;133;-1.29657435761692;0.713405527122063;0;0;1;0;0;0;0;10.1;25;1223;20
265;AUV153_2013;2013;Conventionnel;Massif Central;MC;GrandesCultures;1;0.151634166981539;0.627382500557167;0.72742836615475;0.597826086956522;5.1304347826087;5.18478260869565;0.543478260869565;0.0869565217391304;71;87;0;0;77;21;18;0.630108164140105;18;0.154048476673249;0.726269667585115;0.840630024108565;15;213;0;NA;NA;Semi ombrage;AUV153;3;2;0;1;0.866666666666667;0;0.3125;0.666666666666667;0;53.67825;0.15;0.32;27;501;355;143;264;113.8;300.5;61;110;-0.987453143192713;0.843901052107137;0;0;1;0;0;0;0;9.9;24.8;1416;17
486;AUV154_2013;2013;Biologique;Massif Central;MC;GrandesCultures;1;0.118863659917247;0.602692422692802;0.780600539640029;0.488636363636364;5.57954545454545;4.30681818181818;0.386363636363636;0.193181818181818;60.2040816326531;84.6938775510204;5.10204081632653;0;68.3673469387755;19.3877551020408;18;0.731926486111205;18;0.194033855047142;0.770729643541891;0.727253867513908;15;213;0.5;NA;NA;Plein soleil;AUV154;3;0;1;1;0;0.298868495615054;0;0.666666666666667;0;17.4166666666667;0.12;0.27;17;280;425;295;478;178;444.3;68;131;-0.766405746717551;0.521337795739609;0;0;1;0;0;0;0;11.4;24.9;1266;15
387;AUV431_2013;2013;Biologique;Massif Central;MC;GrandesCultures;1;0.114327621636933;0.270233784515166;0.8574917756193;0.523809523809524;4.87301587301587;5.22222222222222;0.53968253968254;0.0476190476190476;55.5555555555556;77.7777777777778;4.76190476190476;0;77.7777777777778;38.0952380952381;11;0.600642320981584;11;0.143894131567324;0.754940938167368;0.659224394946308;9;165;1;NA;NA;Plein soleil;AUV431;1;1;2;1;2;0;0;0.833333333333333;0;27.5;0.58;1.44;5;282;509;209;261;169.8;242.5;62;125;-0.45388372581328;1.44301868514872;0;0;0;0;0;1;0;7.8;25.6;908;17
393;AUV432_2013;2013;Conventionnel;Massif Central;MC;GrandesCultures;1;0.0960908780169222;0.78197185455847;0.819989409463687;0.548387096774194;5.67741935483871;4.58064516129032;0.548387096774194;0.129032258064516;55.2238805970149;83.5820895522388;0;0;70.1492537313433;37.3134328358209;13;0.620625366465902;13;0.268157636596339;0.850353424659526;0.717504172396593;10;165;1;NA;NA;Plein soleil;AUV432;1;1;0;1;1.96666666666667;0;0.41060606060606;0.833333333333333;0;81.3737857142857;0.44;1.12;11;385;416;197;242;175.4;253.2;69;127;0.0526934077958506;1.02620244098388;1;0;0;0;0;0;0;8.5;25.7;836;16
388;AUV433_2013;2013;Conventionnel;Massif Central;MC;GrandesCultures;3;0.102717235633329;0.645651084134005;0.79482816753344;0.422222222222222;5.37777777777778;4.75555555555556;0.355555555555556;0;53.5714285714286;69.6428571428571;0;10.7142857142857;78.5714285714286;28.5714285714286;12;0.590420784007917;12;0.120233018622441;0.689140096654034;0.721959466289251;8;165;1;NA;NA;Plein soleil;AUV433;1;3;1;1;2.05777777777778;0;0.333333333333333;0.75;0;79.425;0.58;1.44;5;348;503;146;185;156.6;194.4;71;125;0.0902005609745355;1.3483330391167;0;0;0;0;0;1;0;8.3;25.6;784;17
394;AUV434_2013;2013;Conventionnel;Massif Central;MC;GrandesCultures;1;0.0945464468209159;0.784126793466896;0.791557125030391;0.384615384615385;4.58974358974359;5.01282051282051;0.487179487179487;0;52.9411764705882;60;0;1.17647058823529;72.9411764705882;43.5294117647059;15;0.66001774083905;15;0.0818500458749619;0.879237515688729;0.807948426416833;10;165;1;NA;NA;Plein soleil;AUV434;1;0;4;1;1.33833333333333;0;0;0.333333333333333;0;127.083333333333;0.44;1.06;9;302;433;262;247;181;230.4;71;120;-0.786644394172108;1.24024629263626;0;0;0;0;0;1;0;8.8;25.5;909;18
240;AUV631_2013;2013;Biologique;Massif Central;MC;GrandesCultures;3;0.112993546551236;0.848078294327429;0.699072476917166;0.735294117647059;4.26470588235294;5.47058823529412;0.647058823529412;0;87.1794871794872;51.2820512820513;0;17.9487179487179;25.6410256410256;46.1538461538462;10;0.453501986940031;10;0.107191232883907;0.823019451421212;0.941487644251012;7;170;1;NA;NA;Plein soleil;AUV631;2;0;3;0;0;0;0;0.833333333333333;0;0;1.2;2.66;11;359;264;377;203;279.1;142.5;67;136;0.937820252567395;1.59918160155546;0;0;0;0;0;1;0;11.7;24.8;738;24
171;AUV632_2013;2013;Conventionnel;Massif Central;MC;GrandesCultures;3;0.0129899753366915;0.562926090571945;0.682092206864842;0.68;6.8;4.16;0.68;0;68;64;0;0;24;68;6;0.347060609461945;6;0.100427756576257;0.883295618519193;0.94185297061056;4;189;1;NA;NA;Plein soleil;AUV632;1.5;0;3;0;2.63456060606061;1;2.19566666666667;0.666666666666667;0;117.220333333333;1.43;3.26;1;126;163;539;266;270.3;128.2;83;135;0.289635649827881;1.5593616930934;0;1;0;0;0;1;0;11.3;25;844;25
