"","id_parcelle","TypeCulture","region_biogeo","clust","code_postal","coord_x","coord_y"
"118",129,"GrandesCultures","BPS","3",45170,2.04981671628,48.1056898387
"119",128,"GrandesCultures","BPS","3",45310,1.66840555427,48.0263690684
"120",127,"GrandesCultures","BPS","3",45310,1.55862433283,48.016136796
"121",132,"GrandesCultures","BPS","3",45120,2.70397927625,48.0268919529
"122",82,"Maraichage","C","2",20620,9.45421738719,42.6216524999
"123",80,"Vigne","C","1",20230,9.51480901987,42.2862537929
"124",76,"Maraichage","C","2",20240,9.37618243677,42.0246362266
"125",81,"Vigne","C","2",20230,9.52128068354,42.2825509122
"126",73,"Vigne","C","2",20230,9.48168091794,42.2230383677
"127",74,"Maraichage","C","1",20230,9.50565021072,42.3828545134
"128",520,"GrandesCultures","ZNE","3",8300,4.34628276405,49.4604543184
"129",235,"GrandesCultures","ZNE","1",8430,4.72540915793,49.6430315319
"130",49,"GrandesCultures","ZNE","3",8300,4.28671131769,49.5266976752
"131",229,"GrandesCultures","ZNE","3",8300,4.373211,49.503129
"132",230,"GrandesCultures","ZNE","3",10700,4.08178953712,48.509989621
"133",202,"GrandesCultures","ZNE","3",10190,3.78711712262,48.2658114338
"134",113,"GrandesCultures","ZNE","3",10100,3.64132315073,48.4359614582
"135",21,"GrandesCultures","ZNE","3",10200,4.73210579516,48.2198695392
"136",508,"GrandesCultures","ZNE","3",51330,4.75303495803,48.9560395429
"137",283,"GrandesCultures","ZNE","3",51170,3.73609813193,49.3184792805
"138",286,"GrandesCultures","ZNE","3",51300,4.67601214046,48.7302192961
"139",255,"GrandesCultures","ZNE","3",51240,4.64808988533,48.8879499664
"140",280,"Maraichage","ZNE","3",51500,3.90392750547,49.0547470746
"141",281,"GrandesCultures","ZNE","3",51500,4.1027,49.22833
"142",110,"Vigne","ZNE","2",51160,3.94087651174,49.079395911
"143",224,"Vigne","ZNE","2",51480,3.919297,49.074465
"144",24,"Vigne","ZNE","2",51160,3.95049807779,49.0781088661
"145",109,"Vigne","ZNE","2",51160,3.94996515647,49.0732415504
"146",108,"Vigne","ZNE","2",51150,3.98623208878,49.0667190419
"147",114,"Vigne","ZNE","2",51150,4.00647215133,49.057328938
"148",510,"GrandesCultures","ZNE","3",52000,5.18874753937,48.1030390034
"149",310,"GrandesCultures","ZNE","3",52110,4.89480950382,48.3884924059
"150",2,"GrandesCultures","ZNE","3",52130,4.98100436475,48.507799927
"151",14,"GrandesCultures","ZNE","3",52130,5.00373135999,48.5142807959
"152",285,"GrandesCultures","ZNE","3",52700,5.21900384376,48.1897163099
"153",271,"GrandesCultures","ZNE","3",52110,4.9172573241,48.3638958047
"154",355,"GrandesCultures","ZNE","3",54890,5.94832908439,49.0531483222
"155",443,"GrandesCultures","ZNE","3",54610,6.17554802812,48.9288799247
"156",501,"GrandesCultures","ZNE","3",54280,6.28536867237,48.7370948443
"157",348,"Maraichage","ZNE","2",54950,6.58982583652,48.5312004873
"158",435,"Maraichage","ZNE","3",54200,5.85521725913,48.7993986129
"159",209,"GrandesCultures","ZNE","3",55000,5.60187790193,49.1155631025
"160",211,"GrandesCultures","ZNE","3",55160,5.602081,49.115065
"161",434,"GrandesCultures","ZNE","3",55190,5.53059186618,48.710546097
"162",499,"GrandesCultures","ZNE","3",55500,5.24433962808,48.6850654166
"163",343,"GrandesCultures","ZNE","3",55160,5.64449257728,49.0685452989
"164",491,"GrandesCultures","ZNE","2",57300,6.18862511213,49.2410988953
"165",378,"Maraichage","ZNE","2",57140,6.20192225542,49.1577668242
"166",496,"GrandesCultures","ZNE","3",57420,6.25298484703,49.0353608553
"167",495,"GrandesCultures","ZNE","3",57130,5.97177154788,49.0955720606
"168",476,"GrandesCultures","ZNE","3",88630,5.67465721218,48.3863785551
"169",475,"GrandesCultures","ZNE","1",88000,6.54407927802,48.2336741682
"170",444,"GrandesCultures","ZNE","3",88270,6.23307974009,48.1893140817
"171",292,"GrandesCultures","ZNE","2",67160,8.0556567889,48.9953689057
"172",184,"Vigne","ZNE","2",67160,7.87999567427,48.998563573
"173",143,"GrandesCultures","ZNE","2",67410,7.94277896268,48.7572885834
"174",519,"GrandesCultures","ZNE","3",67330,7.46479189742,48.8345297165
"175",124,"GrandesCultures","ZNE","3",67270,7.57015092075,48.7805322821
"176",517,"GrandesCultures","ZNE","3",67370,7.64993371633,48.6822038649
"177",29,"GrandesCultures","ZNE","2",68740,7.52320259555,47.8439542952
"178",465,"Maraichage","ZNE","3",67880,7.58067953749,48.5009601853
"179",506,"Vigne","ZNE","3",67560,7.47695029523,48.5065870202
"180",509,"Vigne","ZNE","2",67650,7.41936427038,48.328523842
"181",457,"GrandesCultures","ZNE","3",67160,7.95512105393,49.0067359795
"182",294,"Vigne","ZNE","2",67730,7.39791449508,48.2628824735
"183",515,"GrandesCultures","ZNE","3",67310,7.44975071254,48.6569955272
"184",514,"Vigne","ZNE","2",68590,7.34719766153,48.2274033422
"185",458,"GrandesCultures","ZNE","1",67390,7.45391253581,48.1743674397
"186",293,"GrandesCultures","ZNE","3",68320,7.4633969709,48.1985007139
"187",462,"Maraichage","ZNE","2",68600,7.56152787157,48.0124358048
"188",146,"Maraichage","ZNE","3",68740,7.5503067471,47.9231852652
"189",461,"Vigne","ZNE","2",68250,7.28465823497,47.966008239
"190",518,"GrandesCultures","ZNE","3",68250,7.3069080857,47.9838469885
"191",460,"GrandesCultures","ZNE","3",68210,7.17780015836,47.687502334
"192",417,"GrandesCultures","BPN","3",59127,3.29368407939,50.0983657455
"193",409,"Maraichage","BPN","1",59237,3.00309150932,50.6839894449
"194",406,"GrandesCultures","BPN","3",59244,3.8555820158,50.104825863
"195",390,"GrandesCultures","BPN","3",59249,2.83926730442,50.6190285479
"196",391,"GrandesCultures","BPN","3",59252,3.24007358422,50.2820642696
"197",410,"GrandesCultures","BPN","3",59270,2.75690709893,50.7409620856
"198",407,"GrandesCultures","BPN","3",59550,3.69163340871,50.1017170385
"199",399,"GrandesCultures","BPN","3",59550,3.77053231503,50.0856203133
"200",408,"Maraichage","BPN","3",59890,2.98887580108,50.7004499518
"201",389,"GrandesCultures","BPN","3",62185,1.81984743879,50.9010809291
"202",428,"GrandesCultures","BPN","3",62217,2.8035094998,50.2496574229
"203",386,"GrandesCultures","BPN","3",62211,2.96272769292,50.487425671
"204",416,"GrandesCultures","BPN","1",62370,2.00660048451,50.9065842204
"205",400,"GrandesCultures","BPN","1",62370,2.04609408629,50.8751355335
"206",48,"GrandesCultures","BPS","3",77890,2.53335405023,48.1565157233
"207",23,"Maraichage","BPS","3",77760,2.61947897185,48.2471769262
"208",190,"GrandesCultures","BPS","3",77760,2.56388100568,48.2833971986
"209",9,"Maraichage","BPS","2",77930,2.59543110482,48.4700861087
"210",103,"GrandesCultures","BPN","2",77115,2.76096365674,48.5229171605
"211",218,"GrandesCultures","BPN","3",77166,2.63454956175,48.6722213323
"212",31,"GrandesCultures","ZNE","3",77970,3.13710561796,48.6902036834
"213",30,"GrandesCultures","BPN","3",77131,3.00978482549,48.7246217689
"214",40,"GrandesCultures","ZNE","3",77120,3.06771515204,48.7373431004
"215",5,"Maraichage","BPN","2",77470,2.92072883774,48.9720367661
"216",219,"GrandesCultures","ZNE","3",77840,3.10723642868,49.0809742662
"217",468,"GrandesCultures","BPN","3",78200,1.62112115249,48.9684116929
"218",459,"GrandesCultures","BPN","3",78440,1.75876413484,49.017107904
"219",144,"GrandesCultures","BPN","3",78650,1.83399242587,48.8473543014
"220",147,"GrandesCultures","BPS","3",91740,2.01566918949,48.3677939589
"221",516,"GrandesCultures","BPS","3",91410,2.02427570536,48.5013077168
"222",512,"GrandesCultures","BPS","3",91640,2.14495529186,48.6518227069
"223",505,"GrandesCultures","BPN","3",95420,1.81007295977,49.1293644841
"224",504,"GrandesCultures","BPN","3",95420,1.80477908889,49.129049823
"225",511,"GrandesCultures","BPN","3",95690,2.13397515626,49.1506597741
"226",478,"GrandesCultures","BPN","3",14170,-0.146548145812,48.9512992865
"227",366,"GrandesCultures","BPN","3",14170,-0.104431260031,48.9954152282
"228",115,"GrandesCultures","BPN","3",14170,-0.151297393051,48.9882290573
"229",117,"GrandesCultures","BPN","3",14170,-0.156296673895,48.98746038
"230",228,"GrandesCultures","BPN","3",14170,-0.126855789181,48.9862433389
"231",116,"GrandesCultures","BPN","3",14170,-0.124471207564,48.9838327789
"232",95,"GrandesCultures","BPN","3",14190,-0.170338998605,49.0170263128
"233",94,"GrandesCultures","BPN","3",14190,-0.17429760756,49.0187955187
"234",429,"GrandesCultures","BPN","3",14190,-0.201505,48.995218
"235",405,"GrandesCultures","BPN","3",27510,1.5235552502,49.1408258227
"236",395,"GrandesCultures","BPN","3",27150,1.71064736629,49.3895616163
"237",404,"GrandesCultures","BPN","3",27730,1.46055782897,48.9425314903
"238",411,"GrandesCultures","MA","1",61350,-0.787201467856,48.5159113776
"239",482,"GrandesCultures","BPN","3",76630,1.724244,49.523594
"240",455,"GrandesCultures","BPN","1",76110,0.25843955319,49.5852352313
"241",418,"GrandesCultures","BPN","3",76690,1.18438858206,49.5933632311
"242",340,"Maraichage","BPN","2",76320,1.04455918417,49.2934574605
"243",345,"Maraichage","BPN","2",76840,0.966218484927,49.442760223
"244",220,"GrandesCultures","BPN","3",76450,0.595369437711,49.7786477582
"245",314,"Vigne","ZSO","1",24240,0.510188676556,44.7920843373
"246",313,"Vigne","ZSO","2",24230,0.0861495457457,44.888592708
"247",301,"Maraichage","ZSO","2",24110,0.523733061388,45.128737683
"248",325,"Vigne","ZSO","2",33550,-0.376819965201,44.7247579922
"249",346,"Vigne","ZSO","2",33570,-0.170130306576,44.9576149999
"250",368,"Vigne","ZSO","2",33210,-0.35353934987,44.5376205671
"251",302,"Vigne","ZSO","1",40320,-0.389479405354,43.6699813676
"252",120,"GrandesCultures","ZSO","2",40120,-0.346411921193,44.17143049
"253",344,"GrandesCultures","ZSO","2",33430,-0.224135203326,44.4201550978
"254",99,"GrandesCultures","ZSO","1",40630,-0.772008761199,44.1133932052
"255",497,"Maraichage","ZSO","2",47200,0.134970485601,44.5295154483
"256",306,"GrandesCultures","ZSO","3",47350,0.371838455371,44.5391972298
"257",305,"GrandesCultures","ZSO","3",47350,0.371655574998,44.5432619477
"258",339,"GrandesCultures","ZSO","2",33127,-0.852267090959,44.7748408564
"259",22,"GrandesCultures","ZSO","3",47600,0.363555973324,44.1746872768
"260",177,"Vigne","ZSO","2",33480,-0.77164,45.073676
"261",214,"Vigne","ZSO","2",33760,-0.10966809447,44.7301314949
"262",223,"GrandesCultures","ZSO","1",64121,-0.365745809874,43.3638921425
"263",215,"GrandesCultures","ZSO","1",64520,-1.08252504302,43.4578206061
"264",213,"GrandesCultures","ZSO","1",64410,-0.388968501055,43.5559946606
"265",308,"GrandesCultures","ZSO","1",64300,-0.724862916655,43.4516883984
"266",309,"GrandesCultures","ZSO","1",40110,-0.953283344877,44.0911188021
"267",311,"GrandesCultures","ZSO","1",40350,-0.96455212128,43.6606035615
"268",299,"GrandesCultures","ZSO","1",40270,-0.469048152439,43.7754692049
"269",349,"Vigne","ZSO","2",33500,-0.185786007315,44.9498976149
"270",354,"Vigne","ZSO","2",33550,-0.335941245993,44.742701884
"271",371,"GrandesCultures","ZSO","3",33390,-0.670461399547,45.1849849833
"272",369,"GrandesCultures","ZSO","2",33580,0.100145890596,44.6134553694
"273",370,"GrandesCultures","ZSO","2",33820,-0.685143406448,45.2867641296
"274",319,"GrandesCultures","MC","2",23220,1.81222750608,46.3472900472
"275",242,"GrandesCultures","MC","2",87230,1.03929768563,45.7246728759
"276",320,"GrandesCultures","MC","2",87570,1.33185571742,45.8896494629
