"nom_eni","nom_eni_fusion_trait","NOM_VALIDE","CD_NOM","CD_REF","GROUP2_INPN","ORDRE","FAMILLE","SOUS_FAMILLE","TRIBU","nom_eni_syn"
"Persicaria maculosa","Persicaria maculosa","Persicaria maculosa Gray, 1821 [nom. cons.]",112745,112745,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Persicarieae","Persicaria maculosa"
"Petrorhagia prolifera","Petrorhagia prolifera","Petrorhagia prolifera (L.) P.W.Ball & Heywood, 1964",112808,112808,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Petrorhagia prolifera"
"Petrorhagia saxifraga","Petrorhagia saxifraga","Petrorhagia saxifraga (L.) Link, 1829",112809,112809,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Petrorhagia saxifraga"
"Phacelia tanacetifolia","Phacelia tanacetifolia","Phacelia tanacetifolia Benth., 1835",112915,112915,"Angiospermes","Boraginales","Hydrophyllaceae","","","Phacelia tanacetifolia"
"Phalaris aquatica","Phalaris aquatica","Phalaris aquatica L., 1755",112972,112972,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Phalaris aquatica"
"Phalaris aquatica","Phalaris aquatica","Phalaris truncata Guss. ex Bertol., 1836",112973,113033,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Phalaris truncata"
"Phalaris arundinacea","Phalaris arundinacea","Phalaris arundinacea L., 1753",112975,112975,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Phalaris arundinacea"
"Phalaris paradoxa","Phalaris paradoxa","Phalaris paradoxa L., 1763",113016,113016,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Phalaris paradoxa"
"Phelipanche nana","Phelipanche nana","Phelipanche nana (Reut.) Soják, 1972",113098,113098,"Angiospermes","Lamiales","Orobanchaceae","","Orobancheae","Phelipanche nana"
"Phleum pratense","Phleum pratense","Phleum pratense L., 1753",113221,113221,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Phleum pratense"
"Phragmites australis","Phragmites australis","Phragmites australis (Cav.) Trin. ex Steud., 1840",113260,113260,"Angiospermes","Poales","Poaceae","Arundinoideae","Molinieae","Phragmites australis"
"Phytolacca americana","Phytolacca americana","Phytolacca americana L., 1753",113418,113418,"Angiospermes","Caryophyllales","Phytolaccaceae","","","Phytolacca americana"
"Picris hieracioides","Picris hieracioides","Picris hieracioides L., 1753",113474,113474,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Picris hieracioides"
"Pimpinella major","Pimpinella major","Pimpinella major (L.) Huds., 1762",113579,113579,"Angiospermes","Apiales","Apiaceae","Apioideae","Pimpinelleae","Pimpinella major"
"Pimpinella saxifraga","Pimpinella saxifraga","Pimpinella saxifraga L., 1753",113596,113596,"Angiospermes","Apiales","Apiaceae","Apioideae","Pimpinelleae","Pimpinella saxifraga"
"Piptatherum miliaceum","Piptatherum miliaceum","Oloptum miliaceum (L.) Röser & Hamasha, 2012",113723,717338,"Angiospermes","Poales","Poaceae","Pooideae","Stipeae","Oloptum miliaceum"
"Pistacia lentiscus","Pistacia lentiscus","Pistacia lentiscus L., 1753",113744,113744,"Angiospermes","Sapindales","Anacardiaceae","Anacardioideae","Rhoeae","Pistacia lentiscus"
"Lathyrus oleraceus","Lathyrus oleraceus","Pisum sativum L., 1753",105238,113778,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Pisum sativum"
"Plantago coronopus","Plantago coronopus","Plantago coronopus L., 1753",113842,113842,"Angiospermes","Lamiales","Plantaginaceae","","Plantagineae","Plantago coronopus"
"Plantago coronopus","Plantago coronopus","Plantago weldenii Rchb., 1831",113841,113994,"Angiospermes","Lamiales","Plantaginaceae","","Plantagineae","Plantago weldenii"
"Plantago lagopus","Plantago lagopus","Plantago lagopus L., 1753",113889,113889,"Angiospermes","Lamiales","Plantaginaceae","","Plantagineae","Plantago lagopus"
"Plantago lanceolata","Plantago lanceolata","Plantago lanceolata L., 1753",113893,113893,"Angiospermes","Lamiales","Plantaginaceae","","Plantagineae","Plantago lanceolata"
"Plantago major","Plantago major","Plantago major L., 1753",113904,113904,"Angiospermes","Lamiales","Plantaginaceae","","Plantagineae","Plantago major"
"Plantago media","Plantago media","Plantago media L., 1753",113906,113906,"Angiospermes","Lamiales","Plantaginaceae","","Plantagineae","Plantago media"
"Poa pratensis","Poa pratensis","Poa pratensis L., 1753 [nom. et typ. cons.]",114332,114332,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Poa pratensis"
"Poa pratensis","Poa pratensis","Poa pratensis subsp. pratensis L., 1753",621246,159892,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Poa pratensis"
"Poa annua","Poa annua","Poa annua L., 1753",114114,114114,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Poa annua"
"Poa trivialis","Poa trivialis","Poa pratensis L., 1753 [nom. et typ. cons.]",114417,114332,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Poa pratensis"
"Poa trivialis","Poa trivialis","Poa trivialis L., 1753",114416,114416,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Poa trivialis"
"Poa bulbosa","Poa bulbosa","Poa bulbosa L., 1753",114136,114136,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Poa bulbosa"
"Polycarpon tetraphyllum","Polycarpon tetraphyllum","Polycarpon tetraphyllum (L.) L., 1759",114517,114517,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Polycarpon tetraphyllum"
"Polygonatum multiflorum","Polygonatum multiflorum","Polygonatum multiflorum (L.) All., 1785",114611,114611,"Angiospermes","Asparagales","Asparagaceae","Nolinoideae","Polygonateae","Polygonatum multiflorum"
"Polygonum aviculare","Polygonum aviculare","Polygonum aviculare L., 1753",114658,114658,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Polygoneae","Polygonum aviculare"
"Polypogon monspeliensis","Polypogon monspeliensis","Polypogon monspeliensis (L.) Desf., 1798",115027,115027,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Polypogon monspeliensis"
"Populus nigra","Populus nigra","Populus nigra L., 1753",115145,115145,"Angiospermes","Malpighiales","Salicaceae","Salicoideae","","Populus nigra"
"Populus tremula","Populus tremula","Populus tremula L., 1753",115156,115156,"Angiospermes","Malpighiales","Salicaceae","Salicoideae","","Populus tremula"
"Portulaca oleracea","Portulaca oleracea","Portulaca oleracea L., 1753",115215,115215,"Angiospermes","Caryophyllales","Portulacaceae","","","Portulaca oleracea"
"Portulaca oleracea","Portulaca oleracea","Portulaca trituberculata Danin, Domina & Raimondo, 2008",719118,717436,"Angiospermes","Caryophyllales","Portulacaceae","","","Portulaca trituberculata"
"Potentilla reptans","Potentilla reptans","Potentilla reptans L., 1753",115624,115624,"Angiospermes","Rosales","Rosaceae","Rosoideae","Potentilleae","Potentilla reptans"
"Argentina anserina","Argentina anserina","Argentina anserina (L.) Rydb., 1899",83714,83714,"Angiospermes","Rosales","Rosaceae","Rosoideae","Potentilleae","Argentina anserina"
"Potentilla erecta","Potentilla erecta","Potentilla erecta (L.) Raeusch., 1797",115470,115470,"Angiospermes","Rosales","Rosaceae","Rosoideae","Potentilleae","Potentilla erecta"
"Potentilla verna","Potentilla verna","Potentilla verna L., 1753 [nom. et typ. cons.]",115694,115694,"Angiospermes","Rosales","Rosaceae","Rosoideae","Potentilleae","Potentilla verna"
"Potentilla sterilis","Potentilla sterilis","Potentilla sterilis (L.) Garcke, 1856",115655,115655,"Angiospermes","Rosales","Rosaceae","Rosoideae","Potentilleae","Potentilla sterilis"
"Primula veris","Primula veris","Primula veris L., 1753",115918,115918,"Angiospermes","Ericales","Primulaceae","Primuloideae","","Primula veris"
"Primula elatior","Primula elatior","Primula elatior (L.) Hill, 1765",115865,115865,"Angiospermes","Ericales","Primulaceae","Primuloideae","","Primula elatior"
"Primula vulgaris","Primula vulgaris","Primula vulgaris Huds., 1762",115925,115925,"Angiospermes","Ericales","Primulaceae","Primuloideae","","Primula vulgaris"
"Prunella vulgaris","Prunella vulgaris","Prunella vulgaris L., 1753",116012,116012,"Angiospermes","Lamiales","Lamiaceae","Nepetoideae","Mentheae","Prunella vulgaris"
"Prunus spinosa","Prunus spinosa","Prunus spinosa L., 1753",116142,116142,"Angiospermes","Rosales","Rosaceae","Amygdaloideae","Amygdaleae","Prunus spinosa"
"Prunus cerasus","Prunus cerasus","Prunus cerasus L., 1753",116054,116054,"Angiospermes","Rosales","Rosaceae","Amygdaloideae","Amygdaleae","Prunus cerasus"
"Pulicaria dysenterica","Pulicaria dysenterica","Pulicaria dysenterica (L.) Bernh., 1800",116392,116392,"Angiospermes","Asterales","Asteraceae","Asteroideae","Inuleae","Pulicaria dysenterica"
"Pulicaria dysenterica","Pulicaria dysenterica","Pulicaria dysenterica (L.) Bernh., 1800",161855,116392,"Angiospermes","Asterales","Asteraceae","Asteroideae","Inuleae","Pulicaria dysenterica"
"Pulicaria odora","Pulicaria odora","Pulicaria odora (L.) Rchb., 1831",116396,116396,"Angiospermes","Asterales","Asteraceae","Asteroideae","Inuleae","Pulicaria odora"
"Quercus robur","Quercus robur","Quercus robur L., 1753",116759,116759,"Angiospermes","Fagales","Fagaceae","","","Quercus robur"
"Quercus ilex","Quercus ilex","Quercus ilex L., 1753 [nom. et typ. cons. prop.]",116704,116704,"Angiospermes","Fagales","Fagaceae","","","Quercus ilex"
"Quercus petraea","Quercus petraea","Quercus petraea (Matt.) Liebl., 1784",521658,521658,"Angiospermes","Fagales","Fagaceae","","","Quercus petraea"
"Quercus pubescens","Quercus pubescens","Quercus pubescens Willd., 1796 [nom. et typ. cons.]",116751,116751,"Angiospermes","Fagales","Fagaceae","","","Quercus pubescens"
"Quercus pubescens","Quercus pubescens","Quercus pyrenaica Willd., 1805",116750,116754,"Angiospermes","Fagales","Fagaceae","","","Quercus pyrenaica"
"Quercus suber","Quercus suber","Quercus suber L., 1753",116774,116774,"Angiospermes","Fagales","Fagaceae","","","Quercus suber"
"Ranunculus repens","Ranunculus repens","Ranunculus repens L., 1753",117201,117201,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus repens"
"Ranunculus bulbosus","Ranunculus bulbosus","Ranunculus bulbosus L., 1753",116952,116952,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus bulbosus"
"Ranunculus acris","Ranunculus acris","Ranunculus acris L., 1753",116903,116903,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus acris"
"Ranunculus arvensis","Ranunculus arvensis","Ranunculus arvensis L., 1753",116932,116932,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus arvensis"
"Ficaria verna","Ficaria verna","Ficaria verna Huds., 1762",98651,98651,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ficaria verna"
"Ranunculus muricatus","Ranunculus muricatus","Ranunculus muricatus L., 1753",117128,117128,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus muricatus"
"Ranunculus muricatus","Ranunculus muricatus","Ranunculus parviflorus L., 1758",117129,117156,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus parviflorus"
"Ranunculus muricatus","Ranunculus muricatus","Ranunculus parviflorus L., 1758",117130,117156,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus parviflorus"
"Ranunculus parviflorus","Ranunculus parviflorus","Ranunculus parviflorus L., 1758",117156,117156,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus parviflorus"
"Ranunculus sardous","Ranunculus sardous","Ranunculus sardous Crantz, 1763",117221,117221,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus sardous"
"Ranunculus sardous","Ranunculus sardous","Ranunculus sardous Crantz, 1763",117220,117221,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus sardous"
"Raphanus raphanistrum","Raphanus raphanistrum","Raphanus raphanistrum L., 1753",117353,117353,"Angiospermes","Brassicales","Brassicaceae","","","Raphanus raphanistrum"
"Rapistrum rugosum","Rapistrum rugosum","Rapistrum rugosum (L.) All., 1785",117393,117393,"Angiospermes","Brassicales","Brassicaceae","","","Rapistrum rugosum"
"Rapistrum rugosum","Rapistrum rugosum","Rapistrum rugosum (L.) All., 1785",117394,117393,"Angiospermes","Brassicales","Brassicaceae","","","Rapistrum rugosum"
"Reichardia picroides","Reichardia picroides","Reichardia picroides (L.) Roth, 1787",117426,117426,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Reichardia picroides"
"Reseda lutea","Reseda lutea","Reseda lutea L., 1753",117458,117458,"Angiospermes","Brassicales","Resedaceae","","","Reseda lutea"
"Reseda luteola","Reseda luteola","Reseda luteola L., 1753",117459,117459,"Angiospermes","Brassicales","Resedaceae","","","Reseda luteola"
"Reseda phyteuma","Reseda phyteuma","Reseda lutea L., 1753",117470,117458,"Angiospermes","Brassicales","Resedaceae","","","Reseda lutea"
"Reseda phyteuma","Reseda phyteuma","Reseda phyteuma L., 1753",117469,117469,"Angiospermes","Brassicales","Resedaceae","","","Reseda phyteuma"
"Rhagadiolus edulis","Rhagadiolus edulis","Rhagadiolus edulis Gaertn., 1791",117512,117512,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Rhagadiolus edulis"
"Rheum x hybridum","Rheum x hybridum","Rheum x hybridum Murray, 1775",117585,117585,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rheum x hybridum"
"Rhinanthus minor","Rhinanthus minor","Rhinanthus minor L., 1756",117616,117616,"Angiospermes","Lamiales","Orobanchaceae","","Rhinantheae","Rhinanthus minor"
"Rhinanthus minor","Rhinanthus minor","Rhinanthus minor L., 1756",161945,117616,"Angiospermes","Lamiales","Orobanchaceae","","Rhinantheae","Rhinanthus minor"
"Robinia pseudoacacia","Robinia pseudoacacia","Robinia pseudoacacia L., 1753",117860,117860,"Angiospermes","Fabales","Fabaceae","Papilionoideae","Robinieae","Robinia pseudoacacia"
"Rorippa sylvestris","Rorippa sylvestris","Rorippa sylvestris (L.) Besser, 1821",117951,117951,"Angiospermes","Brassicales","Brassicaceae","","","Rorippa sylvestris"
"Rosa canina","Rosa canina","Rosa canina L., 1753",118073,118073,"Angiospermes","Rosales","Rosaceae","Rosoideae","Roseae","Rosa canina"
"Rosa arvensis","Rosa arvensis","Rosa arvensis Huds., 1762",118016,118016,"Angiospermes","Rosales","Rosaceae","Rosoideae","Roseae","Rosa arvensis"
"Rosa sempervirens","Rosa sempervirens","Rosa luciae Franch. & Rochebr., 1871",118499,118299,"Angiospermes","Rosales","Rosaceae","Rosoideae","Roseae","Rosa luciae"
"Rosa sempervirens","Rosa sempervirens","Rosa sempervirens L., 1753",118498,118498,"Angiospermes","Rosales","Rosaceae","Rosoideae","Roseae","Rosa sempervirens"
"Rostraria cristata","Rostraria cristata","Rostraria cristata (L.) Tzvelev, 1971",118872,118872,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Rostraria cristata"
"Rubia peregrina","Rubia peregrina","Rubia peregrina L., 1753",118916,118916,"Angiospermes","Gentianales","Rubiaceae","Rubioideae","Rubieae","Rubia peregrina"
"Rubia tinctorum","Rubia tinctorum","Rubia tinctorum L., 1753",118920,118920,"Angiospermes","Gentianales","Rubiaceae","Rubioideae","Rubieae","Rubia tinctorum"
"Rumex crispus","Rumex crispus","Rumex crispus L., 1753",119473,119473,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex crispus"
"Rumex acetosa","Rumex acetosa","Rumex acetosa L., 1753 [nom. et typ. cons.]",119418,119418,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex acetosa"
"Rumex conglomeratus","Rumex conglomeratus","Rumex conglomeratus Murray, 1770",119471,119471,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex conglomeratus"
"Rumex conglomeratus","Rumex conglomeratus","Rumex crispus L., 1753",651357,119473,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex crispus"
"Rumex conglomeratus","Rumex conglomeratus","Rumex crispus L., 1753",651358,119473,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex crispus"
"Rumex obtusifolius","Rumex obtusifolius","Rumex obtusifolius L., 1753",119550,119550,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex obtusifolius"
"Rumex acetosella","Rumex acetosella","Rumex acetosella L., 1753",119419,119419,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex acetosella"
"Rumex bucephalophorus","Rumex bucephalophorus","Rumex bucephalophorus L., 1753",119461,119461,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex bucephalophorus"
"Rumex bucephalophorus","Rumex bucephalophorus","Rumex bucephalophorus subsp. gallicus (Steinh.) Rech.f., 1939",140352,140355,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex bucephalophorus"
"Rumex pulcher","Rumex pulcher","Rumex pulcher L., 1753",119569,119569,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex pulcher"
"Rumex sanguineus","Rumex sanguineus","Rumex britannica L., 1753",771867,762006,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex britannica"
"Rumex sanguineus","Rumex sanguineus","Rumex obtusifolius subsp. obtusifolius L., 1753",119586,140371,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex obtusifolius"
"Rumex sanguineus","Rumex sanguineus","Rumex sanguineus L., 1753",119585,119585,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex sanguineus"
"Sagina apetala","Sagina apetala","Sagina apetala Ard., 1763",119780,119780,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Sagina apetala"
"Sagina apetala","Sagina apetala","Sagina apetala Ard., 1763",620563,119780,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Sagina apetala"
"Salix caprea","Salix caprea","Salix caprea L., 1753",119977,119977,"Angiospermes","Malpighiales","Salicaceae","Salicoideae","","Salix caprea"
"Salix caprea","Salix caprea","Salix cinerea L., 1753",119978,119991,"Angiospermes","Malpighiales","Salicaceae","Salicoideae","","Salix cinerea"
"Salvia pratensis","Salvia pratensis","Salvia pratensis L., 1753",120685,120685,"Angiospermes","Lamiales","Lamiaceae","Nepetoideae","Mentheae","Salvia pratensis"
"Sambucus ebulus","Sambucus ebulus","Sambucus ebulus L., 1753",120712,120712,"Angiospermes","Dipsacales","Viburnaceae","","","Sambucus ebulus"
"Sambucus nigra","Sambucus nigra","Sambucus nigra L., 1753",120717,120717,"Angiospermes","Dipsacales","Viburnaceae","","","Sambucus nigra"
"Poterium sanguisorba","Poterium sanguisorba","Poterium sanguisorba L., 1753",115789,115789,"Angiospermes","Rosales","Rosaceae","Rosoideae","Agrimonieae","Poterium sanguisorba"
"Poterium verrucosum","Poterium verrucosum","Poterium verrucosum Link ex G.Don, 1832",115792,115792,"Angiospermes","Rosales","Rosaceae","Rosoideae","Agrimonieae","Poterium verrucosum"
"Poterium verrucosum","Poterium verrucosum","Poterium verrucosum Link ex G.Don, 1832",115794,115792,"Angiospermes","Rosales","Rosaceae","Rosoideae","Agrimonieae","Poterium verrucosum"
"Poterium verrucosum","Poterium verrucosum","Poterium verrucosum Link ex G.Don, 1832",115793,115792,"Angiospermes","Rosales","Rosaceae","Rosoideae","Agrimonieae","Poterium verrucosum"
"Saponaria officinalis","Saponaria officinalis","Saponaria officinalis L., 1753",120824,120824,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Saponaria officinalis"
"Scabiosa atropurpurea","Scabiosa atropurpurea","Scabiosa atropurpurea L., 1753",121316,121316,"Angiospermes","Dipsacales","Caprifoliaceae","","","Scabiosa atropurpurea"
"Scandix pecten-veneris","Scandix pecten-veneris","Scandix pecten-veneris L., 1753",121449,121449,"Angiospermes","Apiales","Apiaceae","Apioideae","Scandiceae","Scandix pecten-veneris"
"Scorpiurus subvillosus","Scorpiurus subvillosus","Scorpiurus subvillosus L., 1753",121929,121929,"Angiospermes","Fabales","Fabaceae","Papilionoideae","Loteae","Scorpiurus subvillosus"
"Podospermum laciniatum","Podospermum laciniatum","Podospermum laciniatum (L.) DC., 1805",114468,114468,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Podospermum laciniatum"
"Scorzoneroides autumnalis","Scorzoneroides autumnalis","Scorzoneroides autumnalis (L.) Moench, 1794",121988,121988,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Scorzoneroides autumnalis"
"Scrophularia nodosa","Scrophularia nodosa","Scrophularia nodosa L., 1753",122028,122028,"Angiospermes","Lamiales","Scrophulariaceae","","Scrophularieae","Scrophularia nodosa"
"Secale cereale","Secale cereale","Secale cereale L., 1753",122085,122085,"Angiospermes","Poales","Poaceae","Pooideae","Triticeae","Secale cereale"
"Coronilla varia","Coronilla varia","Coronilla varia L., 1753",92546,92546,"Angiospermes","Fabales","Fabaceae","Papilionoideae","Loteae","Coronilla varia"
"Sedum album","Sedum album","Sedum album L., 1753",122106,122106,"Angiospermes","Saxifragales","Crassulaceae","Sempervivoideae","Sedeae","Sedum album"
"Sedum acre","Sedum acre","Sedum acre L., 1753",122101,122101,"Angiospermes","Saxifragales","Crassulaceae","Sempervivoideae","Sedeae","Sedum acre"
"Senecio vulgaris","Senecio vulgaris","Senecio vulgaris L., 1753",122745,122745,"Angiospermes","Asterales","Asteraceae","Asteroideae","Senecioneae","Senecio vulgaris"
"Senecio inaequidens","Senecio inaequidens","Senecio inaequidens DC., 1838",122630,122630,"Angiospermes","Asterales","Asteraceae","Asteroideae","Senecioneae","Senecio inaequidens"
"Setaria pumila","Setaria pumila","Setaria pumila (Poir.) Roem. & Schult., 1817",123141,123141,"Angiospermes","Poales","Poaceae","Panicoideae","Paniceae","Setaria pumila"
"Setaria italica subsp. italica","Setaria italica","Setaria italica (L.) P.Beauv., 1812",123122,123122,"Angiospermes","Poales","Poaceae","Panicoideae","Paniceae","Setaria italica"
"Setaria verticillata","Setaria verticillata","Setaria verticillata (L.) P.Beauv., 1812",123154,123154,"Angiospermes","Poales","Poaceae","Panicoideae","Paniceae","Setaria verticillata"
"Setaria italica subsp. viridis","Setaria italica","Setaria italica (L.) P.Beauv., 1812",123122,123122,"Angiospermes","Poales","Poaceae","Panicoideae","Paniceae","Setaria italica"
"Sherardia arvensis","Sherardia arvensis","Sherardia arvensis L., 1753",123164,123164,"Angiospermes","Gentianales","Rubiaceae","Rubioideae","Rubieae","Sherardia arvensis"
"Sideritis romana","Sideritis romana","Sideritis romana L., 1753",123325,123325,"Angiospermes","Lamiales","Lamiaceae","Lamioideae","Stachydeae","Sideritis romana"
"Silene latifolia","Silene latifolia","Atocion armeria (L.) Raf., 1840",123521,85017,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Atocion armeria"
"Silene latifolia","Silene latifolia","Silene latifolia Poir., 1789",123522,123522,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Silene latifolia"
"Silene latifolia","Silene latifolia","Silene vulgaris subsp. vulgaris (Moench) Garcke, 1869",123520,141214,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Silene vulgaris"
"Silene flos-cuculi","Silene flos-cuculi","Lychnis flos-cuculi L., 1753",123481,106918,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Lychnis flos-cuculi"
"Silene flos-cuculi","Silene flos-cuculi","Lychnis flos-cuculi L., 1753",159842,106918,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Lychnis flos-cuculi"
"Atocion armeria","Atocion armeria","Atocion armeria (L.) Raf., 1840",85017,85017,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Atocion armeria"
"Silene bellidifolia","Silene bellidifolia","Silene bellidifolia Juss. ex Jacq., 1777",123407,123407,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Silene bellidifolia"
"Silene dioica","Silene dioica","Silene dioica (L.) Clairv., 1811",123471,123471,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Silene dioica"
"Silene gallica","Silene gallica","Silene gallica L., 1753 [nom. cons.]",123485,123485,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Silene gallica"
"Silene nocturna","Silene nocturna","Silene nocturna L., 1753",123563,123563,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Silene nocturna"
"Silene vulgaris","Silene vulgaris","Silene vulgaris (Moench) Garcke, 1869",123683,123683,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Silene vulgaris"
"Silybum marianum","Silybum marianum","Silybum marianum (L.) Gaertn., 1791",123705,123705,"Angiospermes","Asterales","Asteraceae","Carduoideae","Cardueae","Silybum marianum"
"Sinapis alba","Sinapis alba","Sinapis alba L., 1753",123711,123711,"Angiospermes","Brassicales","Brassicaceae","","","Sinapis alba"
"Sinapis arvensis","Sinapis arvensis","Sinapis arvensis L., 1753",123713,123713,"Angiospermes","Brassicales","Brassicaceae","","","Sinapis arvensis"
"Sisymbrium officinale","Sisymbrium officinale","Sisymbrium officinale (L.) Scop., 1772",123863,123863,"Angiospermes","Brassicales","Brassicaceae","","","Sisymbrium officinale"
"Smyrnium olusatrum","Smyrnium olusatrum","Smyrnium olusatrum L., 1753",124003,124003,"Angiospermes","Apiales","Apiaceae","Apioideae","Smyrnieae","Smyrnium olusatrum"
"Solanum dulcamara","Solanum dulcamara","Solanum dulcamara L., 1753",124034,124034,"Angiospermes","Solanales","Solanaceae","Solanoideae","Solaneae","Solanum dulcamara"
"Solanum nigrum","Solanum nigrum","Solanum americanum Mill., 1768",637896,124014,"Angiospermes","Solanales","Solanaceae","Solanoideae","Solaneae","Solanum americanum"
"Solanum nigrum","Solanum nigrum","Solanum nigrum L., 1753",124080,124080,"Angiospermes","Solanales","Solanaceae","Solanoideae","Solaneae","Solanum nigrum"
"Solanum tuberosum","Solanum tuberosum","Solanum tuberosum L., 1753",124125,124125,"Angiospermes","Solanales","Solanaceae","Solanoideae","Solaneae","Solanum tuberosum"
"Solidago canadensis","Solidago canadensis","Solidago canadensis L., 1753",124164,124164,"Angiospermes","Asterales","Asteraceae","Asteroideae","Astereae","Solidago canadensis"
"Sonchus asper","Sonchus asper","Sonchus asper (L.) Hill, 1769",124233,124233,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Sonchus asper"
"Sonchus arvensis","Sonchus arvensis","Sonchus arvensis L., 1753",124232,124232,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Sonchus arvensis"
"Sonchus oleraceus","Sonchus oleraceus","Sonchus asper subsp. asper (L.) Hill, 1769",124262,141304,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Sonchus asper"
"Sonchus oleraceus","Sonchus oleraceus","Sonchus oleraceus L., 1753",124261,124261,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Sonchus oleraceus"
"Sonchus tenerrimus","Sonchus tenerrimus","Sonchus tenerrimus L., 1753",124278,124278,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Sonchus tenerrimus"
"Sorghum halepense","Sorghum halepense","Sorghum halepense (L.) Pers., 1805",124378,124378,"Angiospermes","Poales","Poaceae","Panicoideae","Andropogoneae","Sorghum halepense"
