"nom_eni","nom_eni_fusion_trait","NOM_VALIDE","CD_NOM","CD_REF","GROUP2_INPN","ORDRE","FAMILLE","SOUS_FAMILLE","TRIBU","nom_eni_syn"
"Legousia speculum-veneris","Legousia speculum-veneris","Legousia speculum-veneris (L.) Chaix, 1785",105410,105410,"Angiospermes","Asterales","Campanulaceae","Campanuloideae","Campanuleae","Legousia speculum-veneris"
"Leontodon hispidus","Leontodon hispidus","Leontodon hispidus L., 1753",105502,105502,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Leontodon hispidus"
"Leontodon saxatilis","Leontodon saxatilis","Leontodon saxatilis Lam., 1779",105521,105521,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Leontodon saxatilis"
"Lepidium campestre","Lepidium campestre","Lepidium campestre (L.) W.T.Aiton, 1812",105607,105607,"Angiospermes","Brassicales","Brassicaceae","","","Lepidium campestre"
"Lepidium draba","Lepidium draba","Lepidium draba L., 1753",105621,105621,"Angiospermes","Brassicales","Brassicaceae","","","Lepidium draba"
"Lepidium didymum","Lepidium didymum","Lepidium didymum L., 1767",105615,105615,"Angiospermes","Brassicales","Brassicaceae","","","Lepidium didymum"
"Lepidium heterophyllum","Lepidium heterophyllum","Lepidium heterophyllum Benth., 1826",105630,105630,"Angiospermes","Brassicales","Brassicaceae","","","Lepidium heterophyllum"
"Leucanthemum vulgare gpe","Leucanthemum vulgare","Leucanthemum vulgare Lam., 1779",105817,105817,"Angiospermes","Asterales","Asteraceae","Asteroideae","Anthemideae","Leucanthemum vulgare"
"Ligustrum vulgare","Ligustrum vulgare","Ligustrum vulgare L., 1753",105966,105966,"Angiospermes","Lamiales","Oleaceae","","Oleeae","Ligustrum vulgare"
"Linaria vulgaris","Linaria vulgaris","Linaria vulgaris Mill., 1768",106234,106234,"Angiospermes","Lamiales","Plantaginaceae","","Antirrhineae","Linaria vulgaris"
"Linaria arvensis","Linaria arvensis","Linaria arvensis (L.) Desf., 1799",106150,106150,"Angiospermes","Lamiales","Plantaginaceae","","Antirrhineae","Linaria arvensis"
"Linaria repens","Linaria repens","Linaria repens (L.) Mill., 1768",106213,106213,"Angiospermes","Lamiales","Plantaginaceae","","Antirrhineae","Linaria repens"
"Linum catharticum","Linum catharticum","Linum catharticum L., 1753",106288,106288,"Angiospermes","Malpighiales","Linaceae","Linoideae","","Linum catharticum"
"Linum strictum","Linum strictum","Linum strictum L., 1753",106342,106342,"Angiospermes","Malpighiales","Linaceae","Linoideae","","Linum strictum"
"Linum usitatissimum","Linum usitatissimum","Linum usitatissimum L., 1753",106349,106349,"Angiospermes","Malpighiales","Linaceae","Linoideae","","Linum usitatissimum"
"Linum usitatissimum subsp. angustifolium","Linum usitatissimum","Linum usitatissimum L., 1753",106349,106349,"Angiospermes","Malpighiales","Linaceae","Linoideae","","Linum usitatissimum"
"Lobularia maritima","Lobularia maritima","Lobularia maritima (L.) Desv., 1815",106439,106439,"Angiospermes","Brassicales","Brassicaceae","","","Lobularia maritima"
"Lolium perenne","Lolium perenne","Lolium perenne L., 1753",106499,106499,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Lolium perenne"
